time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529583288792,0.8450271,0.5100919,-0.8710576,0.8327228,0.5025378,-0.8354546,0.8383811,0.4907856,-0.8116544,0.8218668,0.5352231,-0.8200227,0.8126774,0.5102255,-0.8184762,0.8179673,0.4989615,-0.8333572,0.8361184,0.5292699,-0.8122743,0.8222368,0.5024726,-0.8148423,0.8265563,0.4912635,-0.8335508,0.8555444,0.5226155,-0.8078208,0.8396508,0.4984663,-0.810066,0.8398159,0.48779,-0.829108,0.8731652,0.5152332,-0.8056302,0.8571455,0.4994253,-0.8051969,0.8527715,0.4929112,-0.8206028,0.8634608,0.5266357,-0.8505616,0.03089618,
1529583288817,0.8408041,0.509394,-0.8815197,0.8241556,0.505806,-0.8467422,0.8253273,0.4970088,-0.8207222,0.820124,0.5362203,-0.8302047,0.811109,0.5113428,-0.8270479,0.8163084,0.49928,-0.8413167,0.8344896,0.5309022,-0.8221555,0.8206884,0.5040034,-0.8227747,0.824823,0.4917212,-0.8408201,0.8540664,0.5245032,-0.8177695,0.8384563,0.5002495,-0.8185722,0.8387005,0.488748,-0.8371112,0.8716713,0.5174092,-0.8154924,0.8558969,0.5015705,-0.8142362,0.8519104,0.4942749,-0.8293649,0.8614684,0.5261334,-0.8607633,0.02259713,
1529583288844,0.8309624,0.5087793,-0.9021364,0.8059364,0.5117579,-0.8722845,0.7971172,0.5077127,-0.8460687,0.8149145,0.5347034,-0.8476402,0.8048487,0.5108142,-0.8447065,0.8102754,0.499123,-0.8591681,0.8289523,0.528748,-0.8391712,0.8139881,0.5032264,-0.839769,0.818283,0.4914414,-0.8580111,0.8480794,0.5210183,-0.834963,0.83183,0.498198,-0.8364649,0.8329717,0.4877979,-0.8555292,0.8649653,0.5129725,-0.8327994,0.8488798,0.4982884,-0.8326343,0.8466112,0.4917796,-0.8483779,0.8558987,0.5218604,-0.8777565,0.02045764,
1529583288870,0.8254123,0.5082922,-0.9193183,0.7957659,0.5160552,-0.8948278,0.7809397,0.5154781,-0.8710829,0.8091954,0.5323231,-0.8627595,0.7978559,0.5093438,-0.8612629,0.8040648,0.4983229,-0.8758609,0.8223028,0.5253396,-0.8536869,0.8063018,0.5011739,-0.855993,0.8118742,0.4902267,-0.8743086,0.8406453,0.5161816,-0.8487728,0.823752,0.494835,-0.8522887,0.8265876,0.4856989,-0.8717299,0.8567325,0.5070707,-0.8459671,0.8402969,0.4936204,-0.8476613,0.8399569,0.4880493,-0.863852,0.8509144,0.517421,-0.8908143,0.02918731,
1529583288898,0.8174565,0.5011114,-0.9439327,0.7849306,0.5141486,-0.9259584,0.7658539,0.5173391,-0.9057011,0.7991728,0.52408,-0.8862122,0.7868201,0.5020505,-0.8863288,0.7942674,0.4916332,-0.9006931,0.8109934,0.5162677,-0.8762791,0.7943245,0.4934394,-0.8804981,0.8017405,0.4830716,-0.8983802,0.8282518,0.5058233,-0.8701447,0.8110722,0.4859433,-0.875787,0.8161615,0.4777083,-0.8950826,0.8433361,0.4957371,-0.8662395,0.8268534,0.4835429,-0.8699322,0.8288909,0.4785444,-0.8861361,0.8418123,0.5066527,-0.9108556,0.03864196,
1529583288915,0.8156796,0.4965085,-0.9526572,0.7824512,0.5104388,-0.9369897,0.7625059,0.5140321,-0.9177802,0.7950666,0.519213,-0.895293,0.7827855,0.4972861,-0.8960755,0.7910821,0.4870452,-0.9100672,0.8063766,0.5113619,-0.8848602,0.7899878,0.488667,-0.8899149,0.798479,0.4784414,-0.9073567,0.823273,0.5008083,-0.8779866,0.8064836,0.4810849,-0.8845359,0.8127812,0.4730321,-0.9035184,0.8380598,0.4906876,-0.8734238,0.8219044,0.4785967,-0.8779912,0.8251264,0.4735922,-0.8939776,0.8385412,0.501572,-0.9179716,0.04005478,
1529583288938,0.8129026,0.4850193,-0.9675393,0.7791366,0.4996904,-0.9541897,0.7583911,0.5033796,-0.9359237,0.7882392,0.5079542,-0.9121078,0.7759431,0.4860998,-0.9138411,0.7853485,0.4757922,-0.9270526,0.7986561,0.5000099,-0.9008174,0.7826145,0.4774403,-0.9071783,0.7924794,0.4672053,-0.9238749,0.8148295,0.4893197,-0.8926339,0.7985373,0.4697666,-0.9005529,0.8063943,0.4617509,-0.9189641,0.8290439,0.4791209,-0.8869117,0.8133183,0.467177,-0.8928186,0.8180388,0.4620954,-0.908409,0.8330999,0.4897383,-0.931141,0.03957852,
1529583288971,0.8090418,0.461934,-0.9893333,0.7744848,0.476157,-0.9781886,0.7527919,0.4792933,-0.9609177,0.7784446,0.4870697,-0.939756,0.7663823,0.4648232,-0.9424992,0.7772316,0.4537958,-0.953908,0.7874061,0.4793214,-0.9271078,0.7723323,0.4563052,-0.9351438,0.7840862,0.4455413,-0.9502419,0.8021966,0.468964,-0.9166932,0.7870135,0.4489874,-0.9263306,0.7970885,0.4402066,-0.9432915,0.8153623,0.4590068,-0.9089182,0.8005544,0.4467538,-0.9166725,0.8073537,0.4408362,-0.9311979,0.8248184,0.4681107,-0.9521542,0.03600776,
1529583288991,0.8062931,0.4439201,-1.001902,0.7708129,0.4570397,-0.9923643,0.7486311,0.4599574,-0.9757471,0.7726954,0.4723718,-0.957203,0.7612802,0.4495452,-0.9591367,0.7728728,0.4378491,-0.9691415,0.7810324,0.4657156,-0.943618,0.7669238,0.4415882,-0.9510115,0.7796256,0.4298749,-0.9645936,0.7952881,0.4565353,-0.9316787,0.7810788,0.4352856,-0.9408533,0.7922291,0.4251627,-0.9563769,0.8080893,0.4475159,-0.9224501,0.7940459,0.4341588,-0.9303,0.8018538,0.4269286,-0.9437261,0.8200988,0.453577,-0.9650304,0.03346741,
1529583289017,0.8091788,0.4252049,-1.009629,0.7729465,0.4371975,-1.001489,0.7502043,0.4400743,-0.9856054,0.7730739,0.4566942,-0.9704678,0.7620279,0.4334575,-0.9718126,0.7737533,0.421294,-0.9811997,0.7805539,0.4510734,-0.9562433,0.7672312,0.4259595,-0.9631521,0.7804008,0.413419,-0.9756184,0.7940186,0.4430458,-0.9429073,0.780608,0.4206524,-0.9518049,0.7922862,0.4094237,-0.9662387,0.8061943,0.4349383,-0.9323106,0.7928035,0.4205738,-0.9404782,0.8010591,0.4124965,-0.953182,0.8205268,0.4385466,-0.9744307,0.03044118,
1529583289044,0.8137832,0.4024082,-1.020289,0.7766897,0.4114731,-1.01204,0.7535313,0.412148,-0.9964635,0.7746426,0.4330709,-0.9844788,0.7639233,0.4093986,-0.9871327,0.7758446,0.3971274,-0.9963201,0.7814012,0.4270993,-0.9702204,0.769093,0.4013734,-0.978791,0.7828285,0.3887034,-0.9907317,0.7941194,0.4190499,-0.9560504,0.7816274,0.3962454,-0.9667333,0.7936435,0.3852306,-0.9812502,0.8057122,0.4109478,-0.9448317,0.7930612,0.3963569,-0.9546819,0.8014971,0.3889294,-0.9677889,0.8226869,0.4162511,-0.9856077,0.02689832,
1529583289061,0.8176104,0.3952347,-1.020686,0.7803025,0.4031318,-1.012074,0.7570173,0.4025335,-0.9966934,0.777753,0.4243354,-0.9845021,0.7669272,0.4008041,-0.9886349,0.7787994,0.3888153,-0.9982925,0.7843076,0.4174862,-0.9705694,0.7721957,0.3921655,-0.9808599,0.7860502,0.3799969,-0.9932381,0.7967245,0.4086792,-0.9566032,0.7844524,0.3864088,-0.9688542,0.7966188,0.376053,-0.9837732,0.8081307,0.3998583,-0.9455043,0.7955558,0.3859744,-0.9566216,0.8037795,0.379794,-0.970521,0.8258383,0.4075471,-0.9856058,0.02579162,
1529583289084,0.823772,0.3770391,-1.022071,0.7861016,0.3831395,-1.013087,0.7625794,0.381109,-0.9981513,0.7834799,0.4039153,-0.9846209,0.7727628,0.3804549,-0.9902812,0.7843677,0.3691282,-1.001039,0.7900077,0.396379,-0.9712605,0.7782185,0.3714473,-0.9831401,0.7921091,0.3599743,-0.9962071,0.8024588,0.3869376,-0.9577532,0.7904602,0.3651658,-0.97141,0.8026289,0.3556417,-0.9869285,0.8140117,0.3774218,-0.9469466,0.8013535,0.3643275,-0.9591577,0.8088744,0.36001,-0.9741606,0.831749,0.3879662,-0.9865706,0.02503204,
1529583289100,0.8305557,0.3525275,-1.022012,0.7927098,0.3576402,-1.012914,0.7690511,0.3547925,-0.9982975,0.7903119,0.3775296,-0.9833224,0.7798611,0.3541598,-0.9900919,0.7913328,0.3436491,-1.001789,0.7968476,0.3696485,-0.9704122,0.7853757,0.3450432,-0.9833171,0.799388,0.3342772,-0.9968556,0.8094099,0.3598235,-0.9573127,0.7976398,0.3384444,-0.9718643,0.8098631,0.3296693,-0.9877797,0.8211427,0.3498569,-0.9467869,0.8083909,0.3373677,-0.9596365,0.8153576,0.3345562,-0.9752808,0.8386462,0.3627713,-0.9863412,0.02515627,
1529583289124,0.8412346,0.335234,-1.021543,0.8034868,0.3340026,-1.010382,0.7810585,0.326296,-0.9955893,0.8013479,0.3505066,-0.9777446,0.7928724,0.326838,-0.9873724,0.8042074,0.3188012,-1.00104,0.8093559,0.3418424,-0.9662099,0.7993668,0.3177777,-0.9819176,0.8130568,0.310086,-0.9977198,0.8236395,0.33185,-0.955144,0.8127511,0.3111495,-0.9718707,0.8241968,0.3054999,-0.9896727,0.8370246,0.3219534,-0.9467292,0.8244828,0.309609,-0.9603673,0.83024,0.3089652,-0.9767248,0.8505165,0.3416774,-0.9849393,0.02493508,
1529583289158,0.8599108,0.2881495,-1.018162,0.8223894,0.2835488,-1.006276,0.7998771,0.2737711,-0.9928733,0.8236013,0.2914933,-0.9681243,0.8161314,0.268771,-0.9804168,0.8265601,0.2641989,-0.9961256,0.8332956,0.2821746,-0.9586136,0.8234588,0.2597683,-0.9765447,0.8359079,0.2558943,-0.9944912,0.8494438,0.2721967,-0.9502885,0.8381717,0.2530463,-0.9683138,0.8479254,0.2511664,-0.9877005,0.8647024,0.2624214,-0.9446489,0.8514973,0.2506695,-0.9580203,0.8550622,0.2529107,-0.9747748,0.8725355,0.2890261,-0.981064,0.028534,
1529583289177,0.8769118,0.2553148,-1.017033,0.8396678,0.2474257,-1.005844,0.8176392,0.2352257,-0.9936839,0.8423898,0.2499204,-0.9651783,0.8362894,0.2281149,-0.9795286,0.8465737,0.2263299,-0.9958193,0.8529907,0.2405043,-0.9567752,0.8441971,0.219428,-0.9764079,0.8564061,0.218715,-0.9948491,0.8701938,0.2310401,-0.949937,0.8597642,0.2130802,-0.9692045,0.8691597,0.2143383,-0.9887365,0.8865033,0.2219211,-0.9457932,0.8738325,0.2105868,-0.9595969,0.8768675,0.2151902,-0.9758936,0.8908988,0.2531734,-0.9797797,0.03034634,
1529583289194,0.8876317,0.2462901,-1.016802,0.8506865,0.236865,-1.005916,0.8290974,0.2232228,-0.9945693,0.8552986,0.2337863,-0.9645408,0.8500328,0.2134545,-0.9807233,0.8601883,0.2142683,-0.997117,0.8665071,0.224174,-0.9572042,0.8582646,0.2048149,-0.9783501,0.8702123,0.2068303,-0.9967797,0.8843117,0.2149702,-0.9516795,0.8742996,0.1985889,-0.9720961,0.8833579,0.2025208,-0.9913414,0.9011626,0.2062778,-0.9487652,0.8887519,0.1957898,-0.9630452,0.8914231,0.2023726,-0.9786344,0.9031478,0.2403461,-0.9799597,0.03245482,
1529583289218,0.9083675,0.2245741,-1.01471,0.8725648,0.2109651,-1.004868,0.8527567,0.1937461,-0.9954587,0.8800766,0.1985602,-0.9644494,0.8763325,0.1812103,-0.9835612,0.8858414,0.1866144,-0.9993465,0.8924631,0.1890961,-0.9591046,0.8853732,0.1730537,-0.9827597,0.896456,0.1798912,-1.000456,0.9113927,0.1810797,-0.9557339,0.9023794,0.1676861,-0.9781003,0.9104512,0.1762839,-0.9961565,0.9292617,0.17384,-0.9547622,0.9175763,0.1647802,-0.9699874,0.9192304,0.1746382,-0.9838057,0.926362,0.212891,-0.9797823,0.03406717,
1529583289243,0.9083675,0.2245741,-1.01471,0.8725648,0.2109651,-1.004868,0.8527567,0.1937461,-0.9954587,0.8800766,0.1985602,-0.9644494,0.8763325,0.1812103,-0.9835612,0.8858414,0.1866144,-0.9993465,0.8924631,0.1890961,-0.9591046,0.8853732,0.1730537,-0.9827597,0.896456,0.1798912,-1.000456,0.9113927,0.1810797,-0.9557339,0.9023794,0.1676861,-0.9781003,0.9104512,0.1762839,-0.9961565,0.9292617,0.17384,-0.9547622,0.9175763,0.1647802,-0.9699874,0.9192304,0.1746382,-0.9838057,0.926362,0.212891,-0.9797823,0.03406717,
1529583289259,0.9083675,0.2245741,-1.01471,0.8725648,0.2109651,-1.004868,0.8527567,0.1937461,-0.9954587,0.8800766,0.1985602,-0.9644494,0.8763325,0.1812103,-0.9835612,0.8858414,0.1866144,-0.9993465,0.8924631,0.1890961,-0.9591046,0.8853732,0.1730537,-0.9827597,0.896456,0.1798912,-1.000456,0.9113927,0.1810797,-0.9557339,0.9023794,0.1676861,-0.9781003,0.9104512,0.1762839,-0.9961565,0.9292617,0.17384,-0.9547622,0.9175763,0.1647802,-0.9699874,0.9192304,0.1746382,-0.9838057,0.926362,0.212891,-0.9797823,0.03406717,
