time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528983922928,0.8351563,0.6865903,-0.9165174,0.7968217,0.6840214,-0.9050953,0.7719373,0.6803788,-0.8958842,0.8407801,0.6995602,-0.8262184,0.8341939,0.7078753,-0.7965609,0.8292155,0.7099499,-0.7779362,0.8673463,0.6968382,-0.8204716,0.8694704,0.7058372,-0.7857265,0.8694423,0.708091,-0.7636467,0.8922793,0.6883384,-0.8254436,0.900955,0.6922824,-0.7927799,0.9055949,0.6924278,-0.7714689,0.9152845,0.6756443,-0.8384343,0.931237,0.6723399,-0.8184577,0.9408013,0.6676266,-0.8048337,0.8729672,0.6873049,-0.8806818,0.1344134,
1528983922968,0.8475329,0.6901637,-0.914564,0.8104928,0.6841256,-0.9005033,0.7874835,0.6770875,-0.8887472,0.854563,0.704253,-0.8249495,0.8484427,0.712666,-0.7952077,0.8438984,0.7150063,-0.776495,0.8812805,0.7020723,-0.8197203,0.8839234,0.7110754,-0.784995,0.8844306,0.7135717,-0.7629365,0.9061458,0.6941136,-0.8251799,0.9150987,0.6978903,-0.792565,0.9200502,0.6980923,-0.7713174,0.9290901,0.6821394,-0.8385293,0.9450092,0.6788981,-0.8185182,0.9545525,0.6741644,-0.8048885,0.8858594,0.6927538,-0.8800864,0.1312289,
1528983923021,0.8711026,0.6969437,-0.9115937,0.8350884,0.6904525,-0.8952409,0.8125547,0.6836792,-0.8823086,0.8804256,0.7144216,-0.8232324,0.8755086,0.7227011,-0.7932355,0.8717241,0.7248806,-0.7743376,0.9071663,0.712065,-0.8186584,0.9110547,0.7209604,-0.7840049,0.9123834,0.723495,-0.7619895,0.9316454,0.7035875,-0.82459,0.9414665,0.706973,-0.7921675,0.9470311,0.7071471,-0.7710721,0.9539056,0.6912662,-0.8381115,0.9699292,0.6876873,-0.8182148,0.9795493,0.6829532,-0.8046436,0.9099207,0.7013879,-0.8790422,0.1298319,
1528983923093,0.8948443,0.7008546,-0.908578,0.8610922,0.6930851,-0.8883977,0.840008,0.6859012,-0.8733003,0.9079143,0.7200317,-0.8219325,0.9043359,0.7266446,-0.7913251,0.9014539,0.7278702,-0.7721854,0.9347752,0.7177272,-0.818714,0.940135,0.7252311,-0.7839025,0.9424676,0.7271314,-0.7619083,0.9586495,0.7095004,-0.82593,0.9693924,0.7121487,-0.7937211,0.9755766,0.7120091,-0.7728007,0.9802296,0.6971929,-0.8403594,0.9967523,0.693414,-0.8208795,1.006815,0.6888832,-0.807564,0.9345464,0.7070976,-0.8794002,0.1255436,
1528983923126,0.9137094,0.7036528,-0.9086561,0.8811231,0.6968606,-0.8863174,0.8608559,0.6904051,-0.8698251,0.9290221,0.7243831,-0.8233613,0.9262249,0.7300714,-0.7925014,0.9237331,0.7304724,-0.7732799,0.9559134,0.7217119,-0.8208153,0.9622092,0.7285749,-0.7860274,0.9650329,0.7300248,-0.7640622,0.979267,0.7130249,-0.8285293,0.9905331,0.7152797,-0.7964723,0.996938,0.714778,-0.7756283,1.000249,0.7000294,-0.8432332,1.016995,0.6958879,-0.8240143,1.027136,0.6911635,-0.8108286,0.9538807,0.7100793,-0.8813919,0.1219832,
1528983923167,0.9276066,0.7052494,-0.9097251,0.8970201,0.6988969,-0.8846421,0.8790294,0.6919521,-0.8659335,0.9444867,0.7256554,-0.8257428,0.9422579,0.7300043,-0.7946324,0.9399506,0.7293407,-0.7754065,0.9712209,0.7221437,-0.8236686,0.978084,0.7277504,-0.7887614,0.981113,0.7283958,-0.7667909,0.9938827,0.7129574,-0.8317866,1.00513,0.7144331,-0.7996847,1.011321,0.7132573,-0.7788112,1.014214,0.698985,-0.8467692,1.03073,0.6938076,-0.8276088,1.040491,0.6882921,-0.8144507,0.9677673,0.7108269,-0.8843012,0.1153449,
1528983923206,0.9462945,0.7064368,-0.9107529,0.9188919,0.6999595,-0.8822865,0.9030856,0.6929648,-0.8616275,0.9650887,0.725515,-0.8285592,0.9637967,0.7272086,-0.7971686,0.9618201,0.7245542,-0.77809,0.9914022,0.7210878,-0.8272117,0.9988782,0.7241443,-0.7921271,1.002012,0.7230028,-0.7702001,1.013117,0.7114196,-0.835998,1.024135,0.7108077,-0.803817,1.029715,0.7077862,-0.7829715,1.032402,0.6967699,-0.8514338,1.04817,0.6898975,-0.8322052,1.056954,0.6829879,-0.8190322,0.9859855,0.7111206,-0.8879863,0.1068932,
1528983923247,0.959566,0.7068627,-0.911409,0.9352201,0.699858,-0.8804287,0.9214154,0.6926364,-0.8583998,0.980808,0.7250438,-0.8308442,0.9808265,0.7242081,-0.7994437,0.9793686,0.7195325,-0.7807387,1.00663,0.7198104,-0.8303301,1.014792,0.7197759,-0.7953264,1.017848,0.7160916,-0.7737001,1.027151,0.7101473,-0.8397471,1.037541,0.7072078,-0.8075634,1.042006,0.7019135,-0.7869413,1.045443,0.6953748,-0.8555457,1.060035,0.6870744,-0.83603,1.067292,0.6787878,-0.8227582,0.999005,0.7113308,-0.8910379,0.1005645,
1528983923301,0.9804403,0.7101958,-0.9141957,0.9609027,0.7012386,-0.88043,0.9500572,0.6929417,-0.8571123,1.006288,0.7255316,-0.8359151,1.008139,0.72144,-0.8048217,1.007531,0.7150217,-0.7865832,1.031414,0.7180288,-0.8371865,1.040909,0.7126554,-0.8029916,1.044166,0.7054574,-0.7823083,1.049946,0.7081655,-0.8479468,1.05998,0.7009357,-0.8164309,1.063309,0.6924577,-0.7966969,1.065328,0.6936455,-0.864177,1.077046,0.6829667,-0.8440133,1.081269,0.672913,-0.8306719,1.019601,0.7136202,-0.897421,0.09362212,
1528983923326,0.9951628,0.7110257,-0.9160491,0.9778507,0.7008667,-0.8814061,0.968666,0.691608,-0.8577675,1.024309,0.7252649,-0.8390089,1.027412,0.7202201,-0.8081585,1.027372,0.7132447,-0.7901207,1.048846,0.7167617,-0.8414243,1.059191,0.709728,-0.8077999,1.062666,0.7014682,-0.7875637,1.066442,0.706775,-0.8530064,1.076979,0.6984749,-0.8219351,1.080367,0.6893455,-0.8025111,1.080111,0.692037,-0.8696323,1.090988,0.6806033,-0.8494076,1.094443,0.6702244,-0.8360987,1.034415,0.7139858,-0.9011173,0.09214488,
