time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528983870299,1.050358,0.7054454,-0.8235646,1.044632,0.7138559,-0.7848236,1.041571,0.7177484,-0.7582137,1.108167,0.7260912,-0.7665435,1.122629,0.7323797,-0.7394198,1.128207,0.7333369,-0.7209346,1.123924,0.7078263,-0.7693617,1.141791,0.7105591,-0.7384084,1.148847,0.7099076,-0.7174228,1.132419,0.688272,-0.7801325,1.150483,0.6888302,-0.7514445,1.158488,0.6874335,-0.7312567,1.135263,0.666163,-0.7931409,1.151416,0.6618125,-0.7736068,1.159064,0.6579542,-0.7586167,1.090124,0.6938291,-0.8194148,0.09559561,
1528983870339,1.046122,0.7056599,-0.8188975,1.039482,0.7152539,-0.7805777,1.035825,0.7199435,-0.7541754,1.101525,0.7281147,-0.7605761,1.114288,0.734982,-0.7327407,1.118831,0.7363226,-0.7139942,1.117579,0.7101533,-0.762583,1.133712,0.7138538,-0.7307723,1.139737,0.7138374,-0.7094574,1.126877,0.6905156,-0.7728339,1.143753,0.6920644,-0.7434495,1.151052,0.6913429,-0.7229621,1.130524,0.6682961,-0.7853016,1.146085,0.664905,-0.7650919,1.153432,0.6617289,-0.7497909,1.085831,0.6945413,-0.8134854,0.09366336,
1528983870365,1.03831,0.7023459,-0.8173366,1.031042,0.7114496,-0.7790088,1.026782,0.7161398,-0.7526883,1.092872,0.7238615,-0.7578538,1.105467,0.7304038,-0.7298377,1.110024,0.731699,-0.7110854,1.108804,0.7057679,-0.7597375,1.124745,0.7090696,-0.727751,1.130866,0.7089684,-0.706457,1.118125,0.6861675,-0.7700113,1.134842,0.6873478,-0.7404889,1.142237,0.6865095,-0.720037,1.121698,0.6640064,-0.7825549,1.136963,0.6602436,-0.7621636,1.144248,0.6568714,-0.7468733,1.077784,0.6909959,-0.8113277,0.0943513,
1528983870405,1.035056,0.701401,-0.8154089,1.026773,0.7104196,-0.7772702,1.021549,0.7156801,-0.7512326,1.089009,0.724654,-0.7556154,1.102115,0.7320978,-0.7280209,1.107245,0.7341866,-0.709482,1.105043,0.7064551,-0.7568424,1.121658,0.7106057,-0.7252381,1.128682,0.7113122,-0.7042229,1.114416,0.6867567,-0.7664714,1.131556,0.6888129,-0.7371877,1.13966,0.6887498,-0.7169826,1.117961,0.6640886,-0.7783593,1.133121,0.6604546,-0.7578317,1.140547,0.6572466,-0.7425762,1.074576,0.6905832,-0.8084426,0.09710512,
1528983870461,1.02916,0.7040591,-0.8111749,1.019952,0.7094911,-0.7725719,1.013639,0.7133604,-0.7466059,1.084511,0.7291328,-0.7521044,1.100543,0.7375919,-0.7263215,1.108441,0.7407982,-0.7089117,1.101642,0.7114571,-0.7542299,1.122094,0.716185,-0.7249374,1.132657,0.7176401,-0.7054727,1.111001,0.6925777,-0.7640872,1.130397,0.6950406,-0.7362223,1.140691,0.6953561,-0.7170279,1.114308,0.6689818,-0.7762372,1.129641,0.6633154,-0.7562693,1.137567,0.6586912,-0.7416248,1.06962,0.6959633,-0.8048981,0.1056463,
1528983870512,1.024447,0.7075149,-0.8096389,1.012633,0.7116794,-0.7716066,1.004594,0.7146168,-0.7460079,1.07929,0.7340258,-0.7493209,1.095841,0.7438456,-0.7243236,1.104585,0.7481639,-0.7075629,1.09764,0.7175092,-0.7518576,1.119256,0.7239316,-0.7237195,1.131088,0.726611,-0.7051387,1.107816,0.6990043,-0.7617204,1.12776,0.7021831,-0.7343096,1.138775,0.7029734,-0.715523,1.111729,0.6748098,-0.7741039,1.126821,0.6680025,-0.7542876,1.135372,0.6627624,-0.7401752,1.066345,0.7010823,-0.8025942,0.1122563,
1528983870538,1.021598,0.7116965,-0.8096982,1.006506,0.7182186,-0.7731901,0.9948066,0.725572,-0.7500225,1.075998,0.7370282,-0.7478113,1.092747,0.7468281,-0.7229298,1.101672,0.7511505,-0.7062687,1.09446,0.7207758,-0.7503214,1.116161,0.7272734,-0.7222629,1.128114,0.7300116,-0.7037657,1.104736,0.7024004,-0.7601424,1.1244,0.7053739,-0.7325101,1.135221,0.7059851,-0.713603,1.108764,0.6780069,-0.7728512,1.123426,0.6703924,-0.752996,1.131779,0.6646351,-0.7389662,1.06395,0.7050152,-0.8016709,0.1182748,
1528983870579,1.018594,0.7147717,-0.8093496,1.002799,0.7213158,-0.7731675,0.9905357,0.7290946,-0.7504601,1.073854,0.7381308,-0.7470014,1.091102,0.747615,-0.7223445,1.1003,0.7517003,-0.7057736,1.092129,0.7217208,-0.7498255,1.114307,0.7278225,-0.7220584,1.126481,0.7302492,-0.7036653,1.102,0.7031398,-0.7597889,1.121758,0.7052857,-0.7321595,1.132486,0.7052681,-0.7131906,1.105236,0.6785023,-0.7727857,1.119225,0.6696784,-0.7529418,1.127111,0.6631421,-0.7389815,1.06119,0.7071217,-0.8012081,0.1206484,
1528983870605,1.015325,0.716874,-0.807425,0.9995283,0.7223939,-0.7710769,0.9872244,0.7295561,-0.7481919,1.070188,0.7398306,-0.7446859,1.087236,0.7493442,-0.7199247,1.096208,0.7532924,-0.7031963,1.088645,0.7234809,-0.7477609,1.110785,0.7295002,-0.7199615,1.122752,0.7316814,-0.7014101,1.098562,0.7050072,-0.7579236,1.118157,0.7068737,-0.7301816,1.128502,0.7064527,-0.7110172,1.101547,0.6801935,-0.7711694,1.114753,0.6705775,-0.7511868,1.12169,0.6633682,-0.7370611,1.057801,0.7094011,-0.7993267,0.1202727,
1528983870631,1.010948,0.7152845,-0.8091294,0.9944088,0.7205995,-0.7730798,0.9816166,0.7276593,-0.7504402,1.064316,0.7386541,-0.7452899,1.080725,0.7483281,-0.7201764,1.089188,0.7522822,-0.7031859,1.082836,0.7222496,-0.7478706,1.10424,0.7283631,-0.7195314,1.115598,0.7305027,-0.7005988,1.092986,0.703817,-0.7577645,1.111894,0.7059273,-0.7295723,1.121689,0.7056127,-0.7101216,1.096171,0.6788697,-0.7707897,1.108759,0.6693455,-0.7503679,1.115041,0.6621351,-0.7359547,1.053236,0.7079445,-0.8001006,0.1200453,
