time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494261819,1.018344,0.4799172,-0.7932549,1.012097,0.4932256,-0.7561561,1.009545,0.4993353,-0.73061,1.066988,0.5149488,-0.7402104,1.063138,0.5164304,-0.7120318,1.052271,0.5082015,-0.699893,1.082525,0.5003328,-0.7392727,1.078279,0.5043137,-0.7072038,1.064626,0.4982799,-0.6925159,1.093269,0.477961,-0.7450494,1.090545,0.4790035,-0.7140563,1.077457,0.4739748,-0.6989092,1.097959,0.4555567,-0.7524042,1.096593,0.4552984,-0.728723,1.085311,0.4529928,-0.7170694,1.059381,0.474199,-0.7879899,0.05336361,
1529494261847,1.007694,0.4791065,-0.806824,1.001735,0.4926646,-0.7697479,0.9992069,0.4991916,-0.7443081,1.056098,0.5135753,-0.7540066,1.051572,0.5150385,-0.7257085,1.04073,0.5070012,-0.7133763,1.071638,0.4989253,-0.7532105,1.067041,0.5030794,-0.7208961,1.053694,0.4974824,-0.7056718,1.082625,0.4765191,-0.7591584,1.080261,0.4777762,-0.7278302,1.067895,0.4732005,-0.7118941,1.08728,0.4540669,-0.7666239,1.086379,0.4538205,-0.7426821,1.075871,0.4517058,-0.7302374,1.048688,0.4730928,-0.8019034,0.05236387,
1529494261881,0.9988227,0.4757136,-0.8198206,0.9939118,0.4890434,-0.782499,0.9919611,0.4956205,-0.7570159,1.049008,0.5097532,-0.7681966,1.045844,0.5116124,-0.7394608,1.035822,0.5042376,-0.7260247,1.06451,0.4948809,-0.7678885,1.061453,0.499137,-0.7352026,1.04902,0.4939731,-0.7190648,1.075265,0.4724528,-0.7742961,1.074553,0.4737304,-0.742734,1.063232,0.4694198,-0.7259834,1.079507,0.449919,-0.7820091,1.079807,0.4494609,-0.7579826,1.070062,0.447384,-0.7449266,1.039732,0.46951,-0.8159925,0.05439169,
1529494261911,0.9943963,0.4766745,-0.8254049,0.9896987,0.4902512,-0.7881423,0.9878498,0.4970359,-0.7627087,1.045524,0.5104311,-0.7740774,1.043245,0.5129412,-0.7451727,1.033711,0.5061011,-0.7311549,1.061063,0.4953759,-0.7739447,1.059209,0.5001684,-0.741084,1.047533,0.4955834,-0.7242264,1.071697,0.4728855,-0.7805077,1.072216,0.4745318,-0.7488752,1.061678,0.4705728,-0.7315466,1.075723,0.4501857,-0.7882972,1.077054,0.449774,-0.764254,1.067967,0.4477996,-0.7507323,1.035446,0.4700316,-0.8218735,0.05640081,
1529494261939,0.979561,0.4805471,-0.8382761,0.9749055,0.4948764,-0.8012946,0.9731479,0.5020646,-0.7759693,1.031008,0.5157373,-0.787813,1.029217,0.5195233,-0.7589934,1.019929,0.5133039,-0.7445552,1.046626,0.5005019,-0.7873616,1.04543,0.5064241,-0.7546093,1.034121,0.5024884,-0.7373613,1.057179,0.4778342,-0.7934349,1.058217,0.4804488,-0.7618611,1.047989,0.4770207,-0.7442482,1.061137,0.4548584,-0.8007219,1.062903,0.4550527,-0.7766657,1.054137,0.4534171,-0.7628984,1.020627,0.4739021,-0.8345926,0.05745962,
1529494261965,0.9735423,0.4826649,-0.8451054,0.9689705,0.4977058,-0.8084087,0.9674027,0.5050269,-0.7831228,1.02553,0.5184739,-0.7951767,1.024199,0.5234756,-0.7665065,1.014959,0.5180615,-0.751735,1.040969,0.5028052,-0.7942021,1.040373,0.5097598,-0.7616342,1.029182,0.5066214,-0.7441704,1.051061,0.4798063,-0.7996253,1.052447,0.4833012,-0.7681714,1.042258,0.4805591,-0.7504262,1.054613,0.456526,-0.8063052,1.056589,0.4572819,-0.7823095,1.047795,0.4561314,-0.7685281,1.014405,0.4754646,-0.8409008,0.0584526,
1529494261992,0.9635545,0.48418,-0.8540474,0.9595398,0.4998071,-0.8175478,0.9585615,0.5072051,-0.7922651,1.016766,0.5210515,-0.8056431,1.016541,0.5267811,-0.7771463,1.007737,0.521605,-0.7620764,1.032368,0.5053388,-0.804709,1.032928,0.512825,-0.7723734,1.022109,0.5097991,-0.7547098,1.042269,0.4822994,-0.8099288,1.04436,0.4862292,-0.7787144,1.034222,0.4835063,-0.7609905,1.045756,0.4589393,-0.8163111,1.04822,0.4600863,-0.7924941,1.039329,0.4590196,-0.7788278,1.00459,0.477083,-0.8503509,0.05947199,
1529494262018,0.9560331,0.4852634,-0.8609474,0.9517764,0.5016539,-0.8248421,0.9508856,0.5090827,-0.7995878,1.009776,0.5228218,-0.8129519,1.010265,0.5297092,-0.7846522,1.001813,0.5253761,-0.7691156,1.025287,0.5068426,-0.8115536,1.026479,0.5151681,-0.7794412,1.015861,0.5127233,-0.7616054,1.034832,0.4835581,-0.8161645,1.036989,0.4880258,-0.7851065,1.026623,0.4856026,-0.7675196,1.03811,0.4600438,-0.8220405,1.04042,0.4615738,-0.7983344,1.031105,0.4607386,-0.7849904,0.9971836,0.4777628,-0.8566893,0.06154398,
1529494262054,0.9436637,0.4881991,-0.8697202,0.9398572,0.5056565,-0.8341307,0.9394178,0.5131161,-0.8088868,0.9994289,0.5249942,-0.8225101,1.001277,0.5333812,-0.7946324,0.9931575,0.5304606,-0.7786164,1.014238,0.5080721,-0.8203368,1.0168,0.5174264,-0.7885904,1.006449,0.516186,-0.7705431,1.022504,0.4842378,-0.824035,1.025313,0.4895028,-0.7932142,1.014891,0.4880692,-0.7755997,1.024641,0.4603885,-0.8290979,1.027129,0.4624017,-0.8055657,1.017506,0.4623171,-0.7924712,0.9844916,0.4789308,-0.8646544,0.06407087,
1529494262086,0.9346706,0.4875206,-0.8775921,0.9311806,0.5064579,-0.8428242,0.9313653,0.5142938,-0.8177072,0.9920955,0.5258824,-0.8326641,0.9954401,0.5358081,-0.8054349,0.9881201,0.5337851,-0.7889423,1.006975,0.5087488,-0.8300476,1.010851,0.5191078,-0.7988329,1.000985,0.5183359,-0.7805734,1.014981,0.4848228,-0.8330157,1.018489,0.4909345,-0.8025596,1.008144,0.4898168,-0.7849437,1.01693,0.4607006,-0.8372572,1.019591,0.4631945,-0.8139498,1.009648,0.4633182,-0.8011694,0.975976,0.4780318,-0.8725946,0.06654654,
