time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494443130,1.050361,0.5505908,-0.8638772,1.043365,0.54807,-0.8260431,1.045811,0.5378246,-0.8033695,1.084798,0.5832411,-0.7990617,1.086203,0.5826352,-0.7699705,1.080711,0.5752912,-0.7545434,1.100802,0.5693247,-0.7974072,1.09945,0.567283,-0.7642255,1.090619,0.5597261,-0.7472603,1.114634,0.5527322,-0.8048527,1.11302,0.5502005,-0.773694,1.103503,0.5430331,-0.7573757,1.122283,0.5327131,-0.8146389,1.118494,0.5281894,-0.7922587,1.106924,0.5221885,-0.7831011,1.086936,0.5516836,-0.8529388,0.07075106,
1529494443170,1.044976,0.5535483,-0.8641596,1.035649,0.5524193,-0.8266835,1.036269,0.5435274,-0.8031897,1.079584,0.5891311,-0.7994424,1.082978,0.5921792,-0.7704895,1.079012,0.587252,-0.7536528,1.096024,0.5749693,-0.7967949,1.097105,0.5759512,-0.7634636,1.08976,0.5701452,-0.745137,1.109771,0.5580695,-0.8033774,1.110512,0.5584316,-0.7718608,1.10298,0.5532491,-0.7537314,1.117233,0.5372104,-0.8122191,1.115886,0.5343476,-0.7885842,1.107538,0.5295632,-0.7754199,1.081823,0.5547086,-0.8519047,0.07869377,
1529494443199,1.04312,0.5549397,-0.8647025,1.032453,0.5548055,-0.8275145,1.032125,0.546989,-0.8035761,1.07729,0.5930387,-0.80045,1.081062,0.5978409,-0.7718503,1.077396,0.5937199,-0.7547144,1.094272,0.5791194,-0.7972739,1.095996,0.581544,-0.7641721,1.088839,0.576124,-0.7456806,1.108444,0.5623549,-0.8033748,1.110163,0.5642935,-0.7719611,1.103353,0.5598897,-0.7533373,1.116486,0.5412986,-0.8116103,1.117429,0.5399224,-0.7874506,1.111145,0.5360661,-0.7732361,1.080277,0.5569163,-0.8518715,0.08136769,
1529494443224,1.039468,0.5587245,-0.8642546,1.027215,0.559922,-0.8275093,1.025683,0.5535642,-0.8031076,1.072025,0.5999368,-0.8005991,1.075484,0.6061857,-0.7723361,1.071771,0.6026772,-0.7550211,1.089529,0.5865772,-0.7966559,1.09103,0.5903302,-0.7638327,1.083697,0.5851999,-0.7452855,1.104347,0.570083,-0.8020031,1.106192,0.5735319,-0.7707758,1.09963,0.569819,-0.7518606,1.11367,0.5491849,-0.809481,1.11595,0.5493934,-0.7853457,1.110647,0.5462909,-0.7705902,1.076766,0.5619079,-0.8505882,0.08275537,
1529494443273,1.036674,0.5621452,-0.8646867,1.022428,0.5652156,-0.8286829,1.019047,0.5608919,-0.8039114,1.067497,0.6064284,-0.8018726,1.070204,0.6133971,-0.7737784,1.066212,0.6103528,-0.7563325,1.085215,0.593797,-0.7970231,1.085988,0.5987762,-0.7644296,1.078419,0.5942831,-0.745685,1.100558,0.5776783,-0.8013847,1.102122,0.5829949,-0.7703847,1.095798,0.5805644,-0.7510803,1.111457,0.5569395,-0.8079484,1.115061,0.5590293,-0.7841123,1.110858,0.5570987,-0.7686853,1.073967,0.5666825,-0.8500956,0.08327476,
1529494443304,1.034739,0.5646702,-0.8650191,1.019627,0.568581,-0.8293909,1.015304,0.5653739,-0.804526,1.064221,0.6107622,-0.8028145,1.066495,0.618027,-0.7747713,1.062343,0.615098,-0.7573287,1.081961,0.5986147,-0.7974724,1.082059,0.6040459,-0.7649767,1.074195,0.5996594,-0.74631,1.097598,0.5827124,-0.8012674,1.098511,0.5885965,-0.7703546,1.091949,0.5864668,-0.7510598,1.109378,0.5622306,-0.8073668,1.112762,0.5649019,-0.7837071,1.10806,0.563042,-0.768376,1.071875,0.5702044,-0.8500578,0.08314323,
1529494443330,1.031479,0.5681123,-0.8637282,1.01602,0.5727587,-0.8282939,1.011128,0.5702866,-0.8034166,1.061095,0.6147026,-0.8019179,1.063363,0.622377,-0.7739642,1.059148,0.6197222,-0.7565139,1.078754,0.6024215,-0.7963426,1.078927,0.6082751,-0.7638608,1.071155,0.6043029,-0.7450618,1.094324,0.5864008,-0.7999124,1.095306,0.5926598,-0.7690555,1.088769,0.5908428,-0.7497269,1.106134,0.565799,-0.8057919,1.109486,0.5686038,-0.7822436,1.104453,0.5667446,-0.767006,1.068643,0.5735274,-0.8486518,0.08336462,
1529494443357,1.029828,0.5704907,-0.8642373,1.013861,0.5760736,-0.8291187,1.008271,0.5746158,-0.8042589,1.059191,0.6187528,-0.8034443,1.061482,0.6274116,-0.7756987,1.057441,0.625613,-0.7580817,1.076749,0.6064237,-0.797366,1.076885,0.6130942,-0.7649308,1.06934,0.6098783,-0.7458634,1.092378,0.5904346,-0.8004875,1.093373,0.5976016,-0.7697538,1.087078,0.5965765,-0.7502625,1.104258,0.5697092,-0.8057959,1.107409,0.5730463,-0.7823395,1.102278,0.571558,-0.767038,1.066979,0.5763273,-0.8490316,0.08456145,
1529494443383,1.027821,0.5730118,-0.8635985,1.011158,0.5794935,-0.8289094,1.004725,0.5790434,-0.804175,1.05702,0.622749,-0.8036687,1.059288,0.6323297,-0.7761796,1.05531,0.6312401,-0.7584882,1.07451,0.6104064,-0.7971318,1.074589,0.6178772,-0.764811,1.067129,0.6152745,-0.7456106,1.090155,0.5943438,-0.7998035,1.091061,0.6022069,-0.7692076,1.084795,0.601711,-0.7496816,1.102093,0.5735023,-0.8045989,1.105168,0.5773098,-0.7812054,1.10008,0.5761945,-0.7658306,1.065045,0.5792331,-0.8482091,0.08585186,
1529494443410,1.025577,0.5746025,-0.8622549,1.007871,0.5822172,-0.8282413,1.000104,0.583225,-0.8038481,1.054476,0.6257266,-0.8030614,1.056723,0.6362073,-0.7758297,1.052947,0.635904,-0.7580451,1.072018,0.613539,-0.7961373,1.072115,0.6218333,-0.7639259,1.06495,0.6199378,-0.7445022,1.087743,0.5974813,-0.7983819,1.088533,0.6059508,-0.7678977,1.082387,0.6059406,-0.7483138,1.099957,0.5766016,-0.80273,1.103107,0.5807961,-0.7793782,1.098282,0.5800204,-0.7638732,1.062993,0.5812902,-0.8466195,0.08755222,
1529494443436,1.02094,0.5784058,-0.8605779,1.001155,0.588033,-0.8281353,0.9908662,0.5915236,-0.8048247,1.048566,0.6307667,-0.8016005,1.05025,0.6424322,-0.7746778,1.046517,0.6433038,-0.7568641,1.066309,0.6189342,-0.7941052,1.066245,0.6285917,-0.7620777,1.05959,0.6280631,-0.742318,1.082032,0.602783,-0.7955813,1.082205,0.6120124,-0.7651999,1.076119,0.6127691,-0.7455746,1.094846,0.5817862,-0.7992727,1.097964,0.5862712,-0.7758811,1.093601,0.5859241,-0.7601782,1.058505,0.5853072,-0.8439223,0.08988009,
1529494443471,1.014091,0.5823108,-0.8583619,0.9915091,0.5946168,-0.8286476,0.9777483,0.6015012,-0.8079293,1.040326,0.6354269,-0.7990199,1.04109,0.648318,-0.7724543,1.037208,0.6505705,-0.7547551,1.058286,0.6237419,-0.7907754,1.057979,0.6347179,-0.758957,1.051836,0.6357517,-0.7389886,1.073899,0.607407,-0.7913463,1.073537,0.6174514,-0.7610593,1.067775,0.6193428,-0.7413558,1.087219,0.5860647,-0.7942376,1.090492,0.5905929,-0.7707365,1.08696,0.5907544,-0.7547678,1.051845,0.5889502,-0.839997,0.09365255,
