time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494394835,1.032474,0.5567551,-0.7851853,1.021428,0.5622251,-0.7481002,1.016983,0.558854,-0.7233815,1.077553,0.5755997,-0.7202723,1.074664,0.5727225,-0.6928988,1.062732,0.5647628,-0.6825693,1.088775,0.5584009,-0.7192059,1.08218,0.5561658,-0.6883714,1.0664,0.5496719,-0.6776341,1.095417,0.5364099,-0.7270142,1.085663,0.5312764,-0.6998036,1.068132,0.5254173,-0.6927781,1.097592,0.5164752,-0.7371834,1.088602,0.5130352,-0.7172744,1.073404,0.5111094,-0.7141376,1.070522,0.5451361,-0.7743813,0.06159129,
1529494394885,1.015594,0.5532179,-0.8127424,1.001964,0.5601315,-0.7767915,0.9953905,0.557846,-0.7523423,1.057199,0.5729903,-0.7453679,1.054071,0.5722464,-0.7171226,1.042644,0.5661727,-0.705189,1.068185,0.5553173,-0.7428116,1.062307,0.5553783,-0.7108886,1.047723,0.5509893,-0.6974534,1.072641,0.5326416,-0.7493057,1.060443,0.5290724,-0.7224373,1.042389,0.5242972,-0.7155113,1.074596,0.5123192,-0.7586088,1.063282,0.5101455,-0.7399429,1.047654,0.5090273,-0.7386619,1.052246,0.5406121,-0.7986813,0.06727277,
1529494394917,1.003084,0.5502881,-0.8296152,0.9881769,0.5559402,-0.7939432,0.9804118,0.5533437,-0.7697638,1.043369,0.5687714,-0.7606524,1.041474,0.5674995,-0.7319485,1.031121,0.5619922,-0.7186445,1.054171,0.5507543,-0.7577317,1.050098,0.5501927,-0.7251307,1.036879,0.5462863,-0.7101566,1.058404,0.528902,-0.7639563,1.048619,0.5260969,-0.735004,1.03228,0.5221289,-0.7242938,1.059319,0.5082743,-0.7733737,1.048265,0.5061358,-0.7542479,1.032682,0.5052879,-0.7519069,1.038679,0.5374945,-0.8143188,0.07252158,
1529494394941,0.991471,0.5474522,-0.8390427,0.976027,0.5523693,-0.8034426,0.9678296,0.5498468,-0.7793572,1.03226,0.5653096,-0.7697375,1.031594,0.5632684,-0.7409662,1.022044,0.557346,-0.7272105,1.043388,0.5474425,-0.7670937,1.040529,0.5459698,-0.7343461,1.028026,0.5415086,-0.7189182,1.048316,0.5262855,-0.7735652,1.040417,0.5232707,-0.7438747,1.02521,0.5190349,-0.7316297,1.049266,0.5055138,-0.7832941,1.039203,0.5027364,-0.7635494,1.023834,0.5014358,-0.7599114,1.027447,0.5351184,-0.8238524,0.07559587,
1529494394983,0.969975,0.544421,-0.8547475,0.9535409,0.5493408,-0.819511,0.9444767,0.5481469,-0.7955354,1.011261,0.5631519,-0.7852157,1.011609,0.5609159,-0.7564937,1.002993,0.5542624,-0.7423441,1.023472,0.5457456,-0.7830648,1.021225,0.5433338,-0.7504284,1.009257,0.5376295,-0.7348464,1.030498,0.525699,-0.7900417,1.024979,0.5224609,-0.7596482,1.01159,0.5173818,-0.7454916,1.032521,0.5045199,-0.80022,1.02404,0.5003922,-0.7796856,1.009315,0.4977583,-0.7742526,1.007483,0.533536,-0.8398696,0.07931485,
1529494395022,0.9536024,0.541517,-0.8685256,0.9343418,0.5479976,-0.8349644,0.9231788,0.5487676,-0.8118125,0.9912826,0.5631223,-0.7972002,0.9899571,0.5618404,-0.7685454,0.9808515,0.5549403,-0.7547635,1.004308,0.5460829,-0.7943592,0.9996549,0.5436496,-0.7621911,0.9866291,0.5370523,-0.7477652,1.013798,0.5267006,-0.8008868,1.007755,0.5237306,-0.7705607,0.9945312,0.5180833,-0.7563366,1.018008,0.5051298,-0.8106923,1.010537,0.5003244,-0.7893544,0.9972843,0.4964276,-0.7807229,0.9919348,0.5320892,-0.8515676,0.08135621,
1529494395057,0.9448925,0.5380505,-0.8763628,0.9243754,0.5465624,-0.8440382,0.9127151,0.5484447,-0.8212374,0.9781269,0.5644102,-0.8049995,0.9731222,0.5643178,-0.7770658,0.9623466,0.5566233,-0.7651983,0.9927143,0.5487757,-0.8013649,0.984972,0.5479671,-0.7701147,0.9704816,0.5406755,-0.7577525,1.005076,0.5292586,-0.8069074,0.9981956,0.5271086,-0.776956,0.9843171,0.5207754,-0.7638785,1.012312,0.5076274,-0.8156503,1.007007,0.5034032,-0.7933341,0.9948337,0.4990015,-0.7837803,0.9836928,0.5307529,-0.8580093,0.07530311,
1529494395089,0.9380717,0.536536,-0.881214,0.9171103,0.545756,-0.8493848,0.905427,0.5482498,-0.8266603,0.9666196,0.5670315,-0.8106953,0.9590678,0.5665692,-0.7835522,0.9479548,0.5576007,-0.7729578,0.9825405,0.5535369,-0.806551,0.9724249,0.5533373,-0.7761797,0.9576175,0.544934,-0.7649968,0.9976599,0.5346693,-0.811159,0.9899098,0.532845,-0.7816408,0.9758508,0.5254788,-0.7693511,1.007703,0.5136482,-0.81903,1.003543,0.5102109,-0.7963213,0.9920735,0.5052824,-0.7862766,0.9769257,0.5324971,-0.8623843,0.0691376,
1529494395115,0.9353727,0.5378568,-0.882274,0.9145976,0.5478547,-0.8505739,0.9031771,0.5509151,-0.827777,0.9630975,0.5702608,-0.8125506,0.9560212,0.5703079,-0.7850062,0.9456482,0.5617038,-0.7733076,0.9793315,0.5575804,-0.8082839,0.9694048,0.5578848,-0.7776064,0.9552306,0.5495895,-0.7654302,0.9952821,0.5392247,-0.8125809,0.9878281,0.5378,-0.7828945,0.9742962,0.530319,-0.7699885,1.006365,0.5185869,-0.8200782,1.002945,0.5157114,-0.7971132,0.992066,0.5106879,-0.7864699,0.9743083,0.5351823,-0.863584,0.06990782,
1529494395142,0.9360538,0.5417515,-0.8815696,0.916236,0.5540715,-0.850058,0.9051034,0.5589737,-0.8274112,0.9663439,0.5752679,-0.8132577,0.9609724,0.5775049,-0.7850523,0.9514614,0.5710621,-0.7712432,0.982053,0.5620158,-0.8087624,0.9737422,0.5643909,-0.7773191,0.9603709,0.5580654,-0.7630483,0.9971089,0.5429485,-0.8127022,0.9908051,0.5431342,-0.7825215,0.977896,0.5370817,-0.7681916,1.007477,0.5216733,-0.8197151,1.005134,0.5198241,-0.7964098,0.9949256,0.5157057,-0.7847171,0.974982,0.537986,-0.8632728,0.07382438,
