time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494538560,1.008933,0.5590145,-0.8437198,0.9813045,0.5736355,-0.820291,0.9662055,0.5798988,-0.8005817,1.019583,0.6167142,-0.7845246,1.013034,0.6321107,-0.7600309,1.005255,0.6361196,-0.7439952,1.037019,0.6077489,-0.7725343,1.029241,0.6222897,-0.743156,1.018857,0.6248386,-0.725279,1.052155,0.5904982,-0.7679783,1.041833,0.5993241,-0.7394643,1.029366,0.5982761,-0.7232931,1.063132,0.5679551,-0.766829,1.051166,0.5669291,-0.7476169,1.03724,0.5603426,-0.7433946,1.04244,0.5681598,-0.8182843,0.0888125,
1529494538599,0.9937241,0.5679054,-0.8377542,0.9646502,0.5829102,-0.8164144,0.9482772,0.5897462,-0.7979079,1.000786,0.6282051,-0.7804596,0.99291,0.6449126,-0.757204,0.9844335,0.6500434,-0.7418218,1.017825,0.6198833,-0.767161,1.008779,0.6359219,-0.7388947,0.9977663,0.6395741,-0.7215739,1.032574,0.6026444,-0.7610128,1.020527,0.6121398,-0.7334303,1.007105,0.6112682,-0.7180531,1.04293,0.5799335,-0.7587447,1.02888,0.5784665,-0.7415228,1.014849,0.5710558,-0.7400795,1.025864,0.5784761,-0.8109246,0.08993706,
1529494538629,0.9865336,0.5739578,-0.8343655,0.9569266,0.5891991,-0.8139231,0.9399449,0.5964222,-0.7960886,0.9920944,0.6356339,-0.7783839,0.9836015,0.6531621,-0.755929,0.9748282,0.6591042,-0.7409788,1.008932,0.6276062,-0.7644504,0.9994688,0.6447383,-0.73691,0.988349,0.6494255,-0.7198644,1.023388,0.610256,-0.7574385,1.010691,0.6203533,-0.7303489,0.9969434,0.6199446,-0.7152155,1.033278,0.5873641,-0.7546008,1.018397,0.585871,-0.738236,1.004388,0.5782783,-0.737657,1.017906,0.5851299,-0.8070475,0.09045975,
1529494538675,0.9677867,0.5878769,-0.828383,0.93738,0.604219,-0.8099749,0.9193963,0.612738,-0.793713,0.9709295,0.6524626,-0.7757608,0.9615796,0.6717147,-0.7549756,0.9527415,0.6796329,-0.7409272,0.9875637,0.6454643,-0.7609518,0.9775743,0.6650168,-0.7350476,0.9668486,0.6723209,-0.7185398,1.001739,0.6282781,-0.7523717,0.9884169,0.6403695,-0.7261013,0.9750724,0.6424135,-0.710542,1.011307,0.6055584,-0.7482755,0.995381,0.6047018,-0.7326524,0.9813247,0.5970478,-0.7319038,0.9981704,0.6005718,-0.8006768,0.09150508,
1529494538719,0.9514019,0.6022452,-0.8248792,0.9207953,0.6179561,-0.8060945,0.902344,0.6266395,-0.7903877,0.9528136,0.6671253,-0.7729697,0.9430296,0.686405,-0.752311,0.9345045,0.6948791,-0.7383385,0.9701444,0.6610389,-0.7586136,0.9600143,0.6808932,-0.7328585,0.9500354,0.6891029,-0.716205,0.9854621,0.6447453,-0.750339,0.9727018,0.6575394,-0.7239224,0.960502,0.6609081,-0.7075453,0.995774,0.6222,-0.7463469,0.9799997,0.6210469,-0.7301899,0.9660664,0.6132068,-0.7279766,0.9817864,0.616287,-0.7982216,0.09165183,
1529494538745,0.9427519,0.6118771,-0.8218225,0.9115767,0.6284851,-0.8048084,0.8924838,0.6379882,-0.7903781,0.9426202,0.6784266,-0.7721251,0.9324245,0.6984704,-0.7523823,0.923712,0.7076868,-0.7389958,0.9593375,0.6728855,-0.7570691,0.9486181,0.6938981,-0.732439,0.938431,0.7031562,-0.7164661,0.9743379,0.6570559,-0.7477783,0.9610217,0.6714075,-0.722391,0.9486371,0.6761225,-0.7064798,0.9843256,0.6345087,-0.7425169,0.9680414,0.6342615,-0.7266265,0.953916,0.6268709,-0.7240329,0.9722004,0.6266623,-0.7945647,0.09205018,
1529494538772,0.9372149,0.6186128,-0.8215822,0.9051896,0.6346564,-0.8056051,0.8852781,0.6438297,-0.7920819,0.9351941,0.6841134,-0.7702947,0.9247344,0.7038357,-0.7503503,0.9158341,0.7129529,-0.7370173,0.9512024,0.678169,-0.7546256,0.9401571,0.698864,-0.7298195,0.929894,0.7082132,-0.7139398,0.9657918,0.6623445,-0.7451341,0.9522728,0.676944,-0.7198998,0.9400111,0.6823891,-0.7041018,0.9766277,0.640674,-0.7392637,0.9616863,0.6430214,-0.7213017,0.947405,0.63854,-0.7148491,0.965356,0.6328518,-0.7927621,0.09350823,
1529494538799,0.9287701,0.6275388,-0.8184916,0.8963673,0.6415868,-0.8014191,0.8762576,0.6494561,-0.7873625,0.9262997,0.691932,-0.7653053,0.9161624,0.7109607,-0.7445529,0.9074537,0.7194647,-0.7307074,0.9428604,0.6859746,-0.7500418,0.932466,0.7058996,-0.7243383,0.9226185,0.7146568,-0.7078804,0.9578793,0.6704665,-0.7413642,0.9451007,0.6847098,-0.7154902,0.9334313,0.6899898,-0.6992146,0.9690564,0.6483433,-0.7361865,0.9543741,0.6493289,-0.717961,0.940361,0.64421,-0.7113469,0.9571226,0.6421397,-0.7898502,0.095311,
1529494538826,0.9233081,0.6344754,-0.8162946,0.8906509,0.6462239,-0.7979769,0.8703194,0.6527258,-0.7835206,0.9204171,0.6977547,-0.7612804,0.9105954,0.7160461,-0.7397602,0.902048,0.7237937,-0.725396,0.9375404,0.6918284,-0.7465303,0.9275772,0.7107671,-0.7199578,0.9179283,0.7185963,-0.7029433,0.9533988,0.6769482,-0.7387984,0.9414847,0.6907972,-0.7123284,0.9302524,0.6955551,-0.695618,0.9651332,0.654459,-0.7343096,0.9510713,0.654179,-0.7157315,0.9373726,0.6479558,-0.7096276,0.9519354,0.6495439,-0.7879587,0.09713814,
1529494538862,0.9202437,0.640991,-0.8124977,0.8876689,0.6502032,-0.7926099,0.8673862,0.6551734,-0.7774886,0.917812,0.703371,-0.755782,0.9085455,0.720982,-0.7335014,0.9003232,0.7279208,-0.7185723,0.9358125,0.6976081,-0.741852,0.9267226,0.7156817,-0.7144123,0.917588,0.7226458,-0.6967714,0.9527673,0.6835757,-0.7353547,0.9423541,0.6973509,-0.7082446,0.9319972,0.7018375,-0.6909243,0.9652267,0.6607522,-0.7316345,0.9524981,0.659641,-0.7120691,0.9394497,0.653042,-0.7049942,0.9495931,0.6568114,-0.7849718,0.09923782,
