time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494475944,0.8002037,0.5483929,-0.8710288,0.7846576,0.5414664,-0.8358393,0.7792116,0.5309577,-0.8134601,0.8406293,0.5613806,-0.7985995,0.8452897,0.5547698,-0.7718852,0.8396341,0.5424074,-0.7603992,0.8563111,0.5475876,-0.8001862,0.8563873,0.5380107,-0.7700564,0.845683,0.5249676,-0.7586051,0.8686442,0.532416,-0.8117605,0.86651,0.5214705,-0.7835598,0.8553723,0.5092556,-0.7717618,0.8724691,0.5138475,-0.827696,0.8626968,0.5020914,-0.8121856,0.8482478,0.4956166,-0.8129833,0.840509,0.5439095,-0.8586282,0.08122455,
1529494475972,0.80178,0.5529356,-0.8701142,0.7878101,0.5460234,-0.8342833,0.7834124,0.5357176,-0.8115491,0.8409733,0.5674731,-0.798252,0.8439799,0.5603001,-0.771734,0.8371817,0.5473981,-0.7618213,0.8567719,0.554167,-0.7999386,0.8551129,0.544327,-0.770243,0.8434182,0.5309598,-0.7605832,0.8698661,0.5390106,-0.8116449,0.8665227,0.5275413,-0.7842675,0.854167,0.5148655,-0.7746179,0.8750097,0.5210646,-0.8271601,0.8660592,0.5096044,-0.8110853,0.8518662,0.5028987,-0.8118597,0.8417211,0.5496622,-0.858383,0.07416493,
1529494476011,0.8038801,0.560189,-0.8704841,0.7920552,0.5532404,-0.8338329,0.7886571,0.5437286,-0.8104656,0.8405098,0.5766226,-0.7994722,0.8406492,0.5678617,-0.7733134,0.8329817,0.5542693,-0.7650121,0.8568587,0.5646585,-0.8014822,0.8529201,0.5542521,-0.7720242,0.8409931,0.5404651,-0.7631349,0.8717767,0.550348,-0.8133431,0.8679821,0.5387779,-0.7860912,0.85563,0.5257347,-0.7772145,0.8793836,0.5333673,-0.828301,0.8728089,0.522347,-0.8103746,0.859375,0.5143898,-0.8087673,0.8432408,0.5590952,-0.8597568,0.06435682,
1529494476037,0.8049518,0.5661598,-0.8701702,0.7939605,0.5588337,-0.8332705,0.7903032,0.5500608,-0.8095162,0.8389355,0.5820252,-0.7992262,0.8365511,0.5716474,-0.7737214,0.8283725,0.5575154,-0.7666854,0.8558659,0.5709062,-0.801561,0.8500886,0.5594255,-0.7725572,0.8380793,0.5452338,-0.7641914,0.872043,0.557394,-0.8136109,0.8677238,0.5451559,-0.7865255,0.8556283,0.5317469,-0.7777114,0.8814442,0.5414128,-0.8286341,0.8765712,0.5303569,-0.8096255,0.8641294,0.5214566,-0.8055803,0.8438965,0.5662428,-0.8598315,0.05778684,
1529494476075,0.8069773,0.5721482,-0.8721367,0.7975953,0.5638511,-0.8349332,0.7941372,0.5554687,-0.8109175,0.8389686,0.5861408,-0.8020756,0.8337054,0.5730489,-0.7784451,0.8249161,0.5581448,-0.774175,0.8564856,0.5758163,-0.8050945,0.8485455,0.5620192,-0.777568,0.8362124,0.5470832,-0.7707692,0.8736457,0.5632986,-0.8176482,0.8683267,0.5493026,-0.7915632,0.8560659,0.5352786,-0.7838538,0.8849482,0.5489193,-0.8330585,0.8821528,0.5375684,-0.8132797,0.87134,0.5278393,-0.8065611,0.8455347,0.5732197,-0.8628502,0.0480053,
1529494476104,0.8081295,0.5767887,-0.8727055,0.7992544,0.5684435,-0.8353691,0.7960556,0.5601742,-0.8112982,0.8386031,0.5910625,-0.8033276,0.8315113,0.5767751,-0.7813484,0.8223926,0.561642,-0.7796229,0.8561801,0.5807354,-0.8063929,0.8462746,0.5656273,-0.78061,0.833322,0.5503201,-0.7762046,0.8735838,0.5683783,-0.8187551,0.866333,0.5533448,-0.7941314,0.8530933,0.5391718,-0.7888122,0.8859258,0.5548074,-0.8338038,0.8828491,0.543572,-0.814076,0.8719028,0.5338495,-0.8075067,0.8464616,0.5786551,-0.8636488,0.0412203,
1529494476130,0.8078959,0.5778953,-0.8768368,0.7994121,0.569913,-0.8393313,0.7967908,0.5616763,-0.8152315,0.8385435,0.5940676,-0.8079472,0.8318799,0.5797822,-0.786062,0.822978,0.5646261,-0.7849959,0.8558965,0.5838277,-0.8109478,0.8458766,0.5685403,-0.7856843,0.832939,0.5530586,-0.7825075,0.87323,0.5714828,-0.8231201,0.8655255,0.55636,-0.7989622,0.8520808,0.5421362,-0.7947626,0.8860081,0.5581212,-0.8378009,0.8828117,0.5472002,-0.8180678,0.8716452,0.5375198,-0.8119311,0.8462514,0.5806335,-0.8679843,0.04010811,
1529494476157,0.808084,0.5812203,-0.8770751,0.7992318,0.5738796,-0.8395364,0.7967216,0.5657725,-0.8154267,0.8395053,0.5995678,-0.808171,0.8341943,0.5863951,-0.7849247,0.8255466,0.5713774,-0.7821632,0.8565884,0.5891037,-0.8108686,0.8474376,0.5746006,-0.7847747,0.8347052,0.5592636,-0.7809994,0.8733884,0.5762899,-0.8228033,0.8657534,0.5616006,-0.79831,0.8523774,0.5474597,-0.7939218,0.8859669,0.5625176,-0.837119,0.8822759,0.551785,-0.8174244,0.8707916,0.5422781,-0.8117957,0.8464996,0.5844493,-0.8679969,0.04437066,
1529494476183,0.8084427,0.5845869,-0.8792257,0.7991759,0.5777998,-0.8417032,0.7966031,0.5697528,-0.817599,0.8421897,0.6043465,-0.8103375,0.8394766,0.5935997,-0.7845046,0.8317947,0.5795186,-0.7769896,0.8589259,0.5931648,-0.8128582,0.8521117,0.5804602,-0.7843131,0.8401844,0.5658935,-0.7767978,0.8745987,0.5796775,-0.8247337,0.868057,0.5661558,-0.7986877,0.8552766,0.5524073,-0.7918326,0.8856398,0.5648081,-0.8390536,0.8806621,0.554091,-0.8197846,0.8684776,0.5449591,-0.8150781,0.8472047,0.5872846,-0.8701408,0.05461632,
1529494476210,0.8142834,0.5873335,-0.8836746,0.8043551,0.5818384,-0.8461564,0.8017935,0.5738668,-0.8220875,0.8539301,0.6090503,-0.8158711,0.8577547,0.6032798,-0.7873989,0.8542762,0.5929471,-0.7729779,0.8700066,0.5963646,-0.817924,0.8693368,0.5873438,-0.7861122,0.8605084,0.5751711,-0.7724079,0.8823126,0.5814966,-0.8294013,0.8776357,0.5704241,-0.8010719,0.8662255,0.5580747,-0.7898034,0.8898017,0.5642337,-0.8438944,0.8815444,0.5535816,-0.8264807,0.8676804,0.545911,-0.8253853,0.8539454,0.5883142,-0.8748726,0.07436563,
