time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494563787,1.074308,0.5224008,-0.7832103,1.049951,0.5269727,-0.7512391,1.035938,0.5263569,-0.7283312,1.107562,0.5526702,-0.7081259,1.110966,0.5560142,-0.6777341,1.107119,0.5519326,-0.6595206,1.123236,0.5363059,-0.7033998,1.123665,0.5357108,-0.6682949,1.116324,0.5298581,-0.6486129,1.134807,0.5191639,-0.7088151,1.131012,0.5184307,-0.6758203,1.121333,0.5132666,-0.6574202,1.139555,0.4960341,-0.718742,1.127537,0.4890653,-0.6999453,1.112105,0.4828736,-0.6982834,1.113883,0.5192288,-0.7622245,0.1022538,
1529494563813,1.070046,0.5249078,-0.7816116,1.044908,0.5310646,-0.7504705,1.029445,0.5327328,-0.7284715,1.102362,0.5542049,-0.7059368,1.10471,0.5564638,-0.6753881,1.099897,0.5517174,-0.6576113,1.117443,0.5379047,-0.70094,1.116665,0.5371069,-0.6658171,1.108655,0.5314239,-0.6463312,1.128973,0.5205426,-0.7060624,1.124327,0.5197577,-0.6731943,1.11408,0.5147668,-0.6550332,1.133395,0.4972199,-0.7158055,1.120783,0.4904289,-0.6973403,1.105129,0.484644,-0.6959269,1.109121,0.5209047,-0.7598581,0.1017104,
1529494563853,1.062723,0.5312331,-0.7778983,1.037349,0.5379177,-0.7470702,1.021371,0.540117,-0.7254403,1.092034,0.5565274,-0.7005008,1.092771,0.5565926,-0.6697853,1.086702,0.5511912,-0.652544,1.105472,0.5397753,-0.6950372,1.10277,0.5381933,-0.6599343,1.093585,0.53281,-0.6409026,1.115241,0.5213454,-0.699819,1.107297,0.5193552,-0.6676694,1.0949,0.5142545,-0.6509196,1.119319,0.4986855,-0.7096215,1.105471,0.4927199,-0.6911634,1.089537,0.4879478,-0.6891171,1.099501,0.5245062,-0.7546263,0.09851203,
1529494563903,1.059232,0.540099,-0.7783886,1.031876,0.5444895,-0.749005,1.014503,0.5437745,-0.72837,1.078255,0.5562669,-0.6967001,1.076207,0.5535582,-0.6659608,1.068561,0.5482063,-0.6492852,1.088187,0.5378696,-0.6904716,1.082809,0.5349658,-0.6555268,1.072619,0.5306115,-0.6366482,1.093679,0.5175757,-0.6954256,1.080531,0.5140561,-0.6649463,1.065747,0.5099003,-0.6498592,1.095702,0.4960639,-0.7064659,1.078007,0.4915313,-0.6908489,1.061375,0.4893544,-0.6912165,1.088801,0.5277118,-0.7515519,0.09589756,
1529494563933,1.05368,0.5464279,-0.7774584,1.025924,0.5489182,-0.7483495,1.00842,0.5457255,-0.7280936,1.06948,0.560147,-0.6950713,1.067601,0.5571438,-0.6641926,1.06036,0.5523809,-0.6471543,1.077865,0.5408278,-0.6887869,1.07271,0.537595,-0.6537489,1.062938,0.5337351,-0.6345082,1.081265,0.5199517,-0.6940267,1.067402,0.516282,-0.6637362,1.052456,0.5127513,-0.6486952,1.081994,0.4989577,-0.7056228,1.063441,0.4953496,-0.6906417,1.046676,0.4943688,-0.6912718,1.080222,0.5324191,-0.750127,0.09640145,
1529494563974,1.053393,0.5493929,-0.7793362,1.024003,0.5509723,-0.7519432,1.004955,0.5461293,-0.733522,1.062873,0.5602199,-0.6959692,1.060026,0.5580046,-0.6649932,1.052492,0.5550272,-0.6476101,1.067494,0.538572,-0.6898103,1.061773,0.535086,-0.6548138,1.051857,0.5323382,-0.6354312,1.067358,0.517,-0.6953921,1.053615,0.5138156,-0.6647362,1.039467,0.5118669,-0.6487067,1.064034,0.4969482,-0.7085644,1.043802,0.4958733,-0.6957203,1.027148,0.497908,-0.697883,1.07329,0.5321847,-0.7511602,0.09858926,
1529494564013,1.053151,0.5489494,-0.780808,1.022691,0.5506083,-0.7546465,1.002687,0.5453519,-0.7374535,1.057589,0.5627195,-0.6977676,1.053378,0.5637939,-0.6669014,1.045203,0.5634358,-0.6494832,1.060792,0.5394665,-0.6911153,1.055118,0.5374514,-0.6559707,1.045756,0.5361341,-0.6360676,1.058969,0.5165552,-0.6963736,1.045347,0.5132404,-0.6656607,1.031743,0.5116041,-0.6489785,1.052511,0.4976009,-0.7111667,1.030745,0.4984412,-0.7018024,1.015282,0.5023297,-0.707285,1.068627,0.5317704,-0.7521103,0.09936516,
1529494564039,1.050698,0.5491797,-0.7811674,1.019977,0.5508296,-0.7553173,0.9997643,0.5455067,-0.7383966,1.053672,0.5640963,-0.6983521,1.049018,0.5662296,-0.6675915,1.040643,0.5666233,-0.650254,1.056661,0.5405033,-0.6914789,1.050781,0.5390551,-0.6563301,1.04138,0.5381586,-0.6364126,1.054602,0.5172532,-0.6966287,1.040869,0.5140204,-0.6659316,1.027373,0.5124614,-0.6491405,1.047667,0.4985146,-0.711866,1.025552,0.4998268,-0.703633,1.010705,0.5040579,-0.7102922,1.065475,0.5320761,-0.7522245,0.09942877,
1529494564089,1.047551,0.5518679,-0.7844154,1.015116,0.5560615,-0.7609969,0.9934323,0.5528964,-0.7453489,1.041558,0.5712869,-0.7033167,1.034529,0.577592,-0.6734789,1.025686,0.5807563,-0.6566218,1.044184,0.5480051,-0.6948645,1.035896,0.5508462,-0.660229,1.025574,0.5526046,-0.6408054,1.042487,0.5229295,-0.6989992,1.026613,0.5211006,-0.6691819,1.01245,0.5202483,-0.6528145,1.035724,0.5040459,-0.7160109,1.012612,0.5065116,-0.71329,1.000112,0.5107323,-0.7237527,1.058584,0.5353845,-0.7540156,0.09843252,
1529494564119,1.043353,0.5567256,-0.7884144,1.009874,0.5616112,-0.7666115,0.9873148,0.5590971,-0.7521423,1.032091,0.5758668,-0.7081906,1.023967,0.5830593,-0.6787858,1.01491,0.5869717,-0.6621902,1.033891,0.5524484,-0.6997316,1.024427,0.5560775,-0.6653966,1.014214,0.5584519,-0.6459399,1.032117,0.5270298,-0.7040741,1.015146,0.5254315,-0.674799,1.001042,0.5247231,-0.6583002,1.025685,0.5082986,-0.7225991,1.002499,0.5112176,-0.7224669,0.9912795,0.5158141,-0.73419,1.051705,0.5396784,-0.7579457,0.09813191,
1529494564146,1.037484,0.5567586,-0.7951149,1.003431,0.5591956,-0.7738978,0.9808108,0.554388,-0.7601758,1.024464,0.5748433,-0.7149671,1.016656,0.5818889,-0.6854168,1.007933,0.585758,-0.6686343,1.026514,0.5510246,-0.706907,1.01772,0.5539528,-0.6722689,1.008503,0.5558792,-0.6522444,1.02551,0.5254062,-0.7115319,1.009817,0.522601,-0.6815804,0.9968898,0.5210572,-0.6641909,1.018835,0.506978,-0.7311983,0.9956627,0.509395,-0.7317601,0.9848195,0.5141749,-0.7437668,1.045201,0.5397618,-0.7650895,0.1004966,
1529494564172,1.02736,0.5563161,-0.8011134,0.9929614,0.5555302,-0.7802191,0.9709978,0.549116,-0.7660937,1.013683,0.5783089,-0.7215644,1.006455,0.5858973,-0.6919991,0.9979415,0.5893344,-0.6750517,1.019588,0.5558234,-0.7117991,1.012528,0.5596876,-0.6768426,1.004263,0.5614964,-0.656424,1.022152,0.5307858,-0.7142861,1.009131,0.5288167,-0.6829697,0.9981562,0.5272651,-0.6643233,1.01733,0.5095473,-0.7328005,0.9939091,0.5083012,-0.7330025,0.9820192,0.5104058,-0.7448037,1.038139,0.5431858,-0.7695414,0.1031122,
1529494564199,1.014043,0.550277,-0.8086928,0.97782,0.5482441,-0.790702,0.9550679,0.5427822,-0.7775985,0.9979918,0.5759509,-0.7291627,0.9903805,0.5832229,-0.6996309,0.9820626,0.585451,-0.6823579,1.00832,0.5561199,-0.7172292,1.001047,0.5597533,-0.6823446,0.9922971,0.560106,-0.6620812,1.015795,0.5340743,-0.717167,1.003461,0.5337965,-0.6855335,0.9924853,0.5324176,-0.6669255,1.015613,0.5090271,-0.7330918,0.993092,0.5021608,-0.7324864,0.9805646,0.5004275,-0.7438138,1.028626,0.5425343,-0.7739208,0.1077966,
1529494564226,1.004488,0.54528,-0.812604,0.9664928,0.5463297,-0.7989755,0.9408348,0.5520606,-0.792812,0.9880978,0.5723322,-0.7323229,0.9805883,0.5791011,-0.7026894,0.9722887,0.5797907,-0.685349,1.000587,0.5549467,-0.7193712,0.9922247,0.5575919,-0.6846988,0.9833312,0.5565378,-0.6644639,1.01161,0.5362996,-0.7180706,0.9987284,0.536876,-0.6867275,0.9870268,0.5349975,-0.6686509,1.016272,0.5096685,-0.7307839,0.9957692,0.4990479,-0.7279618,0.9828932,0.4941999,-0.7381024,1.022136,0.5412526,-0.7756002,0.1153543,
1529494564254,0.9901336,0.543864,-0.8206806,0.9513751,0.5457744,-0.8100998,0.9260744,0.5536501,-0.8080688,0.9767013,0.5681032,-0.737434,0.9707351,0.5726564,-0.707078,0.9636344,0.5709885,-0.6893171,0.9902366,0.5522633,-0.7250987,0.9812572,0.5515369,-0.6905694,0.9720122,0.5474328,-0.6708903,1.003372,0.5369447,-0.7243326,0.9894819,0.5362177,-0.6935032,0.9771683,0.5327137,-0.6760623,1.013544,0.5114439,-0.7338827,0.997025,0.4998407,-0.7294822,0.9864497,0.4949306,-0.7420223,1.011351,0.5412658,-0.7821239,0.125751,
1529494564290,0.9789191,0.53998,-0.8297086,0.9393284,0.5443455,-0.8247154,0.9145773,0.5537978,-0.8268076,0.9631145,0.5602597,-0.7440719,0.9558401,0.5624347,-0.7138045,0.9483271,0.5588916,-0.6964744,0.9764248,0.5446775,-0.7318478,0.9647506,0.5400347,-0.698495,0.954116,0.5329641,-0.6804774,0.9904486,0.5315648,-0.7310426,0.973351,0.5280768,-0.7021861,0.959371,0.5224124,-0.6865911,1.004988,0.507906,-0.7385985,0.9899262,0.4951845,-0.7332473,0.9795358,0.4892326,-0.7454298,1.000748,0.5366312,-0.7879555,0.1347284,
