Scene,Camera X,Camera Y,Camera Z
lego_y-,0.6026142,0.9109083,-0.9550845
lego_y-,0.6022065,0.9103295,-0.9552635
lego_y-,0.5842875,0.9039908,-0.952828
lego_y-,0.5887234,0.9069856,-0.9485022
lego_y-,0.5907957,0.9088131,-0.9469705
lego_y-,0.591574,0.9106252,-0.9464079
lego_y-,0.5923126,0.9123928,-0.9458538
lego_y-,0.592545,0.9143293,-0.9447084
lego_y-,0.592559,0.9160311,-0.9438782
lego_y-,0.5924154,0.9172446,-0.94349
lego_y-,0.5921642,0.9182246,-0.9425457
lego_y-,0.5915607,0.9194826,-0.9405988
lego_y-,0.5911509,0.9207596,-0.9393172
lego_y-,0.5911011,0.9215351,-0.938202
lego_y-,0.5910369,0.922412,-0.9368812
lego_y-,0.5910923,0.9233661,-0.9355599
lego_y-,0.5906096,0.9244802,-0.934252
lego_y-,0.5907495,0.9250281,-0.9343839
lego_y-,0.5903221,0.9252565,-0.9338549
lego_y-,0.5900103,0.9254285,-0.9335455
lego_y-,0.589651,0.9260473,-0.932785
lego_y-,0.5897971,0.9261964,-0.9322412
lego_y-,0.590296,0.9263173,-0.9318069
lego_y-,0.591113,0.9264222,-0.9314883
lego_y-,0.592582,0.9259293,-0.9310766
lego_y-,0.5948336,0.9258885,-0.9313533
lego_y-,0.5983419,0.9269507,-0.9306024
lego_y-,0.6021988,0.9273051,-0.9301574
lego_y-,0.6069069,0.9273031,-0.9299867
lego_y-,0.6113601,0.9274535,-0.9301153
lego_y-,0.6162292,0.9272985,-0.9305707
lego_y-,0.6215288,0.9266567,-0.9313791
lego_y-,0.6261418,0.926294,-0.9329218
lego_y-,0.6313174,0.9255231,-0.9354216
lego_y-,0.6344161,0.9249353,-0.9367318
lego_y-,0.6373441,0.9248688,-0.9383121
lego_y-,0.6386869,0.9241644,-0.9396073
lego_y-,0.6399605,0.9234038,-0.9408557
lego_y-,0.6412125,0.922039,-0.9418873
lego_y-,0.6434842,0.91778,-0.9433294
lego_y-,0.6439925,0.9158379,-0.9439117
lego_y-,0.6450784,0.9136679,-0.944714
lego_y-,0.646517,0.9113603,-0.9453736
lego_y-,0.6469025,0.9093614,-0.9458038
lego_y-,0.6470167,0.906673,-0.946269
lego_y-,0.646939,0.9053602,-0.9461933
lego_y-,0.646489,0.9032232,-0.9461103
lego_y-,0.6459529,0.9015149,-0.9457284
lego_y-,0.6454158,0.899552,-0.9454879
lego_y-,0.6448348,0.8970004,-0.9452311
lego_y-,0.6447672,0.8943491,-0.9453506
lego_y-,0.6451338,0.8915229,-0.9454064
lego_y-,0.6454142,0.8881625,-0.9452186
lego_y-,0.645415,0.8838735,-0.9443987
lego_y-,0.6461336,0.8806828,-0.9436408
lego_y-,0.6467533,0.8784186,-0.9427909
lego_y-,0.6476079,0.8763705,-0.942443
lego_y-,0.6483397,0.87436,-0.9422116
lego_y-,0.6490998,0.8726615,-0.9421691
lego_y-,0.6493313,0.8712369,-0.9420413
lego_y-,0.6489937,0.8700493,-0.941651
lego_y-,0.6488456,0.8692594,-0.9418282
lego_y-,0.6480635,0.8686293,-0.9417489
lego_y-,0.6474346,0.8677479,-0.9420539
lego_y-,0.6471418,0.8666662,-0.9433832
lego_y-,0.646925,0.8654466,-0.9451953
lego_y-,0.6464112,0.8639092,-0.9470046
lego_y-,0.6455432,0.8621663,-0.949372
lego_y-,0.6447294,0.8610421,-0.9508861
lego_y-,0.6435881,0.859907,-0.952148
lego_y-,0.6420537,0.8585255,-0.9536248
lego_y-,0.6404134,0.8572717,-0.9548862
lego_y-,0.6386151,0.8559089,-0.9562337
lego_y-,0.6364149,0.8543712,-0.957557
lego_y-,0.6335877,0.8530467,-0.958782
lego_y-,0.6314336,0.8518764,-0.9599345
lego_y-,0.6293908,0.8508811,-0.9609244
lego_y-,0.627386,0.8498079,-0.961629
lego_y-,0.6253913,0.8487775,-0.9625276
lego_y-,0.6231993,0.8478318,-0.9635977
lego_y-,0.6209219,0.8468975,-0.9650468
lego_y-,0.617763,0.8460941,-0.9672471
lego_y-,0.6154432,0.8457325,-0.9696819
lego_y-,0.6135039,0.8456463,-0.9723417
lego_y-,0.6116484,0.8457117,-0.9752634
lego_y-,0.6100095,0.8459449,-0.9784119
lego_y-,0.6086032,0.8462946,-0.9821961
lego_y-,0.6076155,0.8466799,-0.9860078
lego_y-,0.606531,0.8472825,-0.9914662
lego_y-,0.605836,0.8477017,-0.996523
lego_y-,0.6058215,0.8481444,-1.001531
lego_y-,0.6060585,0.8484998,-1.006147
lego_y-,0.6067098,0.8486253,-1.011233
lego_y-,0.608059,0.8484758,-1.017501
lego_y-,0.6094291,0.8481438,-1.023207
lego_y-,0.6110861,0.8475419,-1.030454
lego_y-,0.6129782,0.8470865,-1.036796
lego_y-,0.6155733,0.8467312,-1.043894
lego_y-,0.6184802,0.8467367,-1.05085
lego_y-,0.6217598,0.8469374,-1.058031
lego_y-,0.6253694,0.8474123,-1.066209
lego_y-,0.6288081,0.8477099,-1.073327
lego_y-,0.6341743,0.8484554,-1.084076
lego_y-,0.6381628,0.8492966,-1.092843
lego_y-,0.6419248,0.8503633,-1.101026
lego_y-,0.645493,0.8512488,-1.108968
lego_y-,0.6487088,0.8519199,-1.116872
lego_y-,0.6521197,0.8524336,-1.125446
lego_y-,0.6554296,0.8526183,-1.13353
lego_y-,0.660032,0.8530959,-1.144298
lego_y-,0.6634472,0.8537964,-1.152552
lego_y-,0.6663417,0.8552206,-1.160009
lego_y-,0.6688205,0.8573523,-1.165934
lego_y-,0.670893,0.8598089,-1.171718
lego_y-,0.6724423,0.8622025,-1.177958
lego_y-,0.6732509,0.8645062,-1.183709
lego_y-,0.6736591,0.8672292,-1.190661
lego_y-,0.6735356,0.869101,-1.195747
lego_y-,0.6732286,0.8707193,-1.199923
lego_y-,0.6723548,0.8724648,-1.203662
lego_y-,0.6716269,0.8740718,-1.20666
lego_y-,0.6709687,0.8760887,-1.209352
lego_y-,0.670023,0.8786241,-1.211547
lego_y-,0.66853,0.8812382,-1.213837
lego_y-,0.6671785,0.8832453,-1.215402
lego_y-,0.66571,0.8848104,-1.216074
lego_y-,0.6641793,0.8862423,-1.216486
lego_y-,0.6625179,0.8873415,-1.215839
lego_y-,0.6611429,0.8884389,-1.21568
lego_y-,0.6594859,0.88949,-1.21462
lego_y-,0.6574957,0.8909895,-1.212835
lego_y-,0.656192,0.8927805,-1.210737
lego_y-,0.6552517,0.894267,-1.209036
lego_y-,0.6543092,0.8959691,-1.206647
lego_y-,0.6538334,0.8975521,-1.204698
lego_y-,0.6534483,0.8990021,-1.202289
lego_y-,0.6530846,0.9003357,-1.199093
lego_y-,0.6529844,0.9014431,-1.194078
lego_y-,0.6538326,0.9018173,-1.191024
lego_y-,0.65527,0.9017236,-1.188906
lego_y-,0.6575029,0.9018237,-1.186463
lego_y-,0.6601501,0.9022851,-1.184117
