time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529666137492,0.8762429,0.5571904,-0.8527781,0.8463744,0.5451442,-0.8381522,0.8313341,0.5319785,-0.827093,0.8373795,0.5680558,-0.8004504,0.8192385,0.555191,-0.8040746,0.8202637,0.5453071,-0.8163598,0.8467368,0.5531012,-0.7933864,0.8266004,0.5387366,-0.8023131,0.8268637,0.5306905,-0.818841,0.8615923,0.5397921,-0.7868129,0.840107,0.5266429,-0.7920707,0.8349782,0.5190403,-0.8077414,0.8764547,0.526564,-0.7846339,0.8582813,0.5175102,-0.7840406,0.8496125,0.5127594,-0.7945857,0.8864273,0.5554017,-0.8233456,0.02038158,
1529666137518,0.8823948,0.5605495,-0.8595041,0.852954,0.548313,-0.8442502,0.8383506,0.5347645,-0.8330733,0.8445663,0.5699465,-0.8060223,0.8259811,0.5573096,-0.8091375,0.8261057,0.5476941,-0.8216579,0.8538433,0.5548933,-0.7993481,0.8328354,0.5409529,-0.8074338,0.8318315,0.5330798,-0.8240008,0.8688537,0.5413384,-0.7933203,0.8466072,0.5284913,-0.7972276,0.8399879,0.5209535,-0.8123484,0.8838805,0.5278431,-0.7918487,0.8655554,0.5187675,-0.789717,0.8556186,0.513867,-0.7990446,0.8930368,0.5576916,-0.8305872,0.02115237,
1529666137546,0.8878419,0.5610559,-0.8633393,0.8586338,0.5490263,-0.8475112,0.8442465,0.5355103,-0.8360382,0.8505939,0.5706903,-0.8094394,0.8318226,0.5581064,-0.8120403,0.831488,0.5484671,-0.8245288,0.8597746,0.5557368,-0.8026897,0.8383273,0.5419214,-0.810028,0.8366697,0.5338951,-0.8264533,0.8748536,0.5421178,-0.7966865,0.8522559,0.5293907,-0.7995576,0.8448695,0.5216755,-0.8142071,0.8899398,0.5284728,-0.7953705,0.8716472,0.5194379,-0.7922577,0.8611673,0.5143605,-0.8008799,0.8986887,0.5581399,-0.8346754,0.02152036,
1529666137570,0.8971599,0.5593555,-0.8673365,0.8677481,0.5481007,-0.8512952,0.8530698,0.5350615,-0.8396349,0.8598034,0.570345,-0.813558,0.8406596,0.5581105,-0.8156288,0.8398311,0.548284,-0.8279239,0.8686456,0.5553464,-0.8065004,0.8466526,0.5418261,-0.8131615,0.8443265,0.5334655,-0.8293325,0.8835473,0.5415446,-0.8002324,0.8605646,0.5291799,-0.8023188,0.8526469,0.5212824,-0.8165535,0.8984702,0.5275928,-0.7987859,0.880079,0.5188503,-0.7950478,0.8692441,0.5136913,-0.8031768,0.9077755,0.5565395,-0.8387015,0.02207366,
1529666137583,0.9000343,0.5591151,-0.868806,0.8704818,0.5480485,-0.8529024,0.8556757,0.5350685,-0.8413367,0.8624875,0.5702237,-0.8151464,0.8432076,0.5581708,-0.8172547,0.8422718,0.5483876,-0.8295656,0.8711524,0.5551525,-0.8080509,0.8489441,0.5418525,-0.8146769,0.8463988,0.5334961,-0.8308173,0.8859353,0.5412178,-0.801712,0.8627809,0.5290822,-0.8036801,0.8547093,0.5212554,-0.8178451,0.9007642,0.5271072,-0.8002765,0.8822913,0.5185028,-0.7964045,0.8713216,0.5133983,-0.8043836,0.9104869,0.5561198,-0.8401429,0.02226254,
1529666137610,0.9076498,0.5578856,-0.8704187,0.8779041,0.5474717,-0.8543884,0.8627763,0.5350248,-0.8426387,0.8699821,0.5705786,-0.8170517,0.8504618,0.5587781,-0.818798,0.849261,0.5487196,-0.8308536,0.8784728,0.5554321,-0.8096917,0.8560305,0.5422002,-0.8160012,0.8531797,0.533511,-0.8319276,0.893086,0.5415035,-0.8030077,0.8696895,0.5295617,-0.8045714,0.8613122,0.5214834,-0.8184071,0.9077533,0.5272722,-0.8012839,0.8891472,0.5189322,-0.7971119,0.8779809,0.5137184,-0.8047547,0.9178799,0.555398,-0.8417386,0.02256327,
1529666137644,0.9169037,0.5558219,-0.8760922,0.88668,0.5465757,-0.8601323,0.8707935,0.5351921,-0.8482692,0.8793457,0.5707155,-0.8228661,0.8593513,0.5594417,-0.8239986,0.8575939,0.5489134,-0.8355665,0.8876942,0.5553631,-0.8150795,0.8647658,0.5422589,-0.820703,0.8611293,0.5330046,-0.8361981,0.9021072,0.5413718,-0.8082002,0.8784403,0.5296642,-0.8093709,0.8697065,0.5212655,-0.8228098,0.9164292,0.5270535,-0.8063215,0.8975928,0.5191265,-0.8023883,0.8865342,0.5139178,-0.810179,0.9271101,0.5539496,-0.8472315,0.02288797,
1529666137676,0.9264492,0.5559716,-0.8809459,0.8957971,0.5478755,-0.8651285,0.879271,0.5372924,-0.8533829,0.8894475,0.5721581,-0.8276128,0.868993,0.5617238,-0.8287451,0.8668176,0.5512245,-0.8402639,0.8973382,0.5562504,-0.8199958,0.8740745,0.5438602,-0.8258433,0.870206,0.5347976,-0.8414233,0.9112399,0.5417587,-0.8132161,0.8872325,0.5307653,-0.8146802,0.8783174,0.5227256,-0.8282347,0.9249943,0.5270637,-0.8113936,0.9058211,0.5197855,-0.8077481,0.8946705,0.5149993,-0.8156767,0.9366418,0.5537102,-0.8520451,0.02283202,
1529666137703,0.9330786,0.5559552,-0.8831353,0.9023892,0.5486675,-0.8669831,0.8856378,0.5385804,-0.8551146,0.8976082,0.5720704,-0.8286307,0.8767979,0.5621858,-0.8292784,0.8739061,0.5517914,-0.8407587,0.9053732,0.5558262,-0.8213247,0.8816555,0.5439809,-0.8266191,0.8770835,0.535143,-0.8421402,0.9191431,0.5409082,-0.8151751,0.8949176,0.5303361,-0.8162912,0.885565,0.5226362,-0.8297516,0.9325734,0.5259569,-0.8139693,0.9133391,0.5189798,-0.8103883,0.9021906,0.5145774,-0.8185101,0.9439381,0.5529246,-0.8543597,0.02276519,
1529666137730,0.9429933,0.5559986,-0.8872103,0.9125649,0.5490379,-0.8704197,0.8958279,0.5391679,-0.8583184,0.9097021,0.5708165,-0.8308455,0.8886292,0.5612434,-0.8307558,0.8848368,0.5510429,-0.8422072,0.9176261,0.5542718,-0.8241157,0.8934295,0.5427563,-0.8284744,0.887793,0.5342304,-0.8438363,0.9315069,0.5390225,-0.8190081,0.9070836,0.5285849,-0.8193498,0.8969201,0.5212119,-0.8324312,0.9447643,0.5239545,-0.8188679,0.9255844,0.5169854,-0.8151686,0.9143698,0.5129364,-0.8233423,0.9549217,0.5519448,-0.8587989,0.02283403,
