time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529666312029,0.8288907,0.5650222,-0.8787072,0.8054673,0.5448227,-0.8616298,0.7946274,0.5292759,-0.8481463,0.7899253,0.5778081,-0.8183901,0.7719548,0.5671519,-0.8022757,0.7626604,0.5542738,-0.797907,0.8045101,0.5714403,-0.805663,0.7847368,0.5576628,-0.7877215,0.7733963,0.5430091,-0.7840623,0.824572,0.5638715,-0.8007834,0.8077855,0.5478157,-0.785336,0.7977924,0.5322934,-0.7848599,0.8486028,0.5577767,-0.7980272,0.8433633,0.5485423,-0.7788874,0.8370701,0.5382321,-0.7703917,0.8395564,0.5742248,-0.8490038,0.06458149,
1529666312072,0.8454073,0.5718799,-0.8812093,0.8195826,0.5543765,-0.8645093,0.8068223,0.5402998,-0.8511628,0.8071944,0.5872669,-0.8215123,0.7885031,0.5769099,-0.8063431,0.7789509,0.5639293,-0.803063,0.8210396,0.5806873,-0.808624,0.7999735,0.5679258,-0.7919475,0.7881982,0.5534071,-0.7900485,0.8410578,0.5726042,-0.8027039,0.8231876,0.5587385,-0.7862266,0.8119785,0.5441726,-0.784744,0.8632725,0.5641249,-0.8003937,0.8553848,0.5549147,-0.7823052,0.8472412,0.5447129,-0.7754448,0.8568867,0.5804017,-0.8513072,0.06040493,
1529666312095,0.8550334,0.5728234,-0.881734,0.827704,0.5573311,-0.8653702,0.8136088,0.5444069,-0.8522439,0.8176417,0.5896699,-0.8222701,0.7985662,0.5794734,-0.8077152,0.7888997,0.5664381,-0.8052758,0.8309407,0.5826014,-0.8094648,0.8091266,0.5702819,-0.79375,0.7971061,0.5559306,-0.7930006,0.8507252,0.5740234,-0.8030924,0.8321099,0.5612356,-0.7866052,0.8202015,0.547253,-0.7851605,0.8713616,0.5639089,-0.8012613,0.8612143,0.554325,-0.7847802,0.8517157,0.5440451,-0.780278,0.8670595,0.5806975,-0.8517101,0.05746228,
1529666312122,0.8645687,0.5762765,-0.8804238,0.8361042,0.5627442,-0.8642009,0.8208466,0.5510746,-0.8512142,0.8281014,0.5948353,-0.8212128,0.8087416,0.584831,-0.8072646,0.7991618,0.5716604,-0.8057508,0.8409451,0.587412,-0.8084966,0.8185307,0.5755608,-0.7936575,0.8064376,0.561332,-0.7939793,0.8604817,0.5783889,-0.8017768,0.8412242,0.5665005,-0.7855202,0.8288739,0.5529351,-0.7845376,0.8798296,0.5670372,-0.8003365,0.8679188,0.5573864,-0.7854848,0.8576236,0.5472283,-0.7834326,0.8771381,0.5838357,-0.8503876,0.05441438,
1529666312148,0.8788406,0.5778146,-0.8794187,0.8492723,0.5662988,-0.8635843,0.8330918,0.5558989,-0.8506857,0.8427181,0.5990928,-0.8211398,0.8231008,0.5892934,-0.8079112,0.8139202,0.5758619,-0.8073843,0.854949,0.5916006,-0.8083212,0.8319262,0.5801451,-0.7946333,0.8200861,0.5658529,-0.7961096,0.8739949,0.582266,-0.8010556,0.8538308,0.57102,-0.7857878,0.8413723,0.5576026,-0.7859259,0.8921025,0.5701268,-0.7995026,0.8782575,0.5606857,-0.7867459,0.8676543,0.550769,-0.7874159,0.8916603,0.5856876,-0.8492085,0.05139148,
1529666312174,0.8884544,0.5788893,-0.8779753,0.8585315,0.5683249,-0.8621399,0.8420557,0.5584364,-0.8492388,0.8533028,0.6011262,-0.8196044,0.8336515,0.5912871,-0.8069582,0.824848,0.5777159,-0.8075111,0.8651982,0.5931787,-0.8070108,0.8418735,0.5818895,-0.7940582,0.8300929,0.5677201,-0.7964191,0.8838451,0.583209,-0.7998714,0.8631838,0.5720814,-0.7854508,0.8506113,0.5588452,-0.7865505,0.9011703,0.570588,-0.7986087,0.8863792,0.5613312,-0.7870656,0.8756855,0.5517675,-0.7890961,0.9016666,0.5864255,-0.8477777,0.04908159,
1529666312202,0.9015646,0.5789318,-0.8766484,0.8715668,0.5690954,-0.8605064,0.8550477,0.559545,-0.8474078,0.8678248,0.6019879,-0.8179524,0.8482063,0.5920184,-0.8059351,0.8399053,0.5783587,-0.8076502,0.8795258,0.5936495,-0.8056424,0.8559684,0.5825482,-0.7932622,0.8442033,0.5685517,-0.7963514,0.8977376,0.5828285,-0.7989553,0.8766375,0.5715405,-0.7855517,0.8640352,0.5584604,-0.7876772,0.914477,0.5700021,-0.7979403,0.8989598,0.5610037,-0.7872621,0.8881159,0.5518131,-0.7900492,0.9154106,0.5861029,-0.8465552,0.04651785,
1529666312236,0.9139659,0.5785249,-0.8759606,0.8841548,0.5689151,-0.8593494,0.8677504,0.5594903,-0.8460002,0.8813354,0.6019319,-0.8169415,0.8618284,0.5917912,-0.8052273,0.8538698,0.5780771,-0.8075398,0.8931015,0.5934612,-0.8048247,0.8695327,0.5823966,-0.7925481,0.8577632,0.5684716,-0.7958657,0.9111211,0.5821931,-0.7985958,0.8898996,0.5706701,-0.7857285,0.8773685,0.5576212,-0.7884117,0.9277285,0.5694098,-0.7976917,0.9120227,0.56054,-0.7871649,0.9010615,0.5515122,-0.7900444,0.9283001,0.5856286,-0.8461257,0.04491482,
1529666312255,0.9166476,0.5784923,-0.8757324,0.887062,0.56883,-0.8587548,0.8707918,0.5593739,-0.8452448,0.8847996,0.6016716,-0.8162886,0.8653993,0.591392,-0.8046229,0.857527,0.5776789,-0.8071452,0.8966932,0.5931032,-0.8043545,0.8731939,0.5819925,-0.7919687,0.8613459,0.5681265,-0.795277,0.9146653,0.581626,-0.7985208,0.89347,0.5699168,-0.7858037,0.8809592,0.5568961,-0.7886863,0.9313087,0.568906,-0.7977602,0.9156578,0.560046,-0.7870913,0.9045932,0.5510899,-0.789816,0.9314452,0.5853921,-0.8460147,0.04430128,
1529666312281,0.9271021,0.5795451,-0.874924,0.8979266,0.5698708,-0.857249,0.8818846,0.5604534,-0.8434182,0.8965809,0.6026032,-0.8149458,0.8773038,0.5921326,-0.8033727,0.8695489,0.5784001,-0.8061321,0.9087661,0.5939677,-0.8032504,0.8853694,0.5828381,-0.7905849,0.8733311,0.5690548,-0.793682,0.9267528,0.5822967,-0.7979453,0.9056439,0.5704545,-0.7851847,0.8930793,0.5574864,-0.7880886,0.9435198,0.5696742,-0.7973703,0.9280775,0.5609319,-0.7861979,0.9167981,0.5520641,-0.788377,0.9425824,0.5863324,-0.845587,0.04317991,
