time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529666039781,0.8868458,1.027307,-0.6048315,0.8676256,1.047734,-0.5838853,0.8593482,1.057466,-0.5645683,0.8861179,1.07745,-0.5700215,0.8706089,1.06783,-0.5570481,0.868163,1.052359,-0.559797,0.8973701,1.06672,-0.5617656,0.8803643,1.050644,-0.5557224,0.882449,1.035091,-0.5649674,0.9120521,1.055936,-0.5546307,0.8949115,1.041391,-0.5511868,0.895652,1.027472,-0.5623463,0.9241239,1.045594,-0.5488025,0.9086388,1.037213,-0.546368,0.9077308,1.026258,-0.5553291,0.9147276,1.038867,-0.5884519,0.01124966,
1529666039809,0.8894769,1.026172,-0.6168057,0.8706218,1.046749,-0.5956311,0.8623445,1.056331,-0.5762532,0.8894169,1.079944,-0.5823499,0.8730723,1.074657,-0.5685761,0.8679538,1.059233,-0.5691719,0.8991816,1.065267,-0.5741822,0.8814253,1.049473,-0.5689194,0.8833375,1.033834,-0.5780528,0.9132063,1.053951,-0.5665894,0.8955162,1.039613,-0.5640926,0.8962847,1.025657,-0.5752457,0.9247046,1.04338,-0.5602051,0.9089066,1.035285,-0.5585861,0.9081099,1.02439,-0.5676482,0.9167548,1.037101,-0.6000189,0.009488683,
1529666039842,0.8913623,1.021529,-0.6344661,0.8727656,1.043045,-0.6138595,0.864204,1.053448,-0.5950236,0.8942318,1.081404,-0.602769,0.8773564,1.085997,-0.5853655,0.8661923,1.075748,-0.5793355,0.9003254,1.061772,-0.5941232,0.8819187,1.046207,-0.5892178,0.8836792,1.030149,-0.5976622,0.9136562,1.050408,-0.5856241,0.8954852,1.036243,-0.5836319,0.8963053,1.021844,-0.5942374,0.9245375,1.039926,-0.5782889,0.9084358,1.032076,-0.5772431,0.9076806,1.02088,-0.5859628,0.9179725,1.032599,-0.6178609,0.02733851,
1529666039861,0.8926446,1.017031,-0.6458878,0.8739135,1.038602,-0.625386,0.8651494,1.04915,-0.6067392,0.896764,1.080236,-0.6165166,0.8826418,1.092794,-0.5983863,0.8702075,1.092713,-0.5871564,0.9002267,1.058412,-0.6068244,0.8815792,1.042913,-0.6018686,0.8832523,1.026555,-0.6097718,0.9134104,1.047336,-0.5977471,0.8950549,1.033214,-0.5956897,0.895799,1.018452,-0.6058276,0.924181,1.037102,-0.5899189,0.9079791,1.029342,-0.5889053,0.9071751,1.017889,-0.5973036,0.9185446,1.028798,-0.629604,0.04802953,
1529666039887,0.8963622,1.00872,-0.6566662,0.8772194,1.03033,-0.6365358,0.8681071,1.041037,-0.6181629,0.9006498,1.073843,-0.6293104,0.8886954,1.090295,-0.6120074,0.8778321,1.095372,-0.6003476,0.9026151,1.051163,-0.6186521,0.8837997,1.035668,-0.6136111,0.8853813,1.019011,-0.6209743,0.9157155,1.040565,-0.6089709,0.8971397,1.026549,-0.6066759,0.8976996,1.011427,-0.6162925,0.9264462,1.030592,-0.6007156,0.9100957,1.022975,-0.5995812,0.9091033,1.011257,-0.6075941,0.9216552,1.021201,-0.6405061,0.05800217,
1529666039914,0.8986983,1.0008,-0.6732745,0.8789703,1.022694,-0.6539044,0.8691851,1.034042,-0.6362468,0.9025165,1.06768,-0.6487957,0.8916735,1.086313,-0.6327168,0.8816822,1.09372,-0.6214919,0.9036249,1.045058,-0.6368881,0.8845601,1.029822,-0.6313685,0.8858525,1.012726,-0.6378682,0.916696,1.035177,-0.6264404,0.8976943,1.021557,-0.6233979,0.897664,1.005865,-0.6321101,0.9274508,1.025566,-0.6176819,0.9108679,1.018332,-0.6160868,0.9094596,1.006231,-0.6234393,0.9234529,1.014284,-0.6574539,0.06273264,
1529666039941,0.9020383,0.9908159,-0.6860113,0.8821266,1.012749,-0.6667988,0.8720315,1.024377,-0.6494792,0.9055152,1.058089,-0.6624348,0.8943978,1.076809,-0.6467142,0.8841451,1.084058,-0.6356418,0.9067312,1.035882,-0.6500612,0.8874924,1.021007,-0.6441973,0.8885149,1.003769,-0.6503888,0.9198619,1.026376,-0.6393235,0.900506,1.013351,-0.6356323,0.8998327,0.9974285,-0.6438994,0.9306941,1.016781,-0.6305091,0.9139258,1.010073,-0.6284189,0.9120095,0.9978372,-0.6354151,0.9266871,1.004641,-0.6704952,0.06245077,
1529666039967,0.9073555,0.9780644,-0.7027167,0.8869562,0.9997522,-0.6836666,0.8763986,1.011499,-0.6666824,0.9094487,1.045548,-0.6798604,0.897073,1.063583,-0.6644932,0.8858924,1.069532,-0.6535964,0.9115249,1.024187,-0.6669365,0.8922396,1.009734,-0.6605811,0.8930674,0.9923606,-0.6664621,0.9249192,1.015339,-0.6558753,0.9053392,1.003161,-0.6512469,0.9040561,0.987038,-0.6590248,0.936051,1.005754,-0.6469868,0.9191382,0.9998583,-0.6441345,0.9165107,0.9876844,-0.6509571,0.9319606,0.9924447,-0.6873889,0.06024274,
1529666039994,0.9120029,0.9656636,-0.7148259,0.8920406,0.9871503,-0.6950687,0.8818316,0.9989033,-0.6778599,0.9142567,1.033042,-0.6922815,0.9010937,1.050061,-0.676688,0.8893893,1.05418,-0.6656255,0.9176943,1.013192,-0.6788042,0.8982439,1.000043,-0.6711308,0.8981127,0.9826647,-0.6769534,0.9317246,1.004914,-0.6679591,0.9115129,0.9947349,-0.6610286,0.9081349,0.9784778,-0.6677105,0.9434189,0.994701,-0.6593715,0.9262812,0.990419,-0.6546842,0.9216501,0.9786806,-0.6611378,0.9372188,0.9802256,-0.7005027,0.05711672,
1529666040021,0.9173057,0.9561255,-0.7265308,0.8976449,0.97719,-0.7060127,0.8877178,0.9887823,-0.6885148,0.9176341,1.02302,-0.7043419,0.9030401,1.038184,-0.6883935,0.8908917,1.040011,-0.6773003,0.9232494,1.005824,-0.6901494,0.9035901,0.9944528,-0.6807595,0.9018406,0.9770752,-0.6862594,0.9379141,0.9980407,-0.6798009,0.9168314,0.9903262,-0.6699347,0.9104832,0.974285,-0.674268,0.9502647,0.9871377,-0.6713228,0.9332185,0.9842695,-0.6646647,0.9267216,0.9730822,-0.6703113,0.9424616,0.9713013,-0.7131698,0.05253813,
1529666040056,0.9273328,0.9360467,-0.7501664,0.9083152,0.9562832,-0.7282514,0.8988391,0.9671344,-0.710037,0.9275755,1.001252,-0.7251675,0.9118802,1.014112,-0.7085741,0.8994696,1.01346,-0.6977429,0.9360067,0.9899068,-0.7106044,0.915462,0.9851269,-0.6977433,0.9087966,0.9681029,-0.7002673,0.9507234,0.9786751,-0.7008156,0.9285097,0.9771481,-0.6857349,0.9155791,0.964781,-0.6845162,0.9630714,0.9659119,-0.6930146,0.9461676,0.9663549,-0.6826171,0.9355846,0.9574898,-0.6852889,0.9527441,0.9504447,-0.7367479,0.04793287,
1529666040087,0.9327126,0.9253471,-0.7587409,0.9139497,0.9454287,-0.7364521,0.9045558,0.9562074,-0.7181357,0.9329097,0.9897677,-0.7335042,0.9161066,1.001225,-0.7170439,0.9034934,0.9994448,-0.7065791,0.9441388,0.9824771,-0.7191067,0.9224843,0.9856909,-0.7022333,0.9090332,0.9738343,-0.697672,0.9583542,0.9695399,-0.7089006,0.9373138,0.9731469,-0.6910818,0.9215424,0.9660625,-0.6844207,0.9701649,0.9552985,-0.7011659,0.9541175,0.9581009,-0.6885624,0.941266,0.9517785,-0.6876125,0.9584928,0.9394493,-0.7453967,0.0447678,
1529666040114,0.945767,0.9074456,-0.7778363,0.9269085,0.926484,-0.7547393,0.9175645,0.936252,-0.7358719,0.9457413,0.9704473,-0.7501501,0.9280056,0.9801183,-0.7338376,0.91527,0.9763067,-0.724239,0.9585794,0.9645591,-0.735848,0.9375536,0.9726107,-0.7172091,0.922014,0.9659402,-0.7094748,0.9724783,0.9508146,-0.7257365,0.9526004,0.9568723,-0.706871,0.9365513,0.952117,-0.6988205,0.983525,0.9352387,-0.7184449,0.9680971,0.9391285,-0.7047824,0.9545311,0.9346379,-0.7018726,0.9715948,0.9208579,-0.7637357,0.04177286,
1529666040141,0.9541712,0.895455,-0.7909095,0.9354175,0.9136819,-0.7671177,0.9264472,0.9224483,-0.7476609,0.9542048,0.9573404,-0.7610172,0.9363309,0.9657437,-0.7446052,0.9238341,0.9601972,-0.7357966,0.967593,0.9515051,-0.7468153,0.9472709,0.960713,-0.7273808,0.9315513,0.9557133,-0.7188317,0.981608,0.937688,-0.7371173,0.9625006,0.9442499,-0.7179182,0.9464711,0.9393944,-0.7100774,0.9922426,0.9215015,-0.7303507,0.9773176,0.9258685,-0.7162274,0.9636753,0.9219709,-0.7127131,0.9799833,0.9081998,-0.7762002,0.03965561,
1529666040168,0.9669242,0.8780729,-0.8047523,0.9483172,0.8959001,-0.7805564,0.9397209,0.9039966,-0.760741,0.9676235,0.9393901,-0.7734556,0.9500188,0.9468648,-0.7569798,0.937942,0.9396983,-0.7490578,0.9809924,0.933213,-0.7594073,0.960921,0.9420985,-0.7398029,0.9453678,0.9362969,-0.7319223,0.9953147,0.9196299,-0.7500385,0.9768276,0.9264276,-0.7308469,0.9608929,0.9207201,-0.7239228,1.005678,0.9031875,-0.7436258,0.9912901,0.9081389,-0.7293705,0.9776719,0.9042552,-0.7260011,0.992843,0.8903049,-0.7897684,0.03760682,
