time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529666262747,1.219397,0.5354091,-0.8981383,1.226705,0.5184652,-0.8680753,1.237199,0.5047268,-0.8531983,1.24706,0.5508752,-0.8373847,1.24623,0.5336013,-0.820446,1.241042,0.518655,-0.822381,1.266786,0.5498164,-0.8418956,1.269255,0.5363269,-0.815832,1.264415,0.5208337,-0.8066984,1.282655,0.5438194,-0.8560849,1.287378,0.5310807,-0.8317788,1.282962,0.5163392,-0.8219391,1.294097,0.5345666,-0.8727263,1.300168,0.5244066,-0.8551255,1.296419,0.5132723,-0.8465362,1.248418,0.547364,-0.8939451,0.03403628,
1529666262766,1.215421,0.5387092,-0.8988581,1.221866,0.5221401,-0.8683378,1.231616,0.5086192,-0.8527339,1.242458,0.5540495,-0.8380277,1.241108,0.5366867,-0.8211799,1.235848,0.5217522,-0.823207,1.262549,0.5531904,-0.8422398,1.265021,0.5402063,-0.8157628,1.260411,0.5250517,-0.8058649,1.278564,0.547071,-0.856243,1.283483,0.5349176,-0.8314784,1.279575,0.5205845,-0.8207195,1.290154,0.5375919,-0.872767,1.296481,0.5277467,-0.8549463,1.293292,0.5168165,-0.8457909,1.24461,0.5504137,-0.8944869,0.0325918,
1529666262787,1.210381,0.5422367,-0.8985237,1.215823,0.5259538,-0.8675962,1.224571,0.5125686,-0.8512577,1.237578,0.5568692,-0.8377655,1.235566,0.5394936,-0.8210146,1.230028,0.5246485,-0.8231524,1.257968,0.5558523,-0.8419061,1.260438,0.543294,-0.8150598,1.255969,0.5285827,-0.8043394,1.273928,0.5494282,-0.8559025,1.279059,0.5377282,-0.8307637,1.275632,0.523916,-0.8190489,1.285392,0.5396883,-0.8724371,1.291975,0.5300813,-0.8544495,1.289314,0.5194293,-0.8447336,1.239983,0.5532201,-0.894207,0.03107433,
1529666262814,1.2045,0.5465646,-0.899266,1.208703,0.5309225,-0.8677882,1.216373,0.5178176,-0.8506487,1.231402,0.5607587,-0.8385183,1.228547,0.5435181,-0.82166,1.222679,0.528741,-0.8236336,1.251869,0.5591924,-0.8423769,1.253628,0.5468497,-0.8152868,1.24881,0.5325023,-0.8041457,1.267725,0.5521858,-0.856105,1.272061,0.540552,-0.8307098,1.268303,0.5270739,-0.8186069,1.279147,0.5420909,-0.8723744,1.285079,0.5325184,-0.8541075,1.282078,0.5220934,-0.8442117,1.23452,0.5565832,-0.8948535,0.02981433,
1529666262846,1.193113,0.5529585,-0.9010184,1.19528,0.5384313,-0.8688277,1.201787,0.5256392,-0.8509896,1.217711,0.567211,-0.8397402,1.213356,0.5502421,-0.8227882,1.207017,0.5356066,-0.8246349,1.238064,0.5646446,-0.8425122,1.237663,0.5523427,-0.8153484,1.231579,0.538268,-0.8044538,1.254012,0.5566361,-0.8552344,1.255709,0.5446826,-0.8297733,1.250157,0.5312602,-0.8182924,1.265834,0.5459671,-0.8705726,1.269637,0.53629,-0.8518796,1.264908,0.5260816,-0.8425008,1.22338,0.5616822,-0.895609,0.02865787,
1529666262868,1.185069,0.5556878,-0.9019337,1.185976,0.5415974,-0.8695047,1.191747,0.5288699,-0.8513798,1.208007,0.5699247,-0.8402524,1.202717,0.5530238,-0.8233919,1.196043,0.5385081,-0.8252227,1.228056,0.5665346,-0.8423003,1.225992,0.5538124,-0.8154435,1.218905,0.5397311,-0.8052062,1.244004,0.5579551,-0.854337,1.243727,0.5454809,-0.8291367,1.23694,0.5320329,-0.8183552,1.256175,0.5471408,-0.869014,1.258576,0.5373759,-0.8501474,1.252971,0.5273662,-0.8410417,1.215271,0.5637342,-0.8956665,0.02820524,
1529666262893,1.175717,0.55798,-0.9024415,1.175472,0.5438161,-0.8700613,1.180595,0.5307406,-0.8520088,1.197382,0.57157,-0.8402564,1.191016,0.5548151,-0.8235162,1.183786,0.5405573,-0.8253664,1.217124,0.5671313,-0.8417296,1.213549,0.5540836,-0.8152103,1.205462,0.5401633,-0.8055022,1.232816,0.5577697,-0.8532565,1.230638,0.5447493,-0.8285044,1.222525,0.5313717,-0.8186115,1.245084,0.5466733,-0.8674217,1.246156,0.5366798,-0.8485695,1.239606,0.5269032,-0.8398681,1.205893,0.564935,-0.8953173,0.02857208,
1529666262920,1.162935,0.559669,-0.9051602,1.161235,0.5453076,-0.8728788,1.165215,0.5321085,-0.8546126,1.183622,0.5723093,-0.8423153,1.176448,0.5556682,-0.825753,1.168898,0.5415899,-0.8277469,1.203161,0.5670943,-0.8434715,1.198526,0.5537066,-0.8172385,1.189892,0.5399125,-0.807757,1.218736,0.5573412,-0.8547355,1.215263,0.5438048,-0.8304229,1.206347,0.5304509,-0.8212354,1.231144,0.5462295,-0.8686395,1.231313,0.5359468,-0.8499178,1.224155,0.5262591,-0.8416232,1.193229,0.5658398,-0.8972608,0.02872678,
1529666262935,1.158259,0.5601889,-0.9057732,1.155783,0.5457845,-0.873531,1.159047,0.5326531,-0.8550568,1.178538,0.5723335,-0.842661,1.170904,0.5557455,-0.8262977,1.163267,0.5417372,-0.8285044,1.198066,0.5668713,-0.8437117,1.192969,0.5534321,-0.8175426,1.184154,0.5397289,-0.8080773,1.213743,0.5570945,-0.8548934,1.209962,0.5435507,-0.8305988,1.200919,0.5302768,-0.8214018,1.226169,0.5459582,-0.8687639,1.226119,0.5356574,-0.8500292,1.218894,0.5260152,-0.8417256,1.188673,0.5660155,-0.8975813,0.02837896,
1529666262960,1.148617,0.5604519,-0.9070213,1.144556,0.5461656,-0.8748356,1.14642,0.5332956,-0.8559494,1.167993,0.5720789,-0.8433411,1.159613,0.5557489,-0.8271371,1.151896,0.5418204,-0.8295578,1.187513,0.5662209,-0.8441495,1.181611,0.5528883,-0.8180158,1.172511,0.5393828,-0.8084986,1.20355,0.5564414,-0.8550771,1.19947,0.5431501,-0.8305807,1.190452,0.530109,-0.8209605,1.21612,0.5451853,-0.8688518,1.215935,0.5349752,-0.8500009,1.208813,0.5254228,-0.8414677,1.179263,0.565788,-0.8982102,0.02826965,
1529666262987,1.135784,0.5621212,-0.9095194,1.129717,0.5473323,-0.8778396,1.129886,0.5342922,-0.8589718,1.153313,0.5720228,-0.8449265,1.143482,0.5558899,-0.8295472,1.135506,0.542308,-0.8328605,1.172971,0.5655148,-0.845234,1.165863,0.5522528,-0.8192554,1.156218,0.5391119,-0.8096995,1.189536,0.5557262,-0.8557946,1.185246,0.542896,-0.8308954,1.176309,0.5303555,-0.8205076,1.202106,0.544153,-0.8695789,1.201944,0.5340045,-0.8505369,1.195193,0.5246428,-0.8414477,1.166447,0.5663501,-0.8995873,0.02788617,
1529666263014,1.127284,0.5623204,-0.9101206,1.119705,0.5472921,-0.8788615,1.118735,0.5342056,-0.860068,1.142702,0.5715841,-0.8448079,1.131932,0.5556402,-0.8300623,1.124017,0.542241,-0.8340751,1.162449,0.5648034,-0.8445412,1.154353,0.551726,-0.8186693,1.144388,0.538846,-0.809018,1.179571,0.5551149,-0.8546038,1.17496,0.542744,-0.8294039,1.166131,0.5305724,-0.8184277,1.1924,0.5434046,-0.8681871,1.192099,0.5334678,-0.8489397,1.185608,0.5242571,-0.8394621,1.157738,0.5661166,-0.8991161,0.02771462,
1529666263048,1.117817,0.5615366,-0.9125267,1.107939,0.5470454,-0.88166,1.105735,0.5341411,-0.8629056,1.12905,0.5721682,-0.8463444,1.117268,0.5567334,-0.8320543,1.109549,0.5434278,-0.8365873,1.148434,0.564951,-0.8447638,1.13827,0.5522352,-0.8195125,1.127409,0.5395272,-0.8105749,1.166472,0.5551205,-0.8533284,1.160357,0.5433829,-0.8282244,1.150726,0.5314822,-0.8176042,1.179923,0.5429452,-0.8658209,1.178372,0.5334472,-0.8464621,1.171144,0.5244731,-0.8372813,1.147591,0.5653015,-0.8995012,0.02816804,
1529666263067,1.113374,0.5610631,-0.9140036,1.102456,0.5467875,-0.8834031,1.099804,0.5338891,-0.8647206,1.122363,0.5725113,-0.8474296,1.11028,0.5572864,-0.8332504,1.102666,0.5440031,-0.8379368,1.141306,0.5650046,-0.8452561,1.129889,0.5520778,-0.8208703,1.118382,0.5391045,-0.8133367,1.159788,0.5551218,-0.852948,1.152562,0.5432907,-0.8283873,1.14204,0.5311518,-0.8191344,1.173546,0.5428035,-0.8647758,1.170956,0.5333054,-0.8456576,1.162802,0.5243123,-0.8374119,1.142565,0.5649727,-0.8998864,0.02877253,
1529666263093,1.10757,0.5610913,-0.912622,1.095592,0.5471995,-0.8822635,1.092446,0.5344056,-0.8635781,1.114503,0.5735683,-0.8457413,1.102155,0.5586656,-0.8313364,1.094512,0.5453298,-0.8357526,1.132871,0.5656786,-0.843072,1.120218,0.552559,-0.8196684,1.108175,0.539356,-0.8137223,1.151557,0.5555992,-0.8499044,1.142892,0.543512,-0.8262239,1.13146,0.5311435,-0.8186799,1.165588,0.5431504,-0.8609903,1.161566,0.5335549,-0.8423921,1.152257,0.5245746,-0.8356331,1.136249,0.5651047,-0.8974844,0.02996445,
