time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413682087,0.8627735,0.6410748,-0.9538882,0.8370582,0.6390663,-0.9294021,0.8255349,0.6337306,-0.9103332,0.8506243,0.6821712,-0.8941038,0.8352925,0.6808124,-0.8733023,0.8245783,0.6714702,-0.8651994,0.8652248,0.6748868,-0.8830792,0.846809,0.6728784,-0.8600035,0.832913,0.6632127,-0.8519386,0.8843951,0.6644239,-0.878801,0.8697386,0.6643898,-0.8545879,0.8564246,0.6573495,-0.8439255,0.9003642,0.6486269,-0.8786374,0.8916908,0.6473962,-0.8587495,0.8814735,0.6422561,-0.8497212,0.8862453,0.6524384,-0.9294399,0.05884079,
1529413682134,0.8780757,0.6542097,-0.980876,0.8513345,0.6562302,-0.9573847,0.8378373,0.6541673,-0.9388076,0.86955,0.6989377,-0.9230155,0.8543202,0.6993161,-0.9020315,0.8434438,0.6908482,-0.8932592,0.8844095,0.6920975,-0.9118308,0.8663967,0.6923404,-0.888356,0.8523628,0.6836878,-0.8794814,0.9031942,0.6809983,-0.9072944,0.8888295,0.6826636,-0.8830384,0.8753942,0.6763774,-0.8721108,0.9194281,0.6649982,-0.9062759,0.9118774,0.6654168,-0.8860571,0.9017209,0.661031,-0.8765887,0.9033781,0.6657179,-0.9569514,0.05875014,
1529413682168,0.8902752,0.6645837,-1.003664,0.8623881,0.6710659,-0.9822636,0.8466827,0.672574,-0.9652691,0.8858658,0.7106116,-0.9461622,0.8702973,0.7126901,-0.9255285,0.8588345,0.7051065,-0.9167708,0.9005983,0.7033976,-0.9349297,0.8825265,0.7060467,-0.9116712,0.8679091,0.6986992,-0.9026464,0.9185655,0.6904688,-0.9300588,0.9040396,0.6930393,-0.9061209,0.8900532,0.6871861,-0.8957443,0.9338781,0.673502,-0.9287013,0.9260397,0.6743425,-0.9088367,0.9150862,0.6701411,-0.9002777,0.9173473,0.674117,-0.9791896,0.0596499,
1529413682208,0.911911,0.6752916,-1.034838,0.8837052,0.6871246,-1.016249,0.8663455,0.6932821,-1.001956,0.9119343,0.7229159,-0.9780708,0.896319,0.7273917,-0.9579853,0.8843157,0.7207761,-0.9493426,0.9264334,0.7153025,-0.966729,0.9085859,0.7209801,-0.9440187,0.8934274,0.7149516,-0.935133,0.9430896,0.7003333,-0.9612827,0.9281491,0.7040135,-0.9380742,0.9134262,0.6983455,-0.928889,0.9568338,0.6822963,-0.9594169,0.9477828,0.6836438,-0.9405012,0.9356429,0.67951,-0.9338232,0.940474,0.682446,-1.009568,0.06202392,
1529413682247,0.9249279,0.6804565,-1.05478,0.8974655,0.6956807,-1.037599,0.8803912,0.7042952,-1.024254,0.9275815,0.7308904,-1.000739,0.9119346,0.7370965,-0.9813126,0.8997351,0.7309855,-0.9726855,0.9419771,0.7235507,-0.9892383,0.9241863,0.7315,-0.9673451,0.9087812,0.7262626,-0.958517,0.9580073,0.7079122,-0.9829159,0.9428579,0.7131689,-0.9603918,0.9277756,0.7078985,-0.9516926,0.9708222,0.6894674,-0.9801294,0.961124,0.6920567,-0.9618725,0.9485015,0.6883132,-0.9559667,0.9542633,0.6872566,-1.029774,0.06120342,
1529413682287,0.9438666,0.683598,-1.079698,0.9182148,0.7016878,-1.062606,0.9025557,0.7116476,-1.048534,0.9497675,0.7358417,-1.028318,0.9341173,0.7435434,-1.00977,0.9213666,0.7378632,-1.001777,0.9633846,0.7279543,-1.016337,0.9456701,0.7378482,-0.9955682,0.9296818,0.7333082,-0.9876292,0.9777173,0.7111094,-1.009033,0.962073,0.7178789,-0.9875867,0.9462518,0.7132633,-0.9800627,0.9885224,0.6917852,-1.005304,0.9777747,0.695506,-0.9880077,0.9644862,0.6925184,-0.9833027,0.9731423,0.6889622,-1.054939,0.05680991,
1529413682323,0.9604872,0.6809224,-1.095812,0.9371659,0.7001967,-1.07706,0.9235619,0.7097518,-1.060801,0.9699255,0.7338194,-1.045972,0.9551506,0.7431842,-1.027695,0.9419456,0.738424,-1.019975,0.9825522,0.7248481,-1.033558,0.9656708,0.7361845,-1.013156,0.9492927,0.7324541,-1.00585,0.9949729,0.7068678,-1.025851,0.9794281,0.7147422,-1.00495,0.9631053,0.7109065,-0.9983156,1.003783,0.6868156,-1.021773,0.9926181,0.6913903,-1.005026,0.9789506,0.6892581,-1.001105,0.9893392,0.6845534,-1.071562,0.05316833,
1529413682353,0.9744726,0.6749065,-1.108717,0.953929,0.6942559,-1.087528,0.943477,0.7016166,-1.068311,0.9882495,0.7282086,-1.06034,0.9753453,0.7392141,-1.041587,0.9622394,0.7356194,-1.033255,1.000291,0.7181253,-1.047807,0.9849241,0.7301279,-1.026769,0.9686284,0.7269443,-1.019246,1.011344,0.699528,-1.040413,0.9962927,0.7076194,-1.019586,0.9798188,0.7038096,-1.013583,1.018855,0.6791813,-1.036479,1.007637,0.6841014,-1.020005,0.9938167,0.6822672,-1.016694,1.003666,0.6773686,-1.085837,0.05231738,
1529413682380,0.9833552,0.6689976,-1.116895,0.9650432,0.6883197,-1.094114,0.9569457,0.6941067,-1.073478,1.000988,0.7222812,-1.06972,0.9897196,0.7343582,-1.050536,0.9768766,0.7316947,-1.041549,1.012663,0.7112617,-1.057161,0.9985328,0.7233921,-1.035455,0.9823637,0.720531,-1.027589,1.02275,0.6923398,-1.050226,1.00811,0.7003819,-1.029389,0.9915575,0.6964881,-1.02381,1.029387,0.6718447,-1.046522,1.018102,0.6768094,-1.030402,1.004178,0.6748883,-1.028026,1.013135,0.670522,-1.095297,0.05319357,
1529413682406,0.9931799,0.6606979,-1.125503,0.9764292,0.680177,-1.101996,0.9698838,0.6850004,-1.08068,1.013273,0.7143881,-1.079692,1.003427,0.7278413,-1.06041,0.9909227,0.7266393,-1.050585,1.024479,0.702642,-1.066764,1.011197,0.7150314,-1.044638,0.9951281,0.7126719,-1.036363,1.033717,0.6836073,-1.059963,1.019128,0.691728,-1.039268,1.002484,0.6878668,-1.033976,1.039911,0.6631595,-1.056181,1.028529,0.6682957,-1.040451,1.014639,0.6661979,-1.039093,1.023098,0.6617106,-1.104605,0.05551713,
