time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413750942,0.8429618,0.9970053,-0.7084961,0.8223264,1.00741,-0.6821336,0.8147771,1.008047,-0.6604998,0.839908,1.030108,-0.6617118,0.8265215,1.012289,-0.6575229,0.8272027,0.9995203,-0.6672038,0.8521681,1.021894,-0.6535246,0.834246,1.003825,-0.6522524,0.8333333,0.9911556,-0.6655318,0.8679959,1.011651,-0.6475147,0.8484396,0.9971305,-0.6439726,0.8427337,0.9852742,-0.656288,0.8816049,0.9995955,-0.6444693,0.8648597,0.9919727,-0.6400023,0.8569239,0.9851093,-0.6498793,0.8708988,1.004748,-0.68802,0.01649346,
1529413750968,0.8557546,0.9994383,-0.7308589,0.8340914,1.009424,-0.7052402,0.8262104,1.010047,-0.6837314,0.8519045,1.033821,-0.68433,0.8389199,1.01579,-0.6794655,0.839951,1.002525,-0.6884637,0.8644793,1.025608,-0.676453,0.8474607,1.006739,-0.6754616,0.847508,0.9938981,-0.6886513,0.8804168,1.015708,-0.6705365,0.8618791,1.000195,-0.6683243,0.8578529,0.9883655,-0.6813821,0.8940732,1.004371,-0.6673169,0.8777098,0.9959009,-0.664397,0.8715511,0.988738,-0.6752613,0.8839039,1.008629,-0.7100604,0.016364,
1529413750995,0.8619989,1.001152,-0.741354,0.83965,1.010805,-0.7161595,0.8313249,1.011747,-0.6947944,0.8569474,1.036795,-0.6948583,0.8441757,1.018784,-0.6887338,0.8451609,1.004903,-0.6967472,0.8700218,1.028651,-0.6872535,0.8538519,1.009182,-0.6858947,0.8545452,0.9961691,-0.6988883,0.8863156,1.019156,-0.6816053,0.8687699,1.002792,-0.6798407,0.8658876,0.9909544,-0.6931921,0.9002067,1.008516,-0.6784179,0.884402,0.9991906,-0.6762295,0.8795279,0.9916325,-0.6874531,0.8899634,1.011845,-0.7206583,0.01555893,
1529413751010,0.8645732,1.002228,-0.7467847,0.8422364,1.011682,-0.7214681,0.8338273,1.012667,-0.7001108,0.8595227,1.038116,-0.699826,0.846543,1.020309,-0.6929467,0.847092,1.006077,-0.7003756,0.8728375,1.029691,-0.6925808,0.8568184,1.010091,-0.6910139,0.857496,0.997021,-0.7039467,0.8892799,1.020158,-0.6872731,0.8719854,1.003573,-0.6856205,0.869262,0.9918625,-0.6991121,0.9032259,1.009653,-0.6843196,0.8875967,1.00008,-0.6823226,0.8830216,0.9925318,-0.6936705,0.8926511,1.013118,-0.7262795,0.0148143,
1529413751037,0.8761131,1.004485,-0.7611645,0.8535843,1.013692,-0.7357885,0.8446429,1.015041,-0.7146003,0.8702565,1.041388,-0.7133407,0.8565385,1.024427,-0.7043179,0.8556166,1.009345,-0.7098581,0.8840153,1.032348,-0.7066817,0.8682897,1.012559,-0.7044263,0.8689344,0.9992027,-0.7170652,0.9007956,1.022663,-0.7021277,0.8842604,1.005578,-0.7009438,0.8823091,0.9942267,-0.714852,0.9148494,1.012549,-0.6995501,0.8997704,1.002331,-0.6982201,0.8963743,0.9947274,-0.7099009,0.9040077,1.01596,-0.7409053,0.01324203,
1529413751052,0.8785796,1.005806,-0.7662398,0.8561839,1.014879,-0.7406487,0.8471449,1.01625,-0.7194772,0.8727173,1.042882,-0.7179087,0.8585207,1.026398,-0.708059,0.856671,1.011093,-0.7128019,0.8865297,1.03346,-0.7114846,0.8706119,1.013755,-0.7089735,0.8708434,1.000298,-0.7215406,0.9033535,1.02359,-0.7072234,0.8867849,1.006491,-0.7060488,0.8846647,0.9952286,-0.720009,0.9173927,1.013431,-0.7048546,0.9022999,1.003147,-0.7035939,0.8988663,0.9956269,-0.7153065,0.9064247,1.017195,-0.7461202,0.01272417,
1529413751075,0.8855425,1.006805,-0.7776332,0.8636644,1.015891,-0.7514591,0.8545269,1.017645,-0.7303079,0.8800568,1.045156,-0.728211,0.864897,1.030637,-0.7155015,0.8606073,1.0151,-0.7173016,0.8940978,1.034782,-0.7222825,0.877592,1.015396,-0.7180983,0.8764139,1.001302,-0.729866,0.9111351,1.02457,-0.7188321,0.8944414,1.007447,-0.7167197,0.8915796,0.9958582,-0.7302673,0.9252949,1.014381,-0.7169896,0.9101871,1.004007,-0.7150813,0.9062927,0.9962491,-0.7264715,0.9134358,1.018157,-0.7581768,0.01458113,
1529413751123,0.8965992,1.010431,-0.7982675,0.8767622,1.019978,-0.770494,0.8681625,1.02199,-0.7491002,0.8950938,1.049087,-0.7460534,0.8788172,1.038647,-0.730243,0.8712823,1.024316,-0.7291348,0.9081982,1.035501,-0.7417457,0.8900905,1.017508,-0.7365692,0.8867152,1.0035,-0.7480019,0.92462,1.023674,-0.7397727,0.9068425,1.007683,-0.7373127,0.9026582,0.9965469,-0.750899,0.9383295,1.012457,-0.7387882,0.9226612,1.00321,-0.7361798,0.9176087,0.9961988,-0.747564,0.9251826,1.018877,-0.7797774,0.02034112,
1529413751155,0.9062617,1.010072,-0.8127937,0.8880804,1.02043,-0.7841158,0.8803207,1.022988,-0.7624645,0.9072942,1.04949,-0.7598874,0.8914508,1.041485,-0.7420967,0.8828338,1.028069,-0.7390981,0.9197937,1.034268,-0.7564705,0.9014947,1.016815,-0.7505889,0.8974815,1.00295,-0.7619503,0.9359468,1.021954,-0.7553428,0.9179806,1.006311,-0.7523793,0.9133782,0.995237,-0.765846,0.9495845,1.010462,-0.7547406,0.9337974,1.001594,-0.751358,0.9280869,0.9947049,-0.7624575,0.9351553,1.01742,-0.7953919,0.02404406,
1529413751169,0.9118205,1.007857,-0.8234819,0.8943996,1.018311,-0.794359,0.8871254,1.020731,-0.7725472,0.9148406,1.046908,-0.7697848,0.8992308,1.039866,-0.751387,0.8901586,1.026882,-0.747932,0.9268864,1.030866,-0.7668066,0.9082379,1.013917,-0.7606076,0.9035584,1.000305,-0.7720042,0.9427556,1.018122,-0.7661732,0.9243931,1.002937,-0.7628069,0.9190754,0.9920505,-0.7761571,0.9561079,1.006341,-0.7660385,0.9401552,0.9978355,-0.7622115,0.9340366,0.9909739,-0.7730791,0.941077,1.014158,-0.8064595,0.02555291,
