time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413967295,0.8696877,0.6559771,-0.8710806,0.8512878,0.6516812,-0.8382787,0.8442732,0.6440885,-0.8152672,0.8721365,0.6893589,-0.8046325,0.8578854,0.6803433,-0.7831973,0.8477319,0.6661019,-0.7805778,0.8873714,0.6790581,-0.7986084,0.8684823,0.6690735,-0.7755432,0.8541998,0.6548067,-0.7733041,0.9047002,0.6643183,-0.8008738,0.8866776,0.652771,-0.7807061,0.8718954,0.6393816,-0.7808175,0.9198848,0.6492153,-0.8059412,0.9071299,0.6412183,-0.7889542,0.893688,0.6329013,-0.7879793,0.8989558,0.6638039,-0.8517573,0.04122997,
1529413967336,0.8786035,0.6736308,-0.8755562,0.8604245,0.6710765,-0.8424089,0.8531599,0.6648717,-0.819033,0.8829998,0.7095464,-0.8103908,0.8689991,0.70165,-0.7885766,0.8588315,0.6875437,-0.7857734,0.8981205,0.6990269,-0.8043626,0.8794056,0.6900606,-0.780905,0.8650712,0.6759537,-0.7784296,0.9152522,0.6841004,-0.8063831,0.8974034,0.6737257,-0.7854838,0.8824365,0.6605476,-0.7848245,0.9301575,0.6686884,-0.8111553,0.9176478,0.6618068,-0.7934672,0.9041427,0.6537415,-0.7917045,0.9084954,0.6816856,-0.8570762,0.04064963,
1529413967362,0.8875778,0.6904444,-0.880273,0.8696828,0.6890092,-0.8468705,0.8622737,0.6836923,-0.8233049,0.8938205,0.7274266,-0.8158708,0.8798546,0.7201147,-0.7940432,0.8696194,0.7060889,-0.7914579,0.908856,0.7165421,-0.8099656,0.8901981,0.7081621,-0.7863435,0.8757085,0.694258,-0.7838117,0.9256824,0.7012811,-0.8120378,0.9078577,0.6915402,-0.7908556,0.8926634,0.6786275,-0.7898988,0.9402281,0.6856385,-0.8167735,0.927781,0.6794181,-0.7988272,0.9141563,0.6716384,-0.7968504,0.918015,0.6982067,-0.8624679,0.03962066,
1529413967388,0.8970435,0.7075282,-0.8819951,0.8792127,0.7082198,-0.8485258,0.8716966,0.7043638,-0.8247021,0.9047994,0.7470256,-0.8193074,0.8907818,0.7409306,-0.7972232,0.8804607,0.7271009,-0.7941619,0.9197628,0.7359609,-0.8131713,0.9010688,0.7286831,-0.789284,0.8864615,0.7149876,-0.7863091,0.9362516,0.7203249,-0.8148755,0.9182473,0.711525,-0.7935227,0.9029625,0.6987667,-0.7923892,0.9504665,0.7044064,-0.8191108,0.9377464,0.6990852,-0.801159,0.9240012,0.69151,-0.7992396,0.9281384,0.7153074,-0.8648258,0.03907032,
1529413967413,0.9034559,0.7171526,-0.8856162,0.8854975,0.71937,-0.8522708,0.8777003,0.7166241,-0.8283743,0.9118233,0.7584314,-0.8242081,0.8975387,0.7533097,-0.802111,0.8871028,0.7396555,-0.7987806,0.9267255,0.7470587,-0.8177456,0.9078416,0.7405225,-0.7938256,0.8930746,0.7270252,-0.7906066,0.942956,0.7310865,-0.8190616,0.9246834,0.7228336,-0.7978344,0.909309,0.7101945,-0.7968604,0.9568664,0.7149693,-0.8228612,0.9437439,0.7101458,-0.8052417,0.9298876,0.7026867,-0.8038983,0.9348047,0.7249272,-0.8687201,0.0386605,
1529413967454,0.9183052,0.7399032,-0.8911293,0.900371,0.7456477,-0.8581869,0.8922673,0.7452648,-0.8342226,0.9287499,0.7847517,-0.8327482,0.9138899,0.782232,-0.8103982,0.9027268,0.7695366,-0.8056712,0.943155,0.7724557,-0.8254972,0.9237123,0.7679062,-0.8014432,0.908296,0.7552925,-0.7973615,0.9583774,0.7554746,-0.8259408,0.9392049,0.7486254,-0.8051121,0.9233938,0.7365214,-0.8043463,0.9712908,0.7387292,-0.8287264,0.957056,0.7350677,-0.8119872,0.9429358,0.7280561,-0.8118347,0.9502534,0.7470283,-0.874737,0.03890633,
1529413967481,0.9280407,0.7546754,-0.8975469,0.9102594,0.7622256,-0.8648787,0.9020159,0.7630483,-0.8409669,0.9392707,0.8013297,-0.8410532,0.9237833,0.8001813,-0.8189422,0.9120617,0.7881181,-0.8137802,0.9531451,0.788428,-0.8331675,0.9330225,0.7850314,-0.8094103,0.9170749,0.7730769,-0.8051555,0.9676774,0.7708812,-0.8328843,0.9477438,0.7650924,-0.8123689,0.9314996,0.7535542,-0.8116155,0.979938,0.7537059,-0.834902,0.9650508,0.7509257,-0.8185592,0.9506973,0.744402,-0.8187016,0.9599359,0.7612658,-0.8812202,0.03832136,
1529413967516,0.9371846,0.76985,-0.9034581,0.9196889,0.7792819,-0.8711044,0.9115748,0.7813433,-0.8472775,0.9485801,0.8193622,-0.8499863,0.9323075,0.8192477,-0.8287925,0.9205674,0.8070685,-0.8241696,0.9620486,0.8060184,-0.8412594,0.9410642,0.8033972,-0.8183698,0.924924,0.791501,-0.8147012,0.9763711,0.788398,-0.8398545,0.955852,0.7838008,-0.8197004,0.9393972,0.7725717,-0.8190509,0.9882789,0.7710766,-0.8407953,0.9730273,0.7695126,-0.8246604,0.9585371,0.7633069,-0.8248165,0.968995,0.7766986,-0.8875029,0.03572987,
1529413967548,0.9452216,0.7822369,-0.9099854,0.9280473,0.7934792,-0.8780195,0.9201583,0.7967338,-0.8543214,0.955837,0.8347533,-0.8600643,0.938828,0.8351027,-0.8400462,0.9274815,0.8223697,-0.8363282,0.9690883,0.821614,-0.8503358,0.9473409,0.819711,-0.8284773,0.9312707,0.8075603,-0.8255894,0.9837412,0.8045452,-0.8474116,0.9630997,0.801793,-0.8270558,0.9464018,0.7909951,-0.8257008,0.9954914,0.7870452,-0.8470886,0.9803956,0.7870853,-0.8306372,0.9657285,0.7813143,-0.8299601,0.9765636,0.789875,-0.8944359,0.03216495,
1529413967574,0.9508844,0.7911493,-0.913862,0.9340028,0.8035975,-0.8821945,0.9263994,0.8074621,-0.8585476,0.9610202,0.8453739,-0.8662228,0.9435843,0.8461261,-0.8469232,0.9324205,0.8331856,-0.8436942,0.9739892,0.8323981,-0.8557606,0.9517641,0.8311244,-0.8345801,0.9356482,0.8189584,-0.8321307,0.9887049,0.8156861,-0.8518,0.9679496,0.8143028,-0.8314671,0.9510326,0.8039169,-0.8297971,1.000248,0.7980129,-0.8505685,0.9852707,0.7992151,-0.8339887,0.9704618,0.7939031,-0.8328363,0.9817557,0.7991303,-0.8984478,0.03030799,
