time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413677847,1.076039,0.7404853,-0.9353462,1.055272,0.7633129,-0.9191017,1.047122,0.7735519,-0.9004552,1.092318,0.8050792,-0.9008103,1.082364,0.8214006,-0.884334,1.071087,0.8202868,-0.8733052,1.105942,0.7980598,-0.8871855,1.0923,0.8127846,-0.8674929,1.077499,0.8087538,-0.857901,1.118803,0.7823208,-0.877703,1.104532,0.7921841,-0.8582505,1.089386,0.7859125,-0.8514816,1.128264,0.7643439,-0.8709272,1.116731,0.7705832,-0.856675,1.103884,0.7651387,-0.8551604,1.108455,0.7498157,-0.9153905,0.05912374,
1529413677873,1.073424,0.7459791,-0.9448249,1.052093,0.7687999,-0.929554,1.043492,0.7788601,-0.911044,1.088377,0.8100249,-0.9084513,1.077888,0.8261612,-0.8920956,1.066333,0.825003,-0.881311,1.101395,0.8025819,-0.8943197,1.086803,0.8164978,-0.8746111,1.071793,0.8120438,-0.8655218,1.113899,0.7867042,-0.8848346,1.098409,0.7953343,-0.8658267,1.083216,0.7881998,-0.8601174,1.123215,0.7687811,-0.8782333,1.110544,0.7739139,-0.8648066,1.098092,0.7675583,-0.8648034,1.105275,0.7550396,-0.9232815,0.05945507,
1529413677923,1.071406,0.7491766,-0.955304,1.04994,0.7722321,-0.940624,1.040992,0.782252,-0.9222885,1.085077,0.8126931,-0.9180655,1.073719,0.8283899,-0.9019504,1.061704,0.8268555,-0.8916891,1.097247,0.804665,-0.9032793,1.08139,0.8175897,-0.8837875,1.066026,0.8126723,-0.8754871,1.109182,0.788712,-0.8937342,1.092279,0.7962086,-0.8756084,1.077004,0.7883199,-0.8712394,1.118128,0.7708371,-0.88711,1.104312,0.7749649,-0.8749737,1.092633,0.7677463,-0.8768917,1.102455,0.7578096,-0.9326346,0.05792065,
1529413677954,1.068688,0.751763,-0.963073,1.047061,0.7751901,-0.9491506,1.037568,0.7854877,-0.9312335,1.08152,0.8154492,-0.926282,1.06944,0.8311647,-0.910769,1.056944,0.8296034,-0.9010979,1.092745,0.8072419,-0.9109052,1.075812,0.8200959,-0.8922343,1.060016,0.8152313,-0.8846675,1.104114,0.7913223,-0.9008148,1.086233,0.7988932,-0.8836539,1.070693,0.7910785,-0.8800009,1.112651,0.773515,-0.8936489,1.098253,0.7777169,-0.8824046,1.086782,0.7704122,-0.885071,1.098837,0.7602432,-0.9395239,0.0568312,
1529413677993,1.062547,0.7518336,-0.9700893,1.041082,0.7755028,-0.9563389,1.031538,0.7857374,-0.9384502,1.075278,0.8153607,-0.9334093,1.06282,0.8309028,-0.9181031,1.050029,0.829149,-0.9088812,1.085772,0.806883,-0.9177246,1.068167,0.8194281,-0.8995379,1.052106,0.8143809,-0.8926626,1.096606,0.7908998,-0.9074039,1.078079,0.7983512,-0.8909367,1.062405,0.7904947,-0.8879942,1.104735,0.7731008,-0.8999814,1.089942,0.777321,-0.889361,1.078604,0.7700363,-0.8925905,1.092185,0.7600183,-0.9461658,0.05568487,
1529413678034,1.055902,0.7475161,-0.9772074,1.034968,0.7715729,-0.9634076,1.025775,0.7816968,-0.9453446,1.069863,0.8104294,-0.9399611,1.057639,0.8259526,-0.92448,1.044763,0.8242676,-0.9153606,1.079992,0.8015285,-0.92425,1.062445,0.8139632,-0.9060051,1.046247,0.80896,-0.8994139,1.090261,0.7852035,-0.9140577,1.071576,0.7924738,-0.8978152,1.055826,0.7845984,-0.8953896,1.097899,0.7672207,-0.9067733,1.082945,0.771311,-0.8965259,1.071767,0.7640595,-0.9003162,1.085578,0.7548782,-0.9530468,0.05542416,
1529413678061,1.051232,0.7435504,-0.980795,1.03067,0.7678717,-0.9670354,1.021764,0.7779847,-0.9488502,1.065931,0.8061787,-0.9432517,1.054025,0.8219396,-0.9276983,1.041178,0.8206005,-0.9184401,1.076044,0.7970783,-0.9274998,1.058796,0.8096814,-0.9090303,1.04257,0.8049499,-0.9022857,1.085995,0.7805142,-0.917427,1.067318,0.7876467,-0.9011682,1.051569,0.7797345,-0.8989027,1.09337,0.7623926,-0.9103036,1.078326,0.7662069,-0.9003129,1.067431,0.7588158,-0.9045525,1.081017,0.7504756,-0.9565117,0.05583709,
1529413678087,1.044401,0.7378452,-0.9851239,1.024464,0.762553,-0.9713144,1.015996,0.7726542,-0.9529384,1.060395,0.8000815,-0.947326,1.049037,0.816232,-0.9316992,1.036245,0.8153816,-0.92228,1.070413,0.7906846,-0.9315131,1.053633,0.8035799,-0.9127951,1.037361,0.7992147,-0.9059036,1.079883,0.7737927,-0.9215708,1.061293,0.7809055,-0.9052922,1.045505,0.7730448,-0.9032256,1.086847,0.7554821,-0.9146293,1.071768,0.7591258,-0.9049146,1.06116,0.751668,-0.9096404,1.074317,0.7440912,-0.9607551,0.05635239,
1529413678124,1.037304,0.7326049,-0.9889486,1.018119,0.7580118,-0.9754193,1.009982,0.7683875,-0.957076,1.055282,0.7940655,-0.9504669,1.044616,0.8105485,-0.9347039,1.031878,0.8101032,-0.9251881,1.065088,0.7842537,-0.9346833,1.048883,0.7975109,-0.9157464,1.032537,0.7935638,-0.9087934,1.073945,0.7669466,-0.9249117,1.055556,0.7742541,-0.9085943,1.039649,0.7666255,-0.9067329,1.080347,0.7483869,-0.9181843,1.065344,0.7521166,-0.908654,1.054869,0.7447734,-0.9137654,1.067464,0.7377442,-0.9642797,0.05688993,
1529413678153,1.031261,0.72644,-0.9913986,1.012614,0.7525789,-0.9786645,1.004327,0.7631738,-0.9605412,1.050636,0.7867727,-0.9512644,1.040615,0.8038315,-0.935582,1.027757,0.8042233,-0.9262035,1.059693,0.7764025,-0.9352229,1.043881,0.7902662,-0.9163333,1.027272,0.787106,-0.9096236,1.067412,0.7585547,-0.9254574,1.048907,0.7662081,-0.9095,1.032751,0.7590397,-0.9082596,1.072866,0.7396597,-0.9188786,1.057748,0.7435553,-0.9099212,1.047537,0.736462,-0.9157743,1.060875,0.73014,-0.9654453,0.05842176,
