time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413739462,0.9144859,0.6524676,-0.8850884,0.8876724,0.6486474,-0.8618414,0.8734194,0.6421605,-0.8448691,0.9021118,0.6807159,-0.8196938,0.8835028,0.6758326,-0.8029819,0.8715072,0.6651579,-0.8005029,0.9149455,0.6687622,-0.810503,0.8928057,0.6624277,-0.7923707,0.8774256,0.6519161,-0.7902808,0.9308231,0.653417,-0.8092709,0.9101237,0.645025,-0.7933296,0.8950651,0.6345532,-0.793496,0.9448909,0.6374855,-0.8119165,0.9296988,0.6307558,-0.7992936,0.9169642,0.6240101,-0.8004872,0.9375589,0.6554541,-0.8587098,0.05000896,
1529413739487,0.9265049,0.6623596,-0.890411,0.8992994,0.6601023,-0.8674344,0.8847016,0.6546132,-0.8503918,0.9140728,0.6928604,-0.826158,0.8952086,0.6885995,-0.8095899,0.8830999,0.6780711,-0.8069726,0.9265383,0.6810352,-0.8165433,0.9039669,0.6752816,-0.7988594,0.8885828,0.6647798,-0.797152,0.9419965,0.665395,-0.8148121,0.9206783,0.6573016,-0.7997381,0.9056835,0.646772,-0.8006138,0.9557597,0.6493473,-0.8167737,0.9398279,0.6429812,-0.8052664,0.9273409,0.6363082,-0.8079137,0.9495179,0.6658468,-0.8638516,0.0493768,
1529413739524,0.9507824,0.682609,-0.9042917,0.9237568,0.6822916,-0.8810079,0.9090959,0.6781627,-0.8635958,0.9398592,0.7152709,-0.8411187,0.9211323,0.7115222,-0.8241911,0.9089528,0.701206,-0.8209814,0.9523029,0.7037683,-0.8312539,0.9298396,0.6987603,-0.8130922,0.9143945,0.6885008,-0.8107786,0.9674361,0.6879158,-0.8292657,0.9460227,0.6803082,-0.8139851,0.9309348,0.6698663,-0.8144614,0.9807519,0.6716294,-0.83092,0.9644915,0.6655362,-0.8199321,0.9521317,0.6588843,-0.8231628,0.9743928,0.6864843,-0.8781064,0.04844585,
1529413739556,0.963191,0.6906582,-0.911467,0.9359891,0.692306,-0.8884566,0.9210227,0.6894374,-0.8710409,0.953043,0.7251681,-0.8494205,0.9339039,0.7223783,-0.8325919,0.9213063,0.7126757,-0.8289436,0.9651947,0.7135957,-0.8391103,0.9423993,0.7096989,-0.8208901,0.9265894,0.7001079,-0.8180857,0.97981,0.697297,-0.8366345,0.957979,0.6905833,-0.8212891,0.9425358,0.6806399,-0.8213316,0.9924434,0.6804935,-0.8379264,0.9756781,0.6748389,-0.8275841,0.9632877,0.668442,-0.8312994,0.9869613,0.6944272,-0.8852305,0.04808619,
1529413739583,0.9820521,0.70192,-0.9228927,0.9549445,0.705204,-0.899954,0.939949,0.7034154,-0.8824118,0.9728456,0.7385979,-0.8622652,0.9533483,0.7366794,-0.8455787,0.9404943,0.7274517,-0.8415369,0.9849491,0.7270357,-0.8514948,0.9619719,0.7239875,-0.833205,0.9459642,0.7148429,-0.8299687,0.9993008,0.7105699,-0.848477,0.9772999,0.7047225,-0.8327636,0.9615812,0.6952186,-0.8320869,1.011452,0.6933705,-0.8493515,0.9944337,0.6881148,-0.8391809,0.9819062,0.6818645,-0.8428417,1.006172,0.7059638,-0.8968244,0.04742144,
1529413739608,0.9943883,0.7079748,-0.9300307,0.967366,0.7126459,-0.9072404,0.9523598,0.7117959,-0.889633,0.9862403,0.7463,-0.8704495,0.9666119,0.7450631,-0.8537406,0.9536523,0.736168,-0.8493412,0.9984357,0.7348135,-0.8593341,0.9755046,0.7323577,-0.8408489,0.9594401,0.7234505,-0.8372779,1.012619,0.7182755,-0.8559723,0.9906287,0.7129725,-0.8400047,0.9748336,0.7036483,-0.8390197,1.024466,0.7008644,-0.8565272,1.00736,0.6959029,-0.8463684,0.9947689,0.6897151,-0.8499705,1.018978,0.7123053,-0.9041436,0.04710733,
1529413739634,1.007505,0.7137893,-0.9363437,0.9807173,0.7195774,-0.9135506,0.9658052,0.719422,-0.8958378,1.000839,0.7528688,-0.8771602,0.9812387,0.7522773,-0.8602327,0.9681185,0.7438601,-0.8553896,1.013128,0.74124,-0.8658969,0.9904287,0.7393366,-0.8469608,0.9742614,0.7308361,-0.8428901,1.026998,0.7244416,-0.8625536,1.005084,0.7195168,-0.8462816,0.9891685,0.7104586,-0.8450025,1.038446,0.7068148,-0.8631051,1.021268,0.7020682,-0.8529251,1.008569,0.696068,-0.8564732,1.032643,0.7178705,-0.9106514,0.04731417,
1529413739662,1.021506,0.7194875,-0.9474958,0.9950769,0.7264675,-0.9246343,0.9803889,0.7270514,-0.9067439,1.016758,0.759631,-0.8888416,0.9973281,0.7598023,-0.8716204,0.9841459,0.7517976,-0.8663208,1.029205,0.7479041,-0.8774959,1.006838,0.7465857,-0.8581212,0.9906523,0.7383422,-0.8536618,1.042854,0.7309003,-0.8741458,1.021153,0.7264226,-0.8574947,1.005191,0.7175318,-0.8559848,1.053951,0.7130967,-0.8746593,1.036815,0.7086676,-0.8643147,1.024034,0.7027938,-0.8677698,1.047394,0.7234244,-0.9221458,0.04754488,
1529413739696,1.038668,0.7231864,-0.9583429,1.012612,0.7313852,-0.9354954,0.9981819,0.7325803,-0.9174379,1.035674,0.7641874,-0.9001356,1.016409,0.765246,-0.882692,1.003057,0.7577966,-0.8770497,1.048022,0.7522174,-0.8886323,1.025923,0.7516755,-0.8689368,1.009601,0.7438726,-0.8642262,1.061194,0.7348844,-0.8852044,1.039587,0.7310987,-0.8682941,1.023444,0.7225976,-0.8666228,1.071727,0.7167923,-0.8856282,1.054552,0.7128662,-0.8752555,1.041676,0.707271,-0.8787928,1.065012,0.7266581,-0.9331501,0.04786276,
1529413739729,1.052308,0.7231838,-0.9680236,1.026694,0.7325844,-0.9451746,1.01251,0.734373,-0.9269785,1.051232,0.7646817,-0.9099413,1.032302,0.7667075,-0.892198,1.018783,0.7598473,-0.8862633,1.06346,0.75245,-0.8983096,1.041846,0.7529596,-0.8781171,1.025368,0.7457753,-0.8730642,1.076143,0.734785,-0.8947869,1.054916,0.732103,-0.8771932,1.038523,0.7242708,-0.8749792,1.085972,0.7162437,-0.8952126,1.068941,0.7130036,-0.8844283,1.055866,0.7078108,-0.8877524,1.078991,0.7258604,-0.9429259,0.04843578,
1529413739755,1.060601,0.7217339,-0.9742566,1.035467,0.7320216,-0.9512764,1.021608,0.7343144,-0.9328947,1.060934,0.7642878,-0.9168877,1.042289,0.7670343,-0.8989927,1.028734,0.7604567,-0.8928646,1.073104,0.7520409,-0.9051437,1.051791,0.7532973,-0.884784,1.035259,0.7463524,-0.8796341,1.085652,0.7343248,-0.9013398,1.06482,0.7325965,-0.8832077,1.04831,0.7251937,-0.8804837,1.095133,0.7155279,-0.9015111,1.078372,0.7129205,-0.890203,1.065135,0.7079299,-0.8931299,1.087591,0.7243218,-0.9494888,0.04833846,
1529413739782,1.072728,0.717924,-0.9817599,1.048369,0.7290477,-0.9583403,1.035019,0.7317919,-0.9396606,1.075055,0.7613418,-0.9250988,1.056804,0.7646645,-0.9070745,1.043237,0.7581383,-0.9010119,1.087048,0.748993,-0.9134071,1.066077,0.7510623,-0.8929363,1.049447,0.7443897,-0.8878007,1.099504,0.7311947,-0.9093378,1.079303,0.730671,-0.8905115,1.062658,0.7238692,-0.887219,1.10861,0.7120951,-0.9092243,1.09245,0.7104247,-0.8969098,1.078907,0.7058588,-0.8989691,1.10005,0.7201907,-0.9575722,0.04749088,
1529413739808,1.080479,0.7138021,-0.9854598,1.056586,0.725616,-0.9618852,1.043495,0.7288026,-0.9431044,1.084035,0.7578892,-0.929404,1.066013,0.7615044,-0.9114074,1.05245,0.7548482,-0.905573,1.095856,0.7455627,-0.9177147,1.07506,0.7482541,-0.8972795,1.058353,0.7417548,-0.8922355,1.10829,0.7277212,-0.9133591,1.088541,0.7280819,-0.894151,1.07182,0.7216789,-0.8905768,1.117235,0.7084453,-0.9129084,1.101647,0.7075351,-0.8997904,1.087908,0.7033249,-0.9010974,1.107992,0.7159016,-0.9616024,0.04655297,
