time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413777289,1.110244,0.6199661,-0.7028126,1.088877,0.61342,-0.6753694,1.082731,0.6055892,-0.6549542,1.096376,0.6591195,-0.6416872,1.085279,0.6579483,-0.6179182,1.077432,0.6491826,-0.6064925,1.1121,0.6536834,-0.6320961,1.097392,0.6496922,-0.6062518,1.086434,0.6392971,-0.5949886,1.131312,0.6451149,-0.6301554,1.117544,0.6401587,-0.6058037,1.106427,0.6297787,-0.5954022,1.14696,0.6296442,-0.6334507,1.134713,0.6191062,-0.6221194,1.126112,0.6085257,-0.62652,1.132525,0.6352575,-0.6806239,0.06539878,
1529413777336,1.105166,0.6371518,-0.7258636,1.082668,0.631362,-0.6991603,1.075156,0.6236569,-0.6790535,1.090934,0.6766356,-0.6651171,1.078592,0.675889,-0.6418836,1.069639,0.6677023,-0.630821,1.106175,0.6703321,-0.6548245,1.090465,0.6676282,-0.6292163,1.078491,0.6586332,-0.6177226,1.125217,0.6613616,-0.6519911,1.1112,0.6590446,-0.6271887,1.09934,0.6509528,-0.6155015,1.140795,0.645712,-0.6536959,1.128812,0.63829,-0.6387238,1.118552,0.6285066,-0.6389254,1.127213,0.650965,-0.7027675,0.06555009,
1529413777369,1.101576,0.6463513,-0.7439002,1.079134,0.6403549,-0.7171543,1.071343,0.6326648,-0.6970863,1.087548,0.6859102,-0.6830187,1.07518,0.6852851,-0.6598122,1.066213,0.677063,-0.6488215,1.103107,0.6797214,-0.6727062,1.087753,0.67742,-0.6468332,1.075889,0.6686283,-0.6350951,1.122384,0.6708841,-0.6699366,1.109048,0.6692178,-0.6446937,1.097446,0.6615547,-0.6324624,1.138928,0.6561006,-0.6711543,1.128999,0.6510534,-0.6529964,1.11871,0.6424297,-0.6482574,1.123722,0.6602146,-0.720879,0.06577999,
1529413777410,1.093914,0.6670097,-0.7697872,1.071144,0.6616303,-0.7431735,1.062885,0.6547289,-0.7229351,1.079494,0.7093215,-0.7105193,1.067144,0.7095641,-0.6873259,1.058323,0.7015762,-0.676086,1.095325,0.7039877,-0.6998767,1.080202,0.7026451,-0.6739188,1.068516,0.693832,-0.6621038,1.114766,0.6956015,-0.6967238,1.101629,0.6948294,-0.6714823,1.090101,0.6870313,-0.6593629,1.132919,0.682179,-0.6968782,1.125646,0.6803709,-0.6765466,1.116596,0.6738592,-0.6673124,1.116058,0.682448,-0.7471831,0.06641028,
1529413777449,1.08857,0.685275,-0.7954438,1.065192,0.6805049,-0.769231,1.056229,0.6738074,-0.7491968,1.075327,0.7280072,-0.7359658,1.06254,0.7288946,-0.7130494,1.053194,0.7212431,-0.7020227,1.091225,0.7221345,-0.7251103,1.076035,0.7216429,-0.6992333,1.063934,0.7131757,-0.6876596,1.11034,0.7128076,-0.7218717,1.0972,0.7125365,-0.6966913,1.085308,0.704994,-0.6848017,1.128658,0.699134,-0.7219242,1.122501,0.6985278,-0.7011052,1.113938,0.6932616,-0.6904973,1.111233,0.6998398,-0.7725,0.06696837,
1529413777489,1.084102,0.6996092,-0.8173208,1.059063,0.6963993,-0.7923756,1.047964,0.690556,-0.7730414,1.071575,0.7423878,-0.7576036,1.057826,0.7443074,-0.735299,1.047455,0.7374276,-0.7246979,1.086955,0.7353605,-0.7461343,1.071037,0.7360684,-0.720713,1.058004,0.7284987,-0.7095735,1.105073,0.7243139,-0.7424001,1.090976,0.7244435,-0.717761,1.078154,0.7174315,-0.7065411,1.122479,0.7096312,-0.7420515,1.115347,0.70912,-0.7216666,1.105799,0.7040768,-0.7117834,1.107013,0.7120433,-0.793127,0.06733712,
1529413777525,1.07859,0.7118576,-0.8382649,1.052587,0.7099535,-0.8141006,1.040013,0.7052044,-0.7952914,1.067277,0.7547176,-0.7781241,1.053819,0.7574169,-0.7557178,1.043369,0.751021,-0.7449012,1.082608,0.7474504,-0.7665942,1.067048,0.7489321,-0.7410132,1.053952,0.7417858,-0.7296886,1.100256,0.7357157,-0.7628925,1.086103,0.7358931,-0.7383537,1.073106,0.7288667,-0.7273502,1.11714,0.72077,-0.7626017,1.109311,0.7200353,-0.742686,1.099051,0.7145385,-0.7338728,1.10202,0.7234629,-0.8136333,0.06818798,
1529413777556,1.074602,0.7207876,-0.8572566,1.047532,0.7209283,-0.8341148,1.033636,0.7176737,-0.8159046,1.064404,0.7648118,-0.7975518,1.051022,0.76889,-0.7752507,1.040322,0.7635316,-0.7640741,1.079554,0.757391,-0.7857184,1.064166,0.7604039,-0.7601401,1.050863,0.754266,-0.7484494,1.096601,0.7448103,-0.7816637,1.082227,0.7456416,-0.7573122,1.068917,0.7390059,-0.7464337,1.112809,0.7293364,-0.7810389,1.104277,0.7287759,-0.7615504,1.093443,0.7233049,-0.753419,1.098437,0.7316878,-0.8321783,0.06952737,
1529413777583,1.067603,0.729932,-0.8795613,1.039506,0.7323395,-0.8577185,1.024189,0.7309728,-0.8403782,1.05815,0.7757883,-0.8209329,1.044662,0.7813298,-0.7989495,1.033736,0.7771019,-0.7874522,1.073151,0.7685642,-0.8087344,1.057718,0.7732818,-0.7834154,1.044206,0.7682166,-0.7714245,1.089696,0.7553774,-0.8041079,1.074923,0.7570996,-0.7800688,1.061309,0.7509369,-0.7692806,1.10535,0.7394863,-0.802893,1.096102,0.7393698,-0.783755,1.084899,0.7341724,-0.775909,1.091798,0.7406864,-0.8541093,0.07085329,
1529413777609,1.064806,0.7333478,-0.8917837,1.035925,0.7371385,-0.8711411,1.019486,0.7370969,-0.8547319,1.055175,0.7801965,-0.8338578,1.041432,0.7865655,-0.812225,1.030331,0.7829543,-0.8006588,1.070071,0.7732296,-0.8213643,1.054377,0.7788686,-0.7963993,1.040681,0.7742958,-0.7844158,1.086469,0.7598181,-0.8162338,1.071357,0.7619544,-0.7924808,1.057555,0.7558956,-0.7818882,1.101925,0.7437944,-0.8145584,1.092249,0.7438884,-0.7956436,1.080865,0.7387621,-0.7880127,1.089038,0.7441548,-0.8658965,0.07172471,
1529413777636,1.062617,0.7364163,-0.9038192,1.033432,0.7413697,-0.8838364,1.016469,0.7423127,-0.8679658,1.053457,0.783969,-0.8463703,1.039654,0.7909355,-0.8249328,1.028468,0.7878029,-0.8132886,1.068302,0.7771218,-0.8337803,1.052538,0.7834591,-0.8090354,1.03873,0.7792829,-0.7970319,1.084591,0.7634541,-0.8283605,1.069405,0.7659435,-0.8047193,1.055503,0.760029,-0.7941827,1.099832,0.7472476,-0.8264475,1.090012,0.7475454,-0.8075984,1.078551,0.7425702,-0.7999778,1.087073,0.7470858,-0.8777799,0.07213144,
1529413777663,1.060314,0.7396998,-0.9203924,1.031185,0.7462412,-0.9007851,1.014102,0.7482728,-0.885129,1.052578,0.7881804,-0.8635869,1.038759,0.7958103,-0.8423947,1.027435,0.7930882,-0.8307806,1.06734,0.7812968,-0.8509963,1.051532,0.7884727,-0.8265612,1.03752,0.7847033,-0.8146712,1.083433,0.7671942,-0.8453149,1.068267,0.7702821,-0.8217878,1.054199,0.764641,-0.8113513,1.098205,0.750596,-0.8432036,1.088258,0.7512864,-0.8244373,1.076632,0.746585,-0.8169158,1.085289,0.7499052,-0.8943948,0.07169319,
1529413777690,1.058981,0.7412008,-0.9310124,1.03015,0.7490633,-0.9114622,1.013266,0.7519038,-0.895727,1.052614,0.790634,-0.8750575,1.038702,0.7985946,-0.8541124,1.027216,0.7958996,-0.8426712,1.067257,0.7837239,-0.8625079,1.051272,0.7914435,-0.838447,1.037016,0.7877951,-0.826843,1.083234,0.7693208,-0.8565793,1.068082,0.7729794,-0.8331873,1.053851,0.7675678,-0.8228951,1.097559,0.7523932,-0.854259,1.087499,0.7535104,-0.83559,1.075705,0.7490612,-0.8282252,1.084435,0.7511495,-0.9052983,0.07032185,
