time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529406514937,0.9730927,0.6155658,-0.9500687,0.9400961,0.6260341,-0.9347014,0.9176613,0.6312122,-0.9220842,0.9572363,0.6502978,-0.8846619,0.9336889,0.6509417,-0.8678373,0.9181898,0.6418374,-0.8645878,0.968558,0.6395991,-0.8718544,0.9417979,0.6413457,-0.8526793,0.9227486,0.6330823,-0.8501167,0.9837277,0.6216614,-0.8657745,0.9599732,0.6200752,-0.8456705,0.9413311,0.6118705,-0.8429889,0.9967579,0.6021132,-0.8651465,0.9802749,0.598758,-0.8485961,0.9650194,0.5931309,-0.8473058,0.9947529,0.6150751,-0.9177444,0.05847232,
1529406514973,0.9800526,0.6134239,-0.9569296,0.9476407,0.6238362,-0.9403679,0.9257653,0.6286842,-0.9267017,0.9660586,0.6479093,-0.8911088,0.9428879,0.6484753,-0.8737822,0.9274925,0.6393106,-0.8702081,0.9777499,0.6371791,-0.8786776,0.9514226,0.6388184,-0.8589463,0.9324798,0.6304414,-0.8560541,0.9930596,0.6192161,-0.8731036,0.969714,0.6175162,-0.8525805,0.9511474,0.6092235,-0.849613,1.006041,0.5996836,-0.8729253,0.9897959,0.5962927,-0.8561597,0.9745631,0.5906476,-0.8546832,1.002656,0.612754,-0.925277,0.05751018,
1529406514991,0.9842715,0.6130202,-0.960937,0.9521194,0.6232167,-0.9437668,0.9305086,0.6277529,-0.9295927,0.9711851,0.6467943,-0.8945522,0.9482746,0.6471581,-0.8769031,0.9329644,0.6378989,-0.8732312,0.983052,0.6359471,-0.8824239,0.9569811,0.6373028,-0.8623784,0.9381241,0.6287817,-0.859414,0.9984387,0.6179647,-0.8772789,0.9753132,0.6159922,-0.8565626,0.9568086,0.6075843,-0.8535412,1.01143,0.5984845,-0.8774917,0.9953113,0.5949237,-0.8606582,0.9801046,0.5892216,-0.8591792,1.007354,0.6120445,-0.9296018,0.05732013,
1529406515018,0.9915889,0.6114021,-0.968327,0.9599402,0.6209931,-0.9499426,0.9388389,0.6248822,-0.934852,0.9802538,0.644116,-0.901054,0.9579226,0.644135,-0.8827018,0.9427702,0.6347435,-0.8787575,0.9924524,0.6330955,-0.8894576,0.9669827,0.6340042,-0.8686699,0.9482666,0.6253136,-0.8653864,1.007972,0.6151267,-0.8850809,0.9853952,0.6127679,-0.8638229,0.9670013,0.6042378,-0.8604714,1.020981,0.5957446,-0.8859761,1.005257,0.5919434,-0.8688306,0.9901061,0.586171,-0.867094,1.015512,0.6100497,-0.9376954,0.05709024,
1529406515044,0.9968238,0.6120422,-0.9735552,0.9655234,0.6210415,-0.9543554,0.9448524,0.6241031,-0.9385191,0.9864534,0.643757,-0.9054722,0.9646146,0.6437699,-0.8865451,0.949466,0.634486,-0.8824041,0.9986701,0.6324264,-0.8942289,0.9736688,0.6331885,-0.8729094,0.9549652,0.6245634,-0.8694601,1.014049,0.6143696,-0.8904187,0.9918114,0.6119303,-0.8687905,0.9734076,0.6035228,-0.8651807,1.026899,0.5949983,-0.891819,1.011376,0.5911703,-0.8744855,0.9962206,0.5854758,-0.8725799,1.020991,0.6100842,-0.9432496,0.05725371,
1529406515071,1.001324,0.6118657,-0.9784035,0.9703753,0.620634,-0.9585642,0.9500512,0.6233912,-0.9422354,0.9920631,0.6434072,-0.9100134,0.9706366,0.6434667,-0.8906078,0.9555348,0.6342552,-0.8861613,1.004404,0.6319982,-0.8990066,0.9798301,0.6327658,-0.8771893,0.9611653,0.6242012,-0.8733921,1.019758,0.6139376,-0.895533,0.9978926,0.6115487,-0.8734933,0.979528,0.6032213,-0.8695043,1.03252,0.5945784,-0.8972101,1.017254,0.5908085,-0.8796211,1.002119,0.5851561,-0.8774328,1.025887,0.6097998,-0.9485033,0.05737938,
1529406515097,1.003867,0.6122745,-0.9809064,0.9731102,0.6204159,-0.9605111,0.9529967,0.6227285,-0.9438535,0.9954528,0.6429446,-0.9119138,0.9744926,0.6425464,-0.8919753,0.9595746,0.6331778,-0.8872333,1.008052,0.6315418,-0.9012605,0.9839272,0.631754,-0.8788993,0.965427,0.622979,-0.8747553,1.023625,0.6136665,-0.8982725,1.0022,0.6107944,-0.8758301,0.9840051,0.6022472,-0.8715255,1.036565,0.5944978,-0.9003752,1.021661,0.5903764,-0.8825407,1.006637,0.5845346,-0.8801033,1.028927,0.6101964,-0.951404,0.05795085,
1529406515124,1.008842,0.6128985,-0.9850973,0.9785142,0.6198471,-0.9636038,0.9587098,0.6215899,-0.9464936,1.00236,0.6416402,-0.9149498,0.9823378,0.6401643,-0.8940954,0.9678257,0.6303698,-0.8889529,1.015416,0.6302316,-0.9051141,0.9921494,0.6292244,-0.881842,0.9739959,0.6199641,-0.8771865,1.031417,0.6127309,-0.9031564,1.010874,0.6088308,-0.8800298,0.9930228,0.5998147,-0.8752521,1.044688,0.5939575,-0.9061763,1.030556,0.5891267,-0.887876,1.015762,0.582927,-0.8849638,1.034965,0.6107537,-0.9565271,0.05891627,
1529406515151,1.012738,0.6124207,-0.9884291,0.9826819,0.6183064,-0.9662428,0.9631416,0.6193364,-0.9487705,1.007394,0.6399535,-0.9176062,0.9879494,0.6377815,-0.8962201,0.9736692,0.6277785,-0.8908018,1.020725,0.6284804,-0.9082307,0.9980471,0.6266255,-0.8843811,0.9801209,0.6170843,-0.8793959,1.036906,0.6112359,-0.9069346,1.016929,0.6066675,-0.8833662,0.9993032,0.5974137,-0.8782161,1.050318,0.5927343,-0.9105363,1.036662,0.5874426,-0.8919443,1.022032,0.5810447,-0.8886584,1.039441,0.6102776,-0.960407,0.05951863,
1529406515186,1.015946,0.6124778,-0.9911288,0.9859563,0.6175896,-0.9686171,0.9663512,0.6184163,-0.9511929,1.011445,0.6387767,-0.9197033,0.9925089,0.6357971,-0.8978895,0.9784511,0.625578,-0.8922217,1.024966,0.6272702,-0.9107359,1.002766,0.6245035,-0.8864202,0.9850513,0.6147133,-0.8810861,1.041353,0.610366,-0.9099747,1.021906,0.6051776,-0.8859639,1.004513,0.5957537,-0.880307,1.054954,0.5921307,-0.9140532,1.041836,0.5863899,-0.8950824,1.027429,0.5798115,-0.8911501,1.043096,0.6103823,-0.9635147,0.06062423,
