time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529405659063,0.7897916,0.5806063,-0.9630035,0.7659767,0.5911518,-0.9343942,0.7511271,0.5920116,-0.9127024,0.7887113,0.61405,-0.9011425,0.764865,0.6101912,-0.8938656,0.7561977,0.5985529,-0.9043732,0.7945664,0.5975728,-0.8917517,0.7655528,0.5950539,-0.8854976,0.752309,0.5854913,-0.8987002,0.8046359,0.5779659,-0.8870515,0.7775077,0.5775924,-0.8776784,0.7611709,0.5713861,-0.8886567,0.8122417,0.5581324,-0.8869561,0.7929161,0.5605602,-0.8756881,0.7777134,0.5595082,-0.8818628,0.8133134,0.5746577,-0.9369259,0.01174205,
1529405659095,0.8014758,0.5669119,-0.9784113,0.7773539,0.5744752,-0.9493517,0.7638674,0.5713733,-0.9273099,0.7953072,0.5992171,-0.919463,0.7717909,0.5910169,-0.9154596,0.7663051,0.5785691,-0.9272428,0.8019186,0.5831395,-0.9108217,0.7737908,0.5754966,-0.9102023,0.7658849,0.5648502,-0.926313,0.812819,0.564971,-0.9056684,0.7854222,0.5600139,-0.9026426,0.7739875,0.5521207,-0.9177666,0.8220614,0.547039,-0.9041708,0.8010503,0.5469143,-0.897541,0.7884306,0.5440816,-0.907621,0.8245835,0.5636095,-0.9523653,0.00759771,
1529405659122,0.8095114,0.5625693,-0.989529,0.7841256,0.568902,-0.9614711,0.7705693,0.5637012,-0.940133,0.7988645,0.5916374,-0.9308872,0.7757187,0.5816023,-0.9293966,0.7719231,0.5695432,-0.9422693,0.8055718,0.5758573,-0.9224306,0.7783469,0.5666127,-0.9249206,0.7731822,0.5565445,-0.9423835,0.8164834,0.5578257,-0.9176174,0.7897362,0.5510657,-0.9185818,0.7816557,0.5436066,-0.9358197,0.8259991,0.5405549,-0.9159071,0.8046438,0.5389998,-0.9127824,0.7947997,0.5360869,-0.9254258,0.8311556,0.5588245,-0.9623194,0.006366032,
1529405659159,0.8209386,0.5474944,-1.00833,0.7951201,0.5548168,-0.9809768,0.7818911,0.5500354,-0.9595117,0.8103606,0.5753919,-0.9488342,0.7875699,0.5639763,-0.9462718,0.7832961,0.5514941,-0.9586514,0.8181059,0.5602139,-0.9405121,0.7912788,0.5492387,-0.9421936,0.7861102,0.5386448,-0.9593036,0.8299349,0.5425538,-0.9364527,0.803899,0.5337863,-0.9379973,0.7968754,0.5259084,-0.955489,0.8401226,0.525922,-0.9351134,0.8191395,0.522698,-0.9337152,0.8112448,0.519339,-0.9474832,0.8436967,0.5441667,-0.9806657,0.002200475,
1529405659184,0.8330046,0.5377632,-1.026357,0.8061356,0.5459254,-1.000365,0.7921296,0.5411604,-0.9795306,0.8219471,0.5622347,-0.9650178,0.7991228,0.5506315,-0.9630771,0.7948499,0.5386076,-0.9759378,0.829568,0.5468234,-0.9573094,0.8027595,0.535773,-0.9598207,0.7978249,0.5257269,-0.9773336,0.8413054,0.5288821,-0.9540811,0.8155326,0.51993,-0.957019,0.8093423,0.5128068,-0.9751626,0.8513297,0.5121578,-0.9535235,0.8306131,0.5086476,-0.9539143,0.8243198,0.5061364,-0.9686309,0.8558232,0.5325691,-0.997646,0.005179273,
1529405659210,0.841271,0.5329738,-1.034342,0.8128833,0.5398647,-1.009869,0.7981052,0.5332966,-0.9902124,0.8272353,0.5532594,-0.9718933,0.8045833,0.5414765,-0.9720531,0.8014531,0.5303757,-0.985996,0.8344426,0.5373767,-0.964968,0.8082007,0.5263704,-0.9700813,0.8050054,0.5175388,-0.9886013,0.8460268,0.5192453,-0.9622624,0.820906,0.5104214,-0.9678028,0.8166552,0.5046994,-0.9869535,0.8559979,0.502434,-0.9622267,0.8356465,0.4989153,-0.9647202,0.8311421,0.4978165,-0.9802096,0.8628562,0.5255163,-1.004268,0.006125154,
1529405659237,0.8493655,0.5251206,-1.045592,0.8216039,0.5313179,-1.020446,0.8079234,0.5239649,-1.000318,0.8381082,0.5424586,-0.9823607,0.8164237,0.5291424,-0.9829289,0.8139917,0.5184797,-0.9973805,0.8462815,0.5270231,-0.9762492,0.8210058,0.5147424,-0.981772,0.8186148,0.5064958,-1.000714,0.8586292,0.5094544,-0.9745016,0.8342868,0.4996364,-0.9805451,0.8307341,0.4946057,-1.00004,0.869118,0.4932887,-0.9751762,0.8491946,0.4891019,-0.9781752,0.8453152,0.4885185,-0.9938619,0.8729169,0.5172434,-1.016097,0.008691364,
1529405659265,0.8534842,0.5216752,-1.051956,0.8263814,0.5276108,-1.026056,0.8131431,0.5203652,-1.005451,0.844661,0.5359614,-0.9879045,0.8237102,0.5215783,-0.9885925,0.8214546,0.5114353,-1.00347,0.8535943,0.5208006,-0.9827776,0.8290993,0.5076232,-0.9885559,0.8271815,0.500142,-1.00789,0.8665473,0.5037656,-0.9821037,0.8429247,0.4932762,-0.988531,0.8399978,0.4890901,-1.008326,0.8774327,0.4882691,-0.9836183,0.8579783,0.4835946,-0.9870125,0.8548576,0.4834109,-1.002866,0.8788291,0.5131937,-1.023263,0.01235919,
1529405659292,0.8598571,0.5176588,-1.059105,0.8327004,0.5261231,-1.033821,0.8178637,0.5215466,-1.013132,0.8515449,0.5300587,-0.9948709,0.8307143,0.5159142,-0.9964998,0.8291743,0.5062484,-1.01175,0.8601309,0.5146805,-0.9905227,0.8364483,0.501977,-0.9979429,0.8366147,0.4952416,-1.017544,0.8726596,0.4975369,-0.9901876,0.849983,0.4877343,-0.9983917,0.8495572,0.4843552,-1.018431,0.8831235,0.4821818,-0.9917395,0.8643166,0.4780636,-0.9965904,0.8634166,0.477822,-1.012652,0.8851528,0.5072252,-1.030072,0.01907554,
1529405659319,0.8667196,0.5114737,-1.065629,0.8400033,0.5223591,-1.04075,0.8247412,0.5202435,-1.019733,0.8594828,0.5220789,-1.002182,0.8403796,0.5070196,-1.00561,0.8415549,0.4985992,-1.021507,0.8684666,0.5074481,-0.9980448,0.846598,0.494,-1.00695,0.8497303,0.4879403,-1.026375,0.8812798,0.4909121,-0.9976538,0.8601975,0.4806082,-1.007198,0.8625909,0.477538,-1.027025,0.8919615,0.4761501,-0.9988327,0.8740866,0.4714777,-1.004629,0.8753121,0.4703714,-1.020584,0.8927645,0.5004596,-1.03639,0.02746492,
