time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529077225769,1.171163,0.3800876,-0.8299278,1.175896,0.3770927,-0.7915921,1.186745,0.364395,-0.7719704,1.209399,0.3540195,-0.7701142,1.208201,0.3281374,-0.7542506,1.202481,0.3100918,-0.7504333,1.227334,0.3473834,-0.777419,1.226692,0.3204951,-0.7547326,1.220241,0.3014571,-0.7458539,1.237628,0.3404282,-0.7957906,1.229321,0.3141917,-0.779927,1.215715,0.2975802,-0.7789265,1.245645,0.3336786,-0.8159851,1.235631,0.3162328,-0.8073977,1.220616,0.3121831,-0.8127753,1.207804,0.3667569,-0.8290843,0.06050055,
1529077225811,1.166797,0.3868045,-0.8288602,1.171828,0.382601,-0.790621,1.182322,0.3690841,-0.7713555,1.203101,0.357745,-0.7689119,1.200591,0.3320338,-0.7539898,1.193225,0.31429,-0.7521263,1.220223,0.3498823,-0.7770858,1.218238,0.3221275,-0.7553693,1.211886,0.3030546,-0.7461703,1.230305,0.3428116,-0.7961019,1.219401,0.316641,-0.7837213,1.203571,0.3026726,-0.786861,1.238271,0.3368784,-0.8159295,1.227048,0.3197417,-0.8084584,1.212083,0.3172058,-0.8145626,1.202277,0.3719441,-0.8280772,0.05908513,
1529077225836,1.164999,0.3900103,-0.828954,1.169854,0.3858761,-0.7905962,1.179705,0.3724332,-0.7708318,1.201142,0.3613853,-0.7682011,1.19861,0.3364707,-0.7524347,1.190523,0.3190908,-0.7506914,1.21778,0.3526232,-0.7765368,1.215389,0.3254729,-0.7543285,1.207708,0.3067324,-0.7457615,1.227359,0.3447945,-0.7955443,1.215703,0.319496,-0.7830998,1.199131,0.3070652,-0.7872891,1.2349,0.3382529,-0.8154451,1.223249,0.3215455,-0.8076715,1.208194,0.3193887,-0.8136615,1.199939,0.374306,-0.8280364,0.05803503,
1529077225876,1.158561,0.3930011,-0.8273004,1.162806,0.3880293,-0.7887876,1.172233,0.3749279,-0.768407,1.195234,0.3657096,-0.7648873,1.196635,0.3421673,-0.746154,1.190912,0.324462,-0.7422258,1.211896,0.3568644,-0.7734503,1.211221,0.3301403,-0.7512058,1.203443,0.3110437,-0.7438538,1.222489,0.3496838,-0.7917662,1.213512,0.3242789,-0.7779408,1.197892,0.3113038,-0.7822623,1.230031,0.3429829,-0.8124525,1.220114,0.3248973,-0.8038661,1.205043,0.3200209,-0.8085173,1.193463,0.378371,-0.8257765,0.05984272,
1529077225926,1.154599,0.392653,-0.8287444,1.153742,0.3823774,-0.7906357,1.159084,0.3675598,-0.7697484,1.189954,0.3681841,-0.7634225,1.195628,0.347579,-0.7410363,1.194545,0.3310261,-0.7315286,1.207224,0.3590279,-0.7708131,1.211213,0.3349996,-0.7450553,1.207659,0.3168182,-0.733622,1.220226,0.3538575,-0.786328,1.220489,0.3316789,-0.7617579,1.212619,0.3145004,-0.7528813,1.226773,0.3435813,-0.8094727,1.219315,0.3240422,-0.7995062,1.205032,0.3154978,-0.8013815,1.189647,0.3803086,-0.8248929,0.06366301,
1529077225956,1.151541,0.3929434,-0.8288831,1.149975,0.3799224,-0.7914615,1.154353,0.3646098,-0.7704391,1.188167,0.3716858,-0.7627693,1.19607,0.3527549,-0.7394509,1.196875,0.3369723,-0.7286162,1.206031,0.3631999,-0.7699135,1.212866,0.3411011,-0.7429434,1.212,0.323731,-0.7295396,1.219535,0.3586004,-0.7853112,1.223778,0.3387897,-0.7587135,1.220438,0.3222707,-0.7454385,1.226164,0.3474346,-0.8086892,1.221043,0.3274917,-0.7977704,1.207565,0.3178304,-0.7988339,1.186962,0.3831223,-0.8245308,0.06573465,
1529077225983,1.148365,0.3935704,-0.8267864,1.147196,0.3809587,-0.7892818,1.151606,0.3657292,-0.7680882,1.186348,0.3746029,-0.7604358,1.195752,0.3572607,-0.7364367,1.197503,0.3423113,-0.7245555,1.204113,0.3656155,-0.7674332,1.212925,0.3455761,-0.7394046,1.213529,0.3293951,-0.7245245,1.217228,0.3600352,-0.7828994,1.223785,0.3423353,-0.7551482,1.223156,0.3274803,-0.7394136,1.223027,0.3475218,-0.8058028,1.218932,0.3280887,-0.7935296,1.205558,0.3188621,-0.7939732,1.183541,0.3834296,-0.8224677,0.06745378,
1529077226010,1.146369,0.3897418,-0.8260083,1.14459,0.374969,-0.7893679,1.14918,0.358965,-0.7686799,1.182157,0.3744414,-0.7575897,1.191483,0.3575546,-0.733294,1.193582,0.3425936,-0.7214491,1.200831,0.3670393,-0.7634953,1.209482,0.3478756,-0.734908,1.210088,0.3316499,-0.7201005,1.215026,0.3624259,-0.7782735,1.221528,0.3457581,-0.749889,1.221156,0.3311282,-0.7339755,1.222785,0.3504418,-0.8004762,1.219094,0.331524,-0.788271,1.206077,0.3214704,-0.7897381,1.181794,0.3831722,-0.8196712,0.06686041,
1529077226036,1.145347,0.3840759,-0.8259225,1.143617,0.3660969,-0.790773,1.149599,0.3491458,-0.7713065,1.176145,0.3737513,-0.754329,1.185092,0.3571278,-0.7299585,1.187352,0.3414005,-0.7192837,1.196441,0.3693474,-0.7586136,1.205116,0.3507146,-0.7299258,1.205796,0.333536,-0.7164261,1.212729,0.36695,-0.7722406,1.219595,0.35051,-0.7440118,1.219202,0.3346219,-0.7296004,1.223614,0.3570333,-0.7930782,1.222007,0.3381533,-0.7805784,1.210956,0.3259143,-0.7826381,1.180001,0.3836911,-0.8161016,0.06474303,
1529077226063,1.147255,0.3803981,-0.8261636,1.148935,0.3581901,-0.793411,1.157837,0.3401788,-0.7760801,1.171285,0.3757722,-0.7514269,1.179827,0.359684,-0.7270643,1.181947,0.3429685,-0.7183219,1.192889,0.3738855,-0.7543252,1.201956,0.3561966,-0.725662,1.202798,0.3380223,-0.7137952,1.21079,0.3726369,-0.7671418,1.218674,0.3561185,-0.7396309,1.21854,0.3387308,-0.7274193,1.223942,0.3650083,-0.7862151,1.22502,0.346898,-0.7725366,1.216232,0.332755,-0.7738518,1.178491,0.3861237,-0.8129044,0.06265049,
