time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529077458789,0.8232816,0.3522821,-0.870518,0.7933269,0.3334673,-0.8521429,0.7801636,0.3153173,-0.8387479,0.8060844,0.3447259,-0.7915429,0.7922312,0.324088,-0.7776545,0.7849367,0.3084691,-0.7839543,0.8222989,0.3351016,-0.784619,0.8032296,0.3134962,-0.768653,0.791343,0.2972126,-0.7747182,0.8437003,0.3262031,-0.7865951,0.8260825,0.3059183,-0.7703069,0.812874,0.2901105,-0.7741075,0.8623765,0.3144815,-0.7963659,0.8488213,0.2977553,-0.7877986,0.8376096,0.2884464,-0.7956537,0.8477164,0.3489431,-0.8377606,0.05542573,
1529077458816,0.823355,0.3539796,-0.8712485,0.7934565,0.3352005,-0.8527324,0.7802852,0.3171241,-0.8392347,0.8061175,0.3467907,-0.7923282,0.7922275,0.3261572,-0.7784196,0.7849377,0.310521,-0.7846702,0.8222823,0.3371652,-0.785427,0.8031208,0.3155436,-0.7694985,0.7912116,0.2992209,-0.7754753,0.8436909,0.3282452,-0.7873669,0.8259945,0.3079286,-0.7711273,0.8127705,0.292089,-0.7748455,0.8624278,0.3165526,-0.7970151,0.8488578,0.2998155,-0.788345,0.8376156,0.2904163,-0.7960484,0.8477577,0.3508531,-0.8385214,0.05515912,
1529077458841,0.8239925,0.3557636,-0.8720033,0.7941763,0.3370879,-0.853265,0.7811592,0.3190381,-0.8396193,0.8066345,0.3490421,-0.7932276,0.7925616,0.3284419,-0.7795503,0.7853266,0.3129067,-0.7860488,0.8227387,0.3394153,-0.7863142,0.8033396,0.3178705,-0.7706418,0.79144,0.3016229,-0.7768361,0.8441849,0.3304523,-0.7881421,0.8263108,0.3102433,-0.7720614,0.8130608,0.294479,-0.7759886,0.8629792,0.3187514,-0.7975855,0.8493536,0.3021621,-0.7886869,0.8380727,0.292738,-0.7962679,0.8483785,0.3527962,-0.8393316,0.05408105,
1529077458870,0.824346,0.3600299,-0.8734621,0.7944604,0.3418038,-0.8544668,0.781741,0.3237766,-0.8406367,0.8065891,0.3538672,-0.7951031,0.7919518,0.3333248,-0.7825474,0.7849699,0.3182497,-0.7902044,0.8226486,0.3441278,-0.7880527,0.8027021,0.3227544,-0.7733353,0.7909086,0.306868,-0.7805404,0.8441559,0.3349263,-0.7896261,0.8258815,0.3149238,-0.7741644,0.8126147,0.299504,-0.7790382,0.8630335,0.3230977,-0.7986742,0.8493083,0.3068252,-0.7894738,0.8379407,0.2975818,-0.7970406,0.8487429,0.3569543,-0.8408082,0.05083691,
1529077458903,0.8257545,0.3634987,-0.8750154,0.7959496,0.3452932,-0.8559,0.7834306,0.3271599,-0.8420877,0.8080456,0.3571118,-0.7969496,0.7931087,0.33651,-0.7853658,0.7863224,0.3218836,-0.7939594,0.8241214,0.3472691,-0.789901,0.8039089,0.3259477,-0.7759538,0.7921867,0.3104193,-0.7839935,0.8456838,0.3377963,-0.7915294,0.8272845,0.317744,-0.7765753,0.8139966,0.3026239,-0.7821388,0.8645342,0.3259346,-0.8005471,0.8508203,0.3097375,-0.7912867,0.8393406,0.3007126,-0.7988886,0.8502452,0.3601356,-0.8425224,0.04850294,
1529077458936,0.8268185,0.3657351,-0.8750526,0.7968688,0.3482568,-0.8554977,0.7841772,0.3303855,-0.8415318,0.809231,0.3601754,-0.7970203,0.7937849,0.3400717,-0.7853391,0.7864943,0.3257851,-0.794017,0.8248244,0.3496861,-0.7901942,0.8039668,0.3290011,-0.7764446,0.7918211,0.3140343,-0.7848178,0.845993,0.339393,-0.7919662,0.826946,0.3198655,-0.7771432,0.8131433,0.3052759,-0.7828366,0.8642353,0.326954,-0.8010948,0.8498513,0.3113027,-0.792114,0.838163,0.3029718,-0.800097,0.851131,0.3617014,-0.8428726,0.04779319,
1529077458962,0.8283075,0.366802,-0.8752065,0.7983793,0.3496803,-0.8553214,0.7857569,0.331931,-0.8411816,0.8108515,0.3621029,-0.7971869,0.7952325,0.3422,-0.7853105,0.7876579,0.3279842,-0.7938482,0.8261651,0.3513585,-0.7904224,0.8050377,0.330956,-0.77667,0.7926781,0.3161811,-0.7850581,0.8471484,0.3407435,-0.7921424,0.8278379,0.3215278,-0.7771752,0.8137677,0.3071195,-0.7826905,0.8650454,0.3279634,-0.8012998,0.8503414,0.312606,-0.7924613,0.838578,0.3045891,-0.800635,0.8525119,0.3627282,-0.8431537,0.04753577,
1529077458989,0.8305255,0.3692479,-0.8760073,0.8008893,0.352055,-0.8557739,0.7885392,0.3341974,-0.8415339,0.8136208,0.3647941,-0.797927,0.7980108,0.3449196,-0.7858084,0.7901308,0.3307419,-0.7941318,0.8287396,0.353846,-0.7913742,0.8075328,0.3335223,-0.7775509,0.7949464,0.3188903,-0.7858611,0.8495564,0.3430505,-0.7932416,0.8301512,0.3239561,-0.7780804,0.8158092,0.3096378,-0.7832478,0.8670611,0.330078,-0.8026806,0.8520924,0.3149004,-0.794185,0.8403223,0.3072706,-0.8026981,0.8547748,0.365087,-0.8442312,0.04755457,
1529077459014,0.831823,0.3709203,-0.8754339,0.8023328,0.3537674,-0.8549779,0.7901576,0.3358483,-0.8406881,0.8153579,0.3667292,-0.7972634,0.7997196,0.3469473,-0.7849975,0.7916304,0.3328871,-0.7932708,0.8302882,0.3556524,-0.7908223,0.8089722,0.335555,-0.7769577,0.7962365,0.3211271,-0.7853543,0.8509378,0.3446437,-0.7928116,0.8313991,0.3257921,-0.7775019,0.8168492,0.3116441,-0.7825495,0.868121,0.3314723,-0.8024263,0.8529298,0.3165612,-0.7940889,0.84115,0.309256,-0.8028477,0.856121,0.3666199,-0.8438352,0.04753248,
1529077459041,0.8339798,0.3735499,-0.8753396,0.8049523,0.3566727,-0.8540313,0.7931538,0.3389225,-0.8392144,0.8192327,0.370583,-0.7967557,0.8038848,0.3509679,-0.7839317,0.7957248,0.3368495,-0.7919539,0.834276,0.3596621,-0.7904702,0.8132617,0.3397902,-0.7760864,0.8005342,0.3253333,-0.7843567,0.8549223,0.3486647,-0.7926915,0.8357037,0.3300751,-0.7767911,0.8211144,0.3158842,-0.7815297,0.8719685,0.3354775,-0.8023162,0.8569908,0.3208035,-0.7931705,0.8450094,0.3132485,-0.8014138,0.8589498,0.369754,-0.8441828,0.04737578,
1529077459068,0.8354981,0.377086,-0.8756966,0.8066263,0.3607065,-0.8538064,0.7949061,0.3432983,-0.8384979,0.821753,0.374922,-0.7970307,0.8065914,0.3552915,-0.7842093,0.7988089,0.3412502,-0.7924925,0.8370355,0.3643637,-0.7907088,0.8162361,0.3445098,-0.7761216,0.8036982,0.3298589,-0.7843271,0.8579005,0.3536227,-0.7928821,0.8389881,0.3351408,-0.7766904,0.8245904,0.3208106,-0.7814466,0.8751264,0.3405323,-0.8023498,0.8604835,0.3258952,-0.7924451,0.8483698,0.3178607,-0.800052,0.8611435,0.3738337,-0.8447229,0.04621603,
1529077459103,0.838215,0.3816821,-0.8755448,0.809462,0.3655632,-0.8533287,0.7979463,0.348182,-0.837907,0.8250759,0.3798118,-0.7967612,0.8098437,0.3604204,-0.7838455,0.8020211,0.3466279,-0.7923069,0.8402593,0.3691441,-0.7905698,0.8193811,0.3496356,-0.776072,0.8068922,0.3352934,-0.7847152,0.861147,0.3582019,-0.7928073,0.8422905,0.3400366,-0.7762592,0.8277235,0.3258574,-0.7808464,0.8781012,0.3449474,-0.8024011,0.8634346,0.3306014,-0.7922404,0.8512245,0.3227103,-0.7997937,0.8640667,0.3782228,-0.8448149,0.04580813,
