time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529077094446,1.123617,0.418247,-0.5812414,1.124101,0.4225336,-0.5424974,1.129302,0.4129599,-0.519053,1.157951,0.4054697,-0.5120963,1.159591,0.3901358,-0.4850335,1.156558,0.3778653,-0.4704588,1.173265,0.3924708,-0.5160698,1.17246,0.3763549,-0.4847739,1.165326,0.363265,-0.4685764,1.182816,0.3795772,-0.5295127,1.177268,0.3648926,-0.5006328,1.166016,0.3527065,-0.4868922,1.188892,0.3633121,-0.5472356,1.180459,0.3502976,-0.5302595,1.16505,0.3443052,-0.5286232,1.156468,0.399012,-0.5737004,0.06584763,
1529077094486,1.117923,0.4358157,-0.5939147,1.118151,0.4410422,-0.5552278,1.123017,0.4322774,-0.5313498,1.149923,0.4239225,-0.5233498,1.152351,0.4096232,-0.4957398,1.149757,0.3977924,-0.4807819,1.165093,0.4103752,-0.5267915,1.164879,0.3946974,-0.4950683,1.158724,0.3819933,-0.4781725,1.174668,0.3975843,-0.5395874,1.168617,0.3834237,-0.5104885,1.157219,0.3714534,-0.4967096,1.181002,0.3808785,-0.5570794,1.171826,0.3678973,-0.5404121,1.156359,0.3618948,-0.5392478,1.149758,0.416536,-0.5849853,0.06679327,
1529077094524,1.114588,0.4595625,-0.6134708,1.114645,0.4648321,-0.5747468,1.117719,0.4560025,-0.5504591,1.144027,0.4454773,-0.5415626,1.148063,0.4331912,-0.5130847,1.145968,0.4227194,-0.4972031,1.156776,0.4293578,-0.5444384,1.158103,0.415343,-0.5115451,1.155117,0.4049862,-0.4922031,1.164691,0.414921,-0.5568022,1.158848,0.4019234,-0.5267144,1.148044,0.3915981,-0.5112314,1.170318,0.39761,-0.5737404,1.162714,0.385054,-0.5545475,1.148235,0.3789892,-0.5497124,1.142856,0.4366232,-0.6032951,0.06886194,
1529077094561,1.11462,0.4684243,-0.6213528,1.114611,0.4743882,-0.5827117,1.1169,0.4661301,-0.5580424,1.143739,0.4545943,-0.5490313,1.148686,0.4434502,-0.5201842,1.147257,0.43392,-0.5036484,1.155726,0.437369,-0.5515295,1.158122,0.4241607,-0.5183334,1.156372,0.4146699,-0.4983936,1.162086,0.4221144,-0.5634513,1.156401,0.4100849,-0.5327796,1.147844,0.4010013,-0.5149411,1.167122,0.4042629,-0.5799421,1.159914,0.3923751,-0.5599647,1.145879,0.3864418,-0.5533755,1.141457,0.4441661,-0.6105204,0.07012671,
1529077094581,1.108661,0.4800152,-0.6346194,1.107936,0.4863003,-0.5960227,1.109649,0.4783698,-0.5711602,1.137959,0.4681584,-0.5618684,1.143905,0.4583346,-0.5327125,1.142999,0.4494929,-0.5157797,1.149956,0.450487,-0.5639035,1.153575,0.4382972,-0.5304109,1.152877,0.4295119,-0.510058,1.155071,0.43501,-0.5752832,1.149199,0.4242848,-0.5440246,1.141604,0.4162546,-0.5252348,1.160891,0.4165559,-0.5913563,1.154724,0.4050631,-0.5704782,1.141572,0.3988005,-0.5623716,1.13533,0.4559512,-0.6231064,0.07080314,
1529077094605,1.098889,0.4854774,-0.6485124,1.0951,0.4921578,-0.6100577,1.095639,0.4849357,-0.5849551,1.127972,0.481362,-0.57494,1.13473,0.4738774,-0.5452552,1.135033,0.4664263,-0.527566,1.141207,0.4646745,-0.5753641,1.145395,0.4551864,-0.5411478,1.144081,0.4473581,-0.5204943,1.146246,0.4489421,-0.5854275,1.140455,0.4410321,-0.5530832,1.134141,0.4348906,-0.5331571,1.153585,0.4294968,-0.6001565,1.146137,0.4192434,-0.5794692,1.132049,0.4132679,-0.5730361,1.127384,0.46509,-0.6351241,0.0720273,
1529077094632,1.08929,0.4831512,-0.6652843,1.08154,0.4870308,-0.6268759,1.082066,0.4801027,-0.6015096,1.116955,0.4945891,-0.5920278,1.124095,0.4903042,-0.5618405,1.125689,0.4842555,-0.5435725,1.133657,0.4819907,-0.5907619,1.137722,0.4758711,-0.5559601,1.135709,0.4683167,-0.5352968,1.143572,0.4681923,-0.5992107,1.139376,0.4630515,-0.5661882,1.133713,0.4574836,-0.5459046,1.154283,0.4500149,-0.6119442,1.147305,0.4414902,-0.5908408,1.133809,0.4333823,-0.5867392,1.12231,0.4735488,-0.650497,0.07264233,
1529077094659,1.088622,0.4761144,-0.6736947,1.081538,0.4754555,-0.6347685,1.083197,0.4675368,-0.6096388,1.113333,0.4980111,-0.6022729,1.119574,0.4939137,-0.5721734,1.120684,0.4872657,-0.5540171,1.131142,0.4879611,-0.6003829,1.133979,0.4825616,-0.5657335,1.130121,0.4734017,-0.5461045,1.145171,0.4770027,-0.6082079,1.143271,0.4742079,-0.5752226,1.136399,0.4668936,-0.5560488,1.155586,0.4582527,-0.6198897,1.149405,0.4504802,-0.598074,1.13715,0.4410771,-0.5927373,1.121338,0.4757961,-0.6596327,0.06991584,
1529077094696,1.089618,0.476854,-0.6845856,1.088101,0.472131,-0.6452704,1.092463,0.4629996,-0.6205783,1.111153,0.5048882,-0.6150122,1.11529,0.4994887,-0.5854635,1.113361,0.4895789,-0.5690078,1.129354,0.4955295,-0.6132114,1.130524,0.489791,-0.5791398,1.124161,0.4787158,-0.5614296,1.145324,0.4856015,-0.621254,1.144703,0.4839909,-0.5887632,1.136862,0.4753591,-0.57083,1.156006,0.4679796,-0.6320524,1.152119,0.4636227,-0.608901,1.140769,0.4547035,-0.6014587,1.1194,0.4815515,-0.671959,0.06166601,
1529077094726,1.083835,0.4794226,-0.6983068,1.082236,0.4711141,-0.6595233,1.086512,0.4601027,-0.6355889,1.10504,0.5093925,-0.6283352,1.10816,0.5034995,-0.5990075,1.104566,0.492213,-0.5839299,1.123084,0.5000296,-0.6264991,1.123115,0.4942423,-0.59269,1.115221,0.482476,-0.5763322,1.139742,0.4898513,-0.6346593,1.139384,0.4883189,-0.6023611,1.130926,0.4792311,-0.5851381,1.150089,0.4722736,-0.6453676,1.146983,0.4688463,-0.6216251,1.136171,0.4605592,-0.6127301,1.113486,0.4859987,-0.6853745,0.06344809,
