time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528811577203,0.7483337,0.4797432,-0.6672211,0.7615234,0.4986781,-0.6369109,0.7716728,0.5112754,-0.6178833,0.7441832,0.4572316,-0.5906744,0.7413251,0.4564975,-0.5616981,0.7377845,0.4581523,-0.5442202,0.7196844,0.4610826,-0.6062297,0.7076084,0.4826893,-0.6130079,0.7089342,0.4853154,-0.6321405,0.7057751,0.4479107,-0.6145304,0.6964372,0.4694103,-0.6213486,0.6992953,0.473455,-0.6398976,0.6937925,0.4375345,-0.6233009,0.6887354,0.4551153,-0.6266153,0.6911051,0.4579751,-0.6413665,0.7277123,0.4482573,-0.6493117,0.09693678,
1528811577231,0.7363884,0.4807185,-0.6694759,0.7492903,0.5005766,-0.6396437,0.759526,0.5138788,-0.6211669,0.7336156,0.4584794,-0.5927042,0.730297,0.4583053,-0.5638193,0.7258459,0.460775,-0.5466802,0.7091062,0.4608313,-0.6081769,0.6955345,0.4821857,-0.6148542,0.6959879,0.4856087,-0.6339534,0.6957304,0.4468243,-0.6162717,0.6851541,0.4681104,-0.6229984,0.687683,0.4730653,-0.6414412,0.6842234,0.4357491,-0.6246894,0.6782589,0.4531958,-0.627772,0.6806939,0.4566455,-0.6423853,0.7174613,0.4482154,-0.6511493,0.09748148,
1528811577244,0.7280627,0.4793379,-0.6740756,0.7409457,0.4995319,-0.6444631,0.7511551,0.5131471,-0.6261991,0.7273727,0.4571506,-0.5973281,0.7239755,0.4571633,-0.5684856,0.7190861,0.4598895,-0.5515174,0.7027557,0.4582183,-0.6126614,0.6881586,0.4787158,-0.6195116,0.6883767,0.4817814,-0.6386862,0.6899687,0.4434889,-0.620257,0.6783839,0.4640208,-0.6269331,0.6806159,0.4687081,-0.6454821,0.6788791,0.4317964,-0.6282938,0.6720043,0.4487835,-0.6311857,0.6740338,0.4521061,-0.6458783,0.7106968,0.4461257,-0.6554569,0.09717076,
1528811577259,0.7214398,0.4789929,-0.6755075,0.7341374,0.4995894,-0.6460885,0.7440739,0.5134709,-0.6278678,0.7211174,0.4580045,-0.5986054,0.7168076,0.458934,-0.5699428,0.7111397,0.4623187,-0.5533292,0.696947,0.4581811,-0.6141606,0.682201,0.4779862,-0.6217242,0.6827568,0.4801936,-0.6410207,0.6844822,0.4431728,-0.6215686,0.6727902,0.4631168,-0.6290319,0.6753114,0.466896,-0.6477395,0.6735193,0.4310732,-0.6291244,0.6664485,0.4477747,-0.6324006,0.6686775,0.4506528,-0.6471463,0.7050749,0.4456083,-0.6564806,0.09621438,
1528811577285,0.7105221,0.477006,-0.6800746,0.7228406,0.4982587,-0.6509622,0.7326117,0.5125656,-0.6329867,0.7090561,0.458119,-0.6027853,0.703654,0.4602239,-0.5744029,0.6971867,0.4644329,-0.5582604,0.6854512,0.457599,-0.6185294,0.6707466,0.4771228,-0.6266959,0.6715347,0.478842,-0.6460454,0.6731464,0.4424698,-0.6261015,0.6616279,0.4621221,-0.6345713,0.6645594,0.4651908,-0.6533486,0.6622459,0.4301011,-0.6333366,0.6552876,0.4466982,-0.6372923,0.6579919,0.449157,-0.6520346,0.6942013,0.4438682,-0.6604928,0.09568541,
1528811577312,0.7015697,0.4728119,-0.6848499,0.712394,0.4930403,-0.654435,0.7194602,0.5063068,-0.6344489,0.6967727,0.452222,-0.6081744,0.6880137,0.4559232,-0.5813236,0.6781642,0.4628281,-0.568228,0.6745664,0.4516347,-0.623321,0.6598544,0.4720703,-0.6299484,0.6602475,0.4754981,-0.6491197,0.6623724,0.4374066,-0.6332413,0.6514434,0.4573458,-0.6421571,0.6546586,0.4602354,-0.6609129,0.6512194,0.4252787,-0.6408745,0.6449182,0.4421721,-0.6448405,0.6486784,0.4449296,-0.6592767,0.6839516,0.439581,-0.6664473,0.08933619,
1528811577346,0.686093,0.4718254,-0.6911322,0.6957716,0.4919691,-0.6602931,0.7017372,0.5050933,-0.6398551,0.6799519,0.4499601,-0.6150259,0.6689653,0.4549237,-0.5898238,0.6570967,0.4640193,-0.5806357,0.6590325,0.4493723,-0.6296575,0.6440755,0.4702418,-0.6352814,0.6433293,0.474386,-0.6543168,0.6466032,0.4355311,-0.6412802,0.6362966,0.4557059,-0.6507407,0.6401985,0.4586798,-0.6693602,0.6352432,0.4235426,-0.6489677,0.6296575,0.4407811,-0.6529568,0.6348017,0.4441568,-0.6668588,0.6686842,0.4379402,-0.6734403,0.0847749,
1528811577378,0.6687506,0.4734229,-0.6984342,0.6760568,0.4918041,-0.6659149,0.6799662,0.5035685,-0.6441857,0.6633725,0.446112,-0.6241109,0.6512021,0.4490466,-0.5997571,0.638398,0.4581913,-0.5933363,0.6428142,0.446742,-0.6400699,0.6273508,0.4674502,-0.6460339,0.6267316,0.4721649,-0.6650209,0.6309448,0.4328692,-0.6518765,0.6204826,0.4534884,-0.6606059,0.6250849,0.4581064,-0.6787784,0.6198616,0.4209099,-0.6601255,0.6143632,0.4384322,-0.6630003,0.6209072,0.4434561,-0.6758301,0.6529065,0.4381125,-0.683094,0.07982894,
1528811577396,0.662402,0.4730732,-0.6999907,0.6674244,0.4909863,-0.6668177,0.6693529,0.5022647,-0.6445642,0.6547344,0.4443531,-0.6264987,0.6412864,0.447596,-0.603297,0.6283695,0.4574223,-0.5991154,0.6349327,0.4453546,-0.6432204,0.6199672,0.4662024,-0.6495568,0.6202145,0.4710203,-0.6685363,0.6233427,0.4317498,-0.6554775,0.6134108,0.4524942,-0.6641595,0.6187648,0.4572191,-0.6820974,0.6123129,0.4199741,-0.6643668,0.6073093,0.4375686,-0.6668743,0.6150194,0.442911,-0.6789201,0.646456,0.4370876,-0.6859303,0.07586882,
1528811577419,0.6505659,0.4730526,-0.7041992,0.6553555,0.4886436,-0.6698457,0.656,0.4979101,-0.6466191,0.644105,0.439876,-0.632668,0.6308976,0.441534,-0.6092786,0.6180949,0.4512085,-0.6043564,0.6241307,0.4425289,-0.649242,0.6094366,0.4638882,-0.6544847,0.6096689,0.4696135,-0.6731992,0.6121982,0.4296895,-0.6617458,0.6023374,0.4510706,-0.6689507,0.6074263,0.4568705,-0.686637,0.600929,0.4185929,-0.6711236,0.5959624,0.4363406,-0.6725138,0.6032566,0.4423099,-0.6845227,0.6348406,0.4367625,-0.6921955,0.07351176,
