time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528811618059,0.789668,0.5080777,-0.6555506,0.8013829,0.529627,-0.6264374,0.8128545,0.5428162,-0.6088479,0.7802321,0.4955927,-0.5783411,0.7808272,0.4924927,-0.5497615,0.7788208,0.4958383,-0.5323461,0.7585232,0.4836149,-0.5776839,0.7532321,0.4787198,-0.5458075,0.7478929,0.4825417,-0.5264808,0.7369924,0.4839866,-0.5869339,0.7265555,0.496353,-0.5620718,0.7198964,0.5130121,-0.5537593,0.7206435,0.488214,-0.6072178,0.7151773,0.5086766,-0.601931,0.7170788,0.5227394,-0.6084743,0.7622925,0.4869038,-0.636207,0.09600899,
1528811618085,0.7810516,0.5077829,-0.6586528,0.7935328,0.5282897,-0.6291171,0.8055314,0.5406682,-0.6113276,0.7705466,0.4949316,-0.5814632,0.7703488,0.4925368,-0.5527544,0.7681792,0.4960239,-0.5353702,0.7487612,0.4841021,-0.5809369,0.7430371,0.4811935,-0.5489373,0.7377381,0.4865668,-0.5299937,0.7277691,0.4853756,-0.5907927,0.7182902,0.499266,-0.5661017,0.7125305,0.5162283,-0.5576124,0.7117556,0.4896432,-0.6113904,0.7075404,0.510629,-0.6065359,0.7099916,0.5246488,-0.6130894,0.7529199,0.4870428,-0.6397529,0.09569665,
1528811618112,0.7706079,0.5056605,-0.6623611,0.7836432,0.5252746,-0.6324536,0.7959455,0.5370324,-0.6144654,0.7592597,0.4928923,-0.585216,0.7586446,0.4907629,-0.5563315,0.7567054,0.4933651,-0.5387325,0.737757,0.482837,-0.5847169,0.7321556,0.4812745,-0.5524547,0.7272441,0.4869071,-0.5334727,0.7171782,0.4844902,-0.5951561,0.7084728,0.4994963,-0.5703743,0.703209,0.5162988,-0.5611752,0.7015043,0.4885585,-0.6163425,0.6982851,0.5101621,-0.6123213,0.7008928,0.5242342,-0.6188481,0.741982,0.4851794,-0.6438045,0.09582316,
1528811618148,0.7600103,0.5036245,-0.666665,0.773631,0.5220352,-0.636252,0.7861958,0.5330625,-0.6179814,0.7480879,0.4902866,-0.5897586,0.7472709,0.4877858,-0.5608051,0.7454883,0.4893843,-0.5430648,0.7270409,0.4802628,-0.5893664,0.7217959,0.4783924,-0.5568817,0.7172731,0.4829404,-0.5374978,0.7067067,0.4818994,-0.5999827,0.6984333,0.4966045,-0.5744796,0.693239,0.5126264,-0.5639006,0.6911995,0.4861721,-0.6217521,0.6884233,0.5081652,-0.6181996,0.6908352,0.5224099,-0.6245102,0.7310891,0.4830531,-0.6485468,0.09579866,
1528811618166,0.7534608,0.5023028,-0.6699971,0.7674015,0.5200411,-0.6393211,0.7800415,0.5307199,-0.6208987,0.7417524,0.4886788,-0.5931906,0.7409484,0.4860476,-0.5642174,0.7392036,0.4873601,-0.5464566,0.7210953,0.4782851,-0.5927504,0.7162679,0.4758756,-0.560145,0.7120515,0.4794568,-0.5404655,0.7008011,0.4796241,-0.6032353,0.6927302,0.4936366,-0.577051,0.6874121,0.5087438,-0.565143,0.6852005,0.4839505,-0.6251137,0.6823925,0.5060313,-0.6216183,0.6844443,0.5203797,-0.6278539,0.7246427,0.4815205,-0.65197,0.09533851,
1528811618193,0.7414384,0.5038638,-0.6741606,0.7553698,0.5209888,-0.6431282,0.767801,0.5313714,-0.6243781,0.728956,0.4902542,-0.5975553,0.7278309,0.4876197,-0.568575,0.7259101,0.4887914,-0.5508277,0.7086542,0.479432,-0.5973146,0.7039107,0.4763274,-0.5646757,0.6998432,0.4788065,-0.5447773,0.688549,0.4804404,-0.6078222,0.6804938,0.4935457,-0.5809908,0.6750495,0.5076423,-0.56791,0.6730931,0.4850182,-0.630105,0.6703096,0.5071746,-0.6268573,0.67221,0.5214766,-0.633242,0.7124509,0.4830081,-0.6565015,0.09475,
1528811618221,0.7312685,0.5035744,-0.6789104,0.7454576,0.5196346,-0.6474212,0.7578154,0.5294271,-0.6282778,0.7182503,0.4892446,-0.602598,0.7169444,0.4863707,-0.5736318,0.7149814,0.4872061,-0.5558666,0.6982651,0.4780446,-0.6026053,0.6938205,0.4738227,-0.5699744,0.690093,0.4748775,-0.5498571,0.6783469,0.4789636,-0.6130173,0.6706491,0.490805,-0.5853406,0.6653354,0.5036944,-0.5709851,0.6629071,0.4841899,-0.6356284,0.6603003,0.5064127,-0.6323681,0.6620634,0.5207629,-0.6386994,0.7020035,0.482699,-0.6617349,0.09413154,
1528811618246,0.725177,0.5029768,-0.6820244,0.7394086,0.5184382,-0.6502533,0.7516627,0.5278696,-0.6308446,0.7112964,0.4883918,-0.6059242,0.7096598,0.4856694,-0.5769687,0.7074599,0.4867346,-0.5592491,0.691328,0.4771891,-0.606194,0.6867192,0.472691,-0.573607,0.6829801,0.4733195,-0.553466,0.6715968,0.4782935,-0.6167529,0.6639887,0.4899332,-0.5889452,0.6587777,0.5026805,-0.5744468,0.6563345,0.4838281,-0.6395679,0.6539743,0.5060768,-0.6363434,0.6558963,0.520379,-0.6427299,0.6955127,0.4823094,-0.6652719,0.09365838,
1528811618273,0.7177747,0.5037501,-0.6847943,0.7322693,0.5183939,-0.6527553,0.7445108,0.5273382,-0.6330792,0.7032158,0.4889345,-0.6088892,0.7013571,0.486531,-0.5799252,0.6990409,0.4878192,-0.5622302,0.6833102,0.4777427,-0.6093673,0.6787386,0.4730962,-0.5767727,0.6751398,0.4732788,-0.5565846,0.663769,0.4788941,-0.6200235,0.6564729,0.4902928,-0.5920215,0.6514845,0.5029155,-0.5773501,0.6485027,0.4847754,-0.6429205,0.6463901,0.5069947,-0.6396167,0.6484768,0.5212258,-0.6460924,0.6876994,0.483228,-0.6684243,0.0929991,
1528811618300,0.7067863,0.5056508,-0.6891762,0.7212303,0.5194722,-0.6567498,0.7332512,0.5279022,-0.6366854,0.6907995,0.4904012,-0.6136342,0.6885737,0.4882192,-0.5846881,0.6860569,0.4897658,-0.5670419,0.6708013,0.4795204,-0.6145338,0.6659741,0.4748673,-0.5819713,0.662313,0.4749343,-0.5617894,0.6513768,0.4810731,-0.6255521,0.6440539,0.4925829,-0.597638,0.6391973,0.5054623,-0.5831652,0.6364484,0.4873999,-0.6485825,0.6347142,0.5095955,-0.6450626,0.6371933,0.5238314,-0.651392,0.6760032,0.4855323,-0.6735122,0.0923683,
