time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529066616275,1.431436,0.2942461,-0.9281486,1.416638,0.3151709,-0.9000669,1.398143,0.3215802,-0.8831437,1.429796,0.3151176,-0.8711138,1.412789,0.3290218,-0.8814553,1.411083,0.3241451,-0.8985727,1.41694,0.3033335,-0.8693156,1.402153,0.3203924,-0.8849829,1.403203,0.314939,-0.9048608,1.404311,0.2870954,-0.8705995,1.39215,0.304922,-0.8857208,1.394391,0.3019955,-0.9057814,1.393571,0.2732264,-0.8739338,1.386206,0.2893564,-0.8840513,1.387866,0.2871436,-0.8998291,1.426537,0.274429,-0.9034179,0.02030002,
1529066616301,1.413489,0.2978694,-0.9418929,1.397874,0.3155011,-0.9120981,1.379394,0.3184153,-0.8944257,1.414587,0.3152704,-0.8837435,1.396129,0.3278062,-0.8924226,1.393417,0.3228233,-0.9095547,1.402686,0.3020846,-0.8812026,1.385406,0.3190111,-0.8943593,1.385122,0.3154236,-0.9148132,1.391661,0.2851391,-0.8828248,1.376876,0.3024949,-0.8955662,1.376989,0.3002226,-0.915884,1.381535,0.27032,-0.8864835,1.372407,0.2861764,-0.8947604,1.373547,0.2851002,-0.9108114,1.412053,0.276581,-0.9181563,0.02109441,
1529066616328,1.396448,0.3109559,-0.9524062,1.380394,0.329061,-0.9231162,1.361289,0.3329259,-0.9063002,1.396665,0.3280416,-0.8919026,1.379304,0.3429909,-0.8988199,1.376841,0.3404313,-0.9163525,1.38402,0.3160889,-0.8890992,1.367521,0.336003,-0.8992468,1.366167,0.3346786,-0.9196275,1.37096,0.2992189,-0.8917263,1.357135,0.3192279,-0.9017718,1.358268,0.3203262,-0.9219049,1.359679,0.285048,-0.8969268,1.351792,0.3023899,-0.9032743,1.355433,0.303936,-0.9187523,1.393236,0.2895243,-0.9288565,0.01998136,
1529066616354,1.374485,0.3285771,-0.9598836,1.35875,0.3466704,-0.9303505,1.339935,0.3501932,-0.9133505,1.378056,0.3459916,-0.8988215,1.360966,0.3607284,-0.9046691,1.358246,0.3581992,-0.9223211,1.365639,0.3343258,-0.8950726,1.349131,0.3542737,-0.9036744,1.346786,0.3530634,-0.9240804,1.352224,0.3174716,-0.8968679,1.33812,0.3375383,-0.9051977,1.338169,0.33879,-0.9253459,1.340012,0.3030471,-0.9017482,1.331531,0.3207218,-0.9065415,1.334809,0.3236136,-0.9218302,1.372561,0.3076396,-0.9360108,0.02190576,
1529066616382,1.3423,0.3477525,-0.9711285,1.3294,0.365411,-0.9399024,1.313691,0.3679452,-0.9197172,1.350558,0.3683769,-0.9095796,1.329818,0.3813744,-0.9101645,1.322222,0.378505,-0.9257526,1.340386,0.3537676,-0.9036824,1.319051,0.3710627,-0.9075317,1.312478,0.3703659,-0.9269269,1.330043,0.3347084,-0.9043474,1.311408,0.3515225,-0.9097784,1.307701,0.3520491,-0.9296712,1.320307,0.3181887,-0.9078631,1.3084,0.3332012,-0.9115389,1.308639,0.3346133,-0.9274446,1.346268,0.3271242,-0.9467618,0.01485609,
1529066616408,1.330607,0.3517899,-0.9774429,1.318775,0.371853,-0.9474975,1.303948,0.3748912,-0.9268053,1.339807,0.3771772,-0.9154001,1.318169,0.3910808,-0.9117865,1.307071,0.3887587,-0.9244435,1.331033,0.3619323,-0.9078676,1.308111,0.3789594,-0.9082584,1.298105,0.3778608,-0.925676,1.321868,0.3417667,-0.9072825,1.301451,0.3573406,-0.9105944,1.294896,0.3566695,-0.9295754,1.313088,0.3239435,-0.9098477,1.299741,0.3375964,-0.9127403,1.298193,0.3376384,-0.9285636,1.336107,0.3323166,-0.9514037,0.01440958,
1529066616444,1.319383,0.3508275,-0.9846724,1.309239,0.3746048,-0.9571841,1.296331,0.3793463,-0.9355536,1.332639,0.3801718,-0.9207167,1.312532,0.394803,-0.9097303,1.296662,0.3950045,-0.91702,1.326589,0.3645776,-0.9107783,1.303615,0.382042,-0.9030308,1.288019,0.3830077,-0.9156302,1.319272,0.3434919,-0.9084113,1.297838,0.3581553,-0.9056489,1.286594,0.3574978,-0.9220823,1.311406,0.3244144,-0.9102626,1.2968,0.3366267,-0.9100685,1.292656,0.3353049,-0.9249663,1.328158,0.3322233,-0.9563167,0.02426479,
1529066616474,1.307505,0.3486245,-0.9849727,1.298354,0.3741902,-0.9585162,1.288701,0.3819161,-0.9355191,1.327836,0.3791,-0.92159,1.308556,0.3902409,-0.9067627,1.291622,0.3882541,-0.9115297,1.325755,0.3630186,-0.9107625,1.302719,0.3766035,-0.8986228,1.285099,0.3754445,-0.9087048,1.322633,0.3415834,-0.9070777,1.30048,0.3541161,-0.8981469,1.284791,0.3534201,-0.910616,1.317196,0.3218886,-0.907993,1.300774,0.3335234,-0.9026461,1.296061,0.3312525,-0.9132905,1.323706,0.3308101,-0.956853,0.02498393,
1529066616501,1.301813,0.3424628,-0.9799429,1.294182,0.3690572,-0.9535981,1.28732,0.3794449,-0.9304439,1.326594,0.3733127,-0.9189237,1.307328,0.381785,-0.9023302,1.289934,0.3778928,-0.9050623,1.327373,0.3571025,-0.9086267,1.303748,0.3675712,-0.8947622,1.285429,0.3640577,-0.9032974,1.32732,0.3351687,-0.9046597,1.305004,0.3443505,-0.8942465,1.288701,0.341566,-0.9060342,1.32453,0.3154486,-0.9050158,1.307909,0.325201,-0.897631,1.302116,0.3224009,-0.9078543,1.323192,0.3254662,-0.9538673,0.02556304,
1529066616527,1.298377,0.3330062,-0.9750955,1.292691,0.3618758,-0.9502772,1.288682,0.3749469,-0.927929,1.327043,0.3633936,-0.9161605,1.308342,0.3677117,-0.8979495,1.291683,0.3608189,-0.8998927,1.331319,0.347156,-0.9068683,1.307929,0.3530074,-0.8909311,1.289929,0.3466503,-0.8986248,1.334967,0.3256974,-0.9037199,1.313042,0.3311815,-0.8909934,1.296772,0.3260607,-0.9017614,1.334858,0.3059367,-0.9042431,1.318384,0.312759,-0.895373,1.311281,0.3090553,-0.9059749,1.325211,0.3168283,-0.9516565,0.03153794,
