time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529066324896,1.17766,0.3622522,-0.9015002,1.167198,0.3721376,-0.865705,1.166062,0.376478,-0.8396573,1.186823,0.4168028,-0.8543751,1.182875,0.4131338,-0.8247415,1.179026,0.4030452,-0.8092156,1.204432,0.4138068,-0.8508161,1.195374,0.4090153,-0.8181843,1.187386,0.3971918,-0.8019202,1.225132,0.4062214,-0.8537287,1.217666,0.40386,-0.8222517,1.209485,0.3944119,-0.8050371,1.243399,0.3944845,-0.8579832,1.239751,0.3947505,-0.8335304,1.232829,0.3893524,-0.8191185,1.208369,0.3823752,-0.8965402,0.04243321,
1529066324934,1.172583,0.3620809,-0.9047786,1.161074,0.3726774,-0.8695174,1.159059,0.3773962,-0.8435782,1.180965,0.4163132,-0.8573823,1.176085,0.4129757,-0.8277655,1.171617,0.4034323,-0.812036,1.198366,0.4130452,-0.8531534,1.188231,0.4086316,-0.8207106,1.179558,0.3973742,-0.8043521,1.218921,0.4050487,-0.8552971,1.210375,0.4030185,-0.8239651,1.201599,0.3942332,-0.8066559,1.236973,0.392979,-0.85885,1.232315,0.3933204,-0.8345059,1.224879,0.3882418,-0.8202251,1.203098,0.381763,-0.8989429,0.04278429,
1529066324976,1.15399,0.3689117,-0.8969997,1.141744,0.3808657,-0.8623129,1.137672,0.3872953,-0.8368735,1.163601,0.4228315,-0.8493553,1.159427,0.4201668,-0.8194847,1.155532,0.4111573,-0.8032997,1.181506,0.4200794,-0.8456649,1.172637,0.4167119,-0.8126563,1.164745,0.4062178,-0.7953935,1.202097,0.4121522,-0.8484828,1.194858,0.4110179,-0.8166878,1.186956,0.4028401,-0.7986978,1.220147,0.4000068,-0.8526055,1.21648,0.400671,-0.8280617,1.209608,0.3955914,-0.8135647,1.185313,0.3879021,-0.8913066,0.0448952,
1529066325015,1.14687,0.3670924,-0.8987104,1.132986,0.3794706,-0.8647311,1.126782,0.3864762,-0.8398434,1.157289,0.4204212,-0.8493851,1.15206,0.4183962,-0.8198506,1.147343,0.4087768,-0.8043475,1.175553,0.4175756,-0.8454016,1.166202,0.4157106,-0.8126498,1.157587,0.405162,-0.7958877,1.196301,0.4088989,-0.8480102,1.189121,0.4090356,-0.8163735,1.180636,0.4008099,-0.7987974,1.214216,0.395984,-0.8520996,1.210933,0.3974824,-0.8276981,1.20354,0.3922539,-0.8136449,1.179103,0.3846384,-0.891562,0.04669089,
1529066325083,1.137462,0.3653101,-0.9010049,1.121266,0.3781629,-0.8681494,1.112655,0.3858436,-0.844193,1.147734,0.4195347,-0.8507739,1.141564,0.4193933,-0.8215507,1.136296,0.4099098,-0.8062656,1.166526,0.4170316,-0.8465458,1.156992,0.4180375,-0.8139566,1.148007,0.4082379,-0.7971168,1.187621,0.4077202,-0.8488195,1.180803,0.4099805,-0.817335,1.17212,0.4023178,-0.7997211,1.205497,0.394069,-0.8526965,1.202659,0.3967403,-0.8284631,1.195143,0.3917824,-0.8144422,1.170301,0.3822771,-0.892626,0.05075979,
1529066325120,1.126399,0.3713458,-0.8978673,1.110174,0.3835112,-0.8647336,1.100903,0.3909537,-0.8409301,1.137771,0.4255089,-0.8467689,1.131242,0.4262551,-0.8177451,1.125644,0.4168918,-0.802547,1.15695,0.4226301,-0.8426999,1.147671,0.4248587,-0.8101594,1.13853,0.415519,-0.793209,1.178148,0.412582,-0.8451918,1.172018,0.4154438,-0.8137119,1.163346,0.4079033,-0.7960932,1.195889,0.3981702,-0.8494048,1.193956,0.4008526,-0.8251468,1.186637,0.3959225,-0.8110238,1.15969,0.3877103,-0.8893466,0.05251826,
1529066325161,1.112493,0.3802772,-0.891511,1.096658,0.3907966,-0.8576362,1.087812,0.3970037,-0.8333292,1.124042,0.4347799,-0.8397489,1.117197,0.4361886,-0.8109729,1.111389,0.4267041,-0.7959893,1.143587,0.4317863,-0.8358194,1.134495,0.4349066,-0.8034239,1.125264,0.4256568,-0.7865492,1.165098,0.4212934,-0.8384874,1.159648,0.4244311,-0.8070843,1.150982,0.4165547,-0.789696,1.182979,0.4062065,-0.8430023,1.182045,0.4084635,-0.8187647,1.174846,0.4030988,-0.8047851,1.145823,0.3967549,-0.8829496,0.05321864,
1529066325200,1.107647,0.3818257,-0.8919606,1.092014,0.3912733,-0.8576933,1.083652,0.3964965,-0.8329995,1.120636,0.4354869,-0.8388904,1.113983,0.4371883,-0.8100997,1.108036,0.4278611,-0.7950804,1.140219,0.4320075,-0.8351316,1.13146,0.4352716,-0.8027201,1.122121,0.4260687,-0.785884,1.161693,0.4210498,-0.8381349,1.156825,0.424098,-0.806689,1.148176,0.4161348,-0.7893557,1.179483,0.4053783,-0.8431053,1.179377,0.4071192,-0.8188574,1.172341,0.4015404,-0.8048946,1.141479,0.3976307,-0.8830542,0.0549197,
1529066325253,1.101063,0.3832195,-0.8907535,1.085997,0.3915419,-0.8559701,1.078622,0.3957084,-0.8307945,1.115151,0.4368578,-0.8375005,1.108583,0.4381416,-0.8088396,1.102791,0.4282381,-0.7941148,1.134807,0.4331799,-0.8342045,1.126125,0.4356584,-0.8018931,1.116897,0.4256768,-0.7854096,1.156439,0.4221527,-0.8377444,1.151814,0.4242278,-0.8063765,1.143182,0.4153101,-0.7895082,1.174315,0.4063499,-0.8432817,1.174468,0.4070743,-0.8191451,1.167218,0.4006417,-0.8056927,1.135382,0.399315,-0.8824392,0.05466013,
1529066325280,1.097017,0.3842599,-0.8915962,1.081782,0.3926386,-0.8568998,1.074304,0.3968957,-0.8317691,1.110747,0.4382118,-0.838626,1.103989,0.439443,-0.8100085,1.098312,0.429458,-0.7952961,1.130525,0.4347867,-0.8354394,1.121741,0.4372205,-0.8031491,1.112657,0.4271396,-0.786646,1.152336,0.4240099,-0.8390499,1.147668,0.4260509,-0.8077111,1.139147,0.4169801,-0.7908658,1.170465,0.40836,-0.8446276,1.170665,0.4090484,-0.8205209,1.163476,0.4024765,-0.807097,1.131401,0.4007571,-0.8835,0.05446984,
