time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074519128,1.112101,0.3829057,-0.8884713,1.103849,0.3628639,-0.8562658,1.106297,0.3464676,-0.8376983,1.125922,0.3960633,-0.8117214,1.123674,0.3796909,-0.7889559,1.119104,0.3633988,-0.7830801,1.145411,0.3902493,-0.8112476,1.140094,0.3726205,-0.7847419,1.132078,0.35543,-0.7770499,1.165652,0.3833757,-0.8207727,1.161337,0.3664296,-0.7959411,1.152844,0.349857,-0.7884091,1.181431,0.3726599,-0.8348707,1.177729,0.3580133,-0.8178918,1.168148,0.3460033,-0.8157768,1.144183,0.3930385,-0.870285,0.05859898,
1529074519155,1.101433,0.3856017,-0.8929906,1.09218,0.3651569,-0.8613927,1.094094,0.3480416,-0.8434178,1.115376,0.3957643,-0.8159483,1.11198,0.3786975,-0.7939305,1.106395,0.3624317,-0.7891642,1.134407,0.3889853,-0.8155109,1.127659,0.3707983,-0.7898139,1.118467,0.3537841,-0.7834285,1.154323,0.3811733,-0.8251602,1.148637,0.3635261,-0.801152,1.139004,0.3471819,-0.7948224,1.169938,0.3702403,-0.8393477,1.16569,0.3553755,-0.8225096,1.155709,0.3437361,-0.8202475,1.133897,0.3934922,-0.8744044,0.05746169,
1529074519195,1.080282,0.3901894,-0.9030026,1.072486,0.3681857,-0.8723314,1.076314,0.3496923,-0.8563061,1.094244,0.3960944,-0.8260545,1.090542,0.3779837,-0.8047776,1.084506,0.3617602,-0.8005178,1.112569,0.3887793,-0.8259729,1.104873,0.3697198,-0.8011158,1.094928,0.352918,-0.7959999,1.131759,0.3804511,-0.8362103,1.12432,0.3615603,-0.8139744,1.113387,0.3454551,-0.8104248,1.147146,0.3697277,-0.850887,1.142437,0.3542149,-0.8341358,1.132519,0.3428695,-0.8315731,1.11231,0.396021,-0.8845456,0.05766344,
1529074519233,1.065151,0.3897642,-0.9108915,1.057151,0.3668641,-0.8808881,1.060878,0.3480206,-0.8653181,1.077722,0.3940835,-0.8335431,1.073678,0.375508,-0.8128855,1.067536,0.3591509,-0.8096182,1.096023,0.3868936,-0.8333646,1.087765,0.3672622,-0.8094022,1.077597,0.3503669,-0.8059723,1.115432,0.3787776,-0.843576,1.107419,0.3592379,-0.8225285,1.096207,0.3432571,-0.8211539,1.131785,0.3688061,-0.8580242,1.127567,0.3531807,-0.8414607,1.117725,0.3416548,-0.8391819,1.096695,0.395418,-0.8918043,0.05719,
1529074519284,1.043057,0.3875955,-0.9231246,1.034848,0.363785,-0.8937814,1.037808,0.3443232,-0.8787783,1.055942,0.3885226,-0.8458531,1.050987,0.3693967,-0.8260278,1.044054,0.3532415,-0.8238389,1.074184,0.3806964,-0.8461437,1.065309,0.3606337,-0.8228967,1.054434,0.3441049,-0.8203852,1.093322,0.3721364,-0.8569506,1.084805,0.352127,-0.8368787,1.072862,0.3365807,-0.8364639,1.109749,0.3626228,-0.8716519,1.105826,0.347095,-0.8553339,1.095611,0.3356019,-0.8529147,1.074556,0.3913953,-0.9042903,0.05600799,
1529074519314,1.02933,0.3813348,-0.92979,1.020308,0.357289,-0.9008107,1.022452,0.3378714,-0.8854716,1.039555,0.3824823,-0.8522578,1.033326,0.3630631,-0.8332371,1.026151,0.3469586,-0.832274,1.058129,0.3748398,-0.8519849,1.048288,0.3545695,-0.829388,1.037298,0.3379491,-0.827462,1.077758,0.3663354,-0.8622648,1.068648,0.3461116,-0.8426037,1.056759,0.3304187,-0.8423895,1.094841,0.35704,-0.876402,1.090775,0.3414622,-0.8600422,1.080826,0.3296704,-0.8572069,1.060389,0.3855598,-0.9099872,0.05409486,
1529074519340,1.018055,0.3799906,-0.9323409,1.00821,0.3562559,-0.9033337,1.009621,0.3369338,-0.8877624,1.027454,0.380957,-0.8550054,1.019848,0.3613111,-0.8372766,1.012192,0.3456196,-0.838531,1.0462,0.3730861,-0.8545679,1.035288,0.3526962,-0.8329509,1.023803,0.3362581,-0.8322058,1.065886,0.3643337,-0.8646761,1.055924,0.3441403,-0.8457056,1.043623,0.3288036,-0.8464783,1.083037,0.3548166,-0.878638,1.078455,0.3392547,-0.8624582,1.068212,0.3276241,-0.8598037,1.049188,0.3838328,-0.9123732,0.05005787,
1529074519367,1.009017,0.3772842,-0.9368879,0.9982353,0.3535668,-0.908133,0.9987006,0.3342773,-0.8924061,1.017741,0.3768568,-0.8596582,1.009539,0.3568816,-0.8424501,1.001824,0.3412271,-0.8439231,1.036558,0.3688439,-0.8592197,1.025108,0.3479451,-0.8383365,1.013517,0.3314692,-0.8379431,1.05645,0.3602237,-0.8692456,1.04615,0.3395968,-0.8509073,1.033792,0.3242958,-0.8521069,1.073692,0.3508084,-0.8832373,1.068907,0.3347645,-0.867452,1.058776,0.3229531,-0.8646828,1.040258,0.3806233,-0.916641,0.04907811,
1529074519394,0.9950041,0.3714357,-0.9443607,0.9837739,0.3467682,-0.9164591,0.9831738,0.3271436,-0.9010357,1.004238,0.366611,-0.867511,0.9957268,0.3458579,-0.8511164,0.988026,0.3302575,-0.8529738,1.023655,0.3584777,-0.8677358,1.012759,0.3363092,-0.8473919,1.001431,0.3195496,-0.8465023,1.043493,0.3506228,-0.8783863,1.03385,0.3288546,-0.8602504,1.021866,0.3131639,-0.8606064,1.060944,0.3422134,-0.8929806,1.057195,0.3252946,-0.8775001,1.047889,0.3129251,-0.8740844,1.026659,0.373575,-0.9243762,0.04840648,
1529074519431,0.9853661,0.3589907,-0.9528428,0.9726273,0.3355908,-0.9244536,0.970457,0.3168385,-0.9079205,0.9917164,0.3562463,-0.875955,0.9817156,0.3359417,-0.8599847,0.9740368,0.3203794,-0.8623289,1.011246,0.3480242,-0.8754237,0.9988026,0.3262066,-0.8556065,0.9872987,0.3094629,-0.8550764,1.031816,0.3398709,-0.88515,1.021314,0.3182963,-0.866922,1.009434,0.3025087,-0.8670064,1.049824,0.3311461,-0.8988554,1.045295,0.3143632,-0.8833317,1.035933,0.3020001,-0.8798549,1.016761,0.3616012,-0.9319874,0.04586879,
1529074519461,0.9762143,0.35167,-0.9647937,0.9609922,0.3290756,-0.9369221,0.9567724,0.310841,-0.9200808,0.978978,0.3488039,-0.8880088,0.96731,0.3285165,-0.873451,0.9596554,0.3131429,-0.8770064,0.9985751,0.340324,-0.8865505,0.9844594,0.3184628,-0.8678481,0.9726967,0.3018222,-0.8679883,1.019691,0.3318631,-0.8953031,1.007819,0.3100996,-0.8781294,0.9957473,0.2944054,-0.8789961,1.038164,0.3228973,-0.9081511,1.032237,0.3058174,-0.89349,1.022338,0.2936073,-0.891003,1.007366,0.3538584,-0.9424826,0.04323219,
1529074519487,0.9694825,0.3501345,-0.9684066,0.9547693,0.326386,-0.9412342,0.9503641,0.3074241,-0.9252048,0.9733583,0.3408791,-0.8928364,0.9615229,0.3195284,-0.8792149,0.9531373,0.3044139,-0.8825752,0.9924841,0.3315946,-0.8925752,0.9781023,0.3083551,-0.8753692,0.9658679,0.2919981,-0.8758613,1.01304,0.3232111,-0.9023706,1.000805,0.3001901,-0.8867244,0.9882999,0.2847167,-0.887775,1.030831,0.3147258,-0.9161772,1.024587,0.2964754,-0.9028245,1.014581,0.2842914,-0.9006882,1.000418,0.3495542,-0.947112,0.04282557,
