time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074864283,0.8551216,0.355009,-0.9337314,0.8422444,0.3344952,-0.9033841,0.83828,0.3149538,-0.8886263,0.8643503,0.3337418,-0.8704981,0.8450345,0.3167899,-0.8716278,0.8359536,0.3133436,-0.8860949,0.8780842,0.319554,-0.8740687,0.8539165,0.301829,-0.8708413,0.8387905,0.2980179,-0.8836022,0.893079,0.307414,-0.8862548,0.8706822,0.2903122,-0.8804449,0.8536621,0.2864458,-0.8899487,0.9042451,0.2968162,-0.9014984,0.8879831,0.2836446,-0.8937274,0.8727304,0.2813272,-0.897505,0.8860041,0.341713,-0.9213445,0.003796451,
1529074864310,0.8646502,0.3407263,-0.947785,0.8531504,0.3199375,-0.9170942,0.8499507,0.3002118,-0.9023929,0.8740963,0.3200474,-0.8853267,0.8544117,0.3032505,-0.8866976,0.8452756,0.2996444,-0.901112,0.8867334,0.3059307,-0.8905131,0.861975,0.289984,-0.8907664,0.8487929,0.2887624,-0.9059318,0.9014664,0.2937144,-0.9024501,0.8780738,0.2784564,-0.8996724,0.8624949,0.277472,-0.9118545,0.9130527,0.2830164,-0.9167602,0.8960972,0.2711722,-0.910235,0.8813336,0.2710479,-0.9159551,0.8953577,0.3276281,-0.9360473,0.004880485,
1529074864337,0.8739633,0.3266595,-0.9599594,0.862572,0.305452,-0.9295499,0.8594236,0.2855213,-0.9150211,0.8854768,0.3036754,-0.8974642,0.8661869,0.2857674,-0.8973054,0.8556111,0.2814546,-0.9104998,0.8973626,0.2900494,-0.9046205,0.8729658,0.2742648,-0.9060811,0.8605324,0.274566,-0.9215938,0.9116317,0.2783779,-0.9177124,0.888016,0.2633085,-0.9168001,0.8729469,0.2638473,-0.9292992,0.9227927,0.2685395,-0.9320592,0.905149,0.2573527,-0.9273498,0.8910211,0.2588496,-0.9341147,0.9053068,0.313287,-0.9489889,0.007177426,
1529074864363,0.8892825,0.3013062,-0.9770184,0.8792877,0.2773597,-0.9481516,0.8767272,0.2563223,-0.935034,0.9031047,0.2736839,-0.9156644,0.8844044,0.2546073,-0.9141347,0.8726512,0.2500426,-0.9259421,0.913969,0.2609245,-0.925247,0.8897538,0.2454264,-0.9275043,0.8772719,0.2473062,-0.9428686,0.9275264,0.2504844,-0.94021,0.9039268,0.2363465,-0.9411807,0.8893464,0.2393158,-0.9540054,0.9382067,0.2419955,-0.9552901,0.9203573,0.2312819,-0.9518648,0.9068903,0.2346207,-0.9590956,0.9205241,0.2878751,-0.9677252,0.01177751,
1529074864390,0.9011548,0.2867855,-0.9908376,0.8920777,0.2627153,-0.9618298,0.8896016,0.2414281,-0.9491342,0.9175389,0.2567845,-0.9321005,0.8982087,0.2394709,-0.9319221,0.8865629,0.237962,-0.9446528,0.9269017,0.2443238,-0.9427301,0.9022614,0.231486,-0.9457078,0.8908665,0.2362941,-0.9613149,0.938838,0.2339454,-0.9587751,0.9147189,0.222901,-0.9605766,0.9018395,0.22943,-0.9737322,0.9482362,0.2253124,-0.9744349,0.9297997,0.2166487,-0.9714099,0.9175752,0.2227461,-0.9787536,0.9324658,0.2714419,-0.9842182,0.006428836,
1529074864417,0.9170473,0.2646151,-1.011416,0.9102738,0.2389022,-0.9833243,0.9092173,0.2167124,-0.9720408,0.9355106,0.2330335,-0.9570423,0.9162667,0.2183416,-0.9607013,0.9060375,0.2215006,-0.9745467,0.9443765,0.2218871,-0.9680674,0.9201086,0.2115028,-0.9733358,0.9107703,0.2193163,-0.9892174,0.955796,0.2123107,-0.9844275,0.9319239,0.2035983,-0.987745,0.9210199,0.2129247,-1.001018,0.9645776,0.2041636,-1.000607,0.9458533,0.1969973,-0.9985142,0.9350286,0.2054336,-1.005505,0.9486734,0.2497389,-1.006858,0.006270355,
1529074864448,0.9287729,0.247736,-1.02212,0.9243342,0.2217105,-0.9938735,0.9239109,0.1993523,-0.9828113,0.9495867,0.213533,-0.9716618,0.9298127,0.2006148,-0.9755164,0.9194707,0.2064254,-0.9884089,0.9569139,0.2031461,-0.9837238,0.9325476,0.195221,-0.9890103,0.9245664,0.2053723,-1.004252,0.9666874,0.1940496,-1.001107,0.9429387,0.1881789,-1.004466,0.9339342,0.2000407,-1.017153,0.9741362,0.1860089,-1.01794,0.9554347,0.1809446,-1.01564,0.9462128,0.1916952,-1.021686,0.9597353,0.231621,-1.02085,0.01005364,
1529074864469,0.9392558,0.2337247,-1.035983,0.9362469,0.2076744,-1.007493,0.9361865,0.1855713,-0.9956812,0.9599166,0.1981106,-0.988396,0.9397082,0.1865858,-0.9933118,0.9303576,0.1940031,-1.005971,0.9672222,0.1880116,-1.00074,0.9428008,0.1812341,-1.006498,0.9355186,0.1924708,-1.021304,0.9763944,0.179576,-1.018582,0.9526866,0.1750971,-1.02239,0.9447045,0.1880935,-1.034662,0.983344,0.1720837,-1.035418,0.9646311,0.1682436,-1.03346,0.956498,0.1798303,-1.039591,0.9696653,0.2170812,-1.036413,0.01452396,
1529074864482,0.9507051,0.2189376,-1.052594,0.9487809,0.1929096,-1.023949,0.9493542,0.1709949,-1.011671,0.9715294,0.1835685,-1.005584,0.951488,0.1719973,-1.010918,0.9424779,0.1796631,-1.023569,0.9792559,0.1735605,-1.017769,0.9550557,0.1664069,-1.023643,0.9477084,0.1776746,-1.038399,0.9885641,0.1654744,-1.035695,0.9651365,0.1607997,-1.039693,0.9572339,0.1739228,-1.051954,0.9955925,0.1582812,-1.052634,0.9771024,0.1545161,-1.050907,0.96926,0.1664068,-1.056965,0.9810543,0.2028114,-1.053235,0.01624702,
1529074864509,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864521,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864548,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864561,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864574,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864588,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864601,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
1529074864615,0.9634162,0.2021112,-1.067772,0.9642352,0.1762211,-1.038887,0.9665668,0.154607,-1.026279,0.9872226,0.1662642,-1.023812,0.9674675,0.1543855,-1.02967,0.9580657,0.1623277,-1.041915,0.9951807,0.1572728,-1.036692,0.9710049,0.1495399,-1.04282,0.9630737,0.1611542,-1.056918,1.004338,0.1504568,-1.055029,0.9808243,0.1452515,-1.059074,0.9723264,0.1585717,-1.070626,1.011153,0.1444108,-1.072044,0.9927145,0.1403672,-1.07045,0.9848118,0.1521783,-1.076522,0.9944261,0.187306,-1.070366,0.01939995,
